year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00014099999999999998,0.0,0.000202,0.0,2.62e-05
1751,0.00014199999999999998,0.0,0.000204,7.4e-08,2.64e-05
1752,0.00014299999999999998,0.0,0.000205,1.48e-07,2.66e-05
1753,0.00014399999999999998,0.0,0.000207,2.22e-07,2.68e-05
1754,0.000145,0.0,0.00020899999999999998,2.96e-07,2.7e-05
1755,0.000145,0.0,0.00020999999999999998,3.7e-07,2.7199999999999997e-05
1756,0.000146,0.0,0.000212,4.44e-07,2.7400000000000002e-05
1757,0.000147,0.0,0.000214,5.180000000000001e-07,2.77e-05
1758,0.000148,0.0,0.000215,5.92e-07,2.79e-05
1759,0.000149,0.0,0.000217,6.660000000000001e-07,2.81e-05
1760,0.00015,0.0,0.000219,7.4e-07,2.83e-05
1761,0.00015099999999999998,0.0,0.00022,8.140000000000001e-07,2.85e-05
1762,0.000152,0.0,0.000222,8.869999999999999e-07,2.88e-05
1763,0.000153,0.0,0.000224,9.61e-07,2.9e-05
1764,0.000154,0.0,0.00022600000000000002,1.04e-06,2.92e-05
1765,0.000154,0.0,0.000228,1.1100000000000002e-06,2.95e-05
1766,0.000155,0.0,0.000229,1.1800000000000001e-06,2.97e-05
1767,0.000156,0.0,0.000231,1.26e-06,2.99e-05
1768,0.000157,0.0,0.00023300000000000003,1.33e-06,3.0200000000000002e-05
1769,0.000158,0.0,0.000235,1.41e-06,3.04e-05
1770,0.00015900000000000002,0.0,0.000237,1.48e-06,3.06e-05
1771,0.00016,0.0,0.00023899999999999998,1.55e-06,3.09e-05
1772,0.000161,0.0,0.00023999999999999998,1.6299999999999999e-06,3.11e-05
1773,0.000162,0.0,0.000242,1.6999999999999998e-06,3.14e-05
1774,0.000163,0.0,0.000244,1.77e-06,3.16e-05
1775,0.000164,0.0,0.000246,1.85e-06,3.1899999999999996e-05
1776,0.000165,0.0,0.000248,1.9200000000000003e-06,3.2099999999999994e-05
