year,IPC1,IPC2,IPC4,IPC5
1750,4.02e-07,0.0,4.35e-05,0.0
1751,4.04e-07,0.0,4.3700000000000005e-05,1.16e-07
1752,4.06e-07,0.0,4.39e-05,2.3100000000000002e-07
1753,4.09e-07,0.0,4.41e-05,3.4699999999999997e-07
1754,4.11e-07,0.0,4.43e-05,4.63e-07
1755,4.13e-07,0.0,4.46e-05,5.79e-07
1756,4.15e-07,0.0,4.48e-05,6.939999999999999e-07
1757,4.17e-07,0.0,4.4999999999999996e-05,8.1e-07
1758,4.2e-07,0.0,4.5199999999999994e-05,9.26e-07
1759,4.22e-07,0.0,4.55e-05,1.04e-06
1760,4.24e-07,0.0,4.57e-05,1.16e-06
1761,4.26e-07,0.0,4.5900000000000004e-05,1.2700000000000001e-06
1762,4.2900000000000004e-07,0.0,4.62e-05,1.39e-06
1763,4.3100000000000003e-07,0.0,4.6399999999999996e-05,1.5e-06
1764,4.33e-07,0.0,4.67e-05,1.62e-06
1765,4.3600000000000004e-07,0.0,4.6899999999999995e-05,1.74e-06
1766,4.3800000000000003e-07,0.0,4.71e-05,1.85e-06
1767,4.4e-07,0.0,4.74e-05,1.9699999999999998e-06
1768,4.43e-07,0.0,4.7600000000000005e-05,2.08e-06
1769,4.45e-07,0.0,4.79e-05,2.2e-06
1770,4.47e-07,0.0,4.81e-05,2.31e-06
1771,4.5e-07,0.0,4.84e-05,2.43e-06
1772,4.53e-07,0.0,4.8599999999999995e-05,2.55e-06
1773,4.55e-07,0.0,4.8899999999999996e-05,2.66e-06
1774,4.58e-07,0.0,4.91e-05,2.78e-06
1775,4.6e-07,0.0,4.94e-05,2.8900000000000003e-06
1776,4.63e-07,0.0,4.97e-05,3.01e-06
1777,4.6500000000000005e-07,0.0,4.99e-05,3.13e-06
1778,4.6700000000000004e-07,0.0,5.02e-05,3.24e-06
1779,4.7e-07,0.0,5.05e-05,3.36e-06
1780,4.72e-07,0.0,5.07e-05,3.47e-06
1781,4.75e-07,0.0,5.1e-05,3.59e-06
1782,4.78e-07,0.0,5.13e-05,3.7e-06
1783,4.800000000000001e-07,0.0,5.16e-05,3.82e-06
1784,4.83e-07,0.0,5.19e-05,3.9399999999999995e-06
1785,4.86e-07,0.0,5.21e-05,4.05e-06
1786,4.88e-07,0.0,5.24e-05,4.17e-06
1787,4.91e-07,0.0,5.2699999999999993e-05,4.28e-06
1788,4.93e-07,0.0,5.3e-05,4.4e-06
1789,4.96e-07,0.0,5.33e-05,4.51e-06
1790,4.99e-07,0.0,5.36e-05,4.63e-06
1791,5.01e-07,0.0,5.39e-05,4.75e-06
1792,5.04e-07,0.0,5.4199999999999996e-05,4.86e-06
1793,5.07e-07,0.0,5.4600000000000006e-05,4.98e-06
1794,5.1e-07,0.0,5.49e-05,5.0899999999999995e-06
1795,5.13e-07,0.0,5.52e-05,5.21e-06
1796,5.16e-07,0.0,5.5599999999999996e-05,5.32e-06
1797,5.19e-07,0.0,5.59e-05,5.4400000000000004e-06
1798,5.21e-07,0.0,5.62e-05,5.56e-06
1799,5.240000000000001e-07,0.0,5.6500000000000005e-05,5.67e-06
