year,IPC1,IPC2,IPC4,IPC5
1750,0.0,0.0,8.67e-09,5.610000000000001e-24
1751,0.0,0.0,8.71e-09,3.43e-10
1752,0.0,0.0,8.76e-09,6.86e-10
1753,0.0,0.0,8.800000000000001e-09,1.0300000000000002e-09
1754,0.0,0.0,8.84e-09,1.37e-09
1755,0.0,0.0,8.889999999999999e-09,1.72e-09
1756,0.0,0.0,8.93e-09,2.0600000000000003e-09
1757,0.0,0.0,8.98e-09,2.4e-09
1758,0.0,0.0,9.02e-09,2.75e-09
1759,0.0,0.0,9.07e-09,3.09e-09
1760,0.0,0.0,9.109999999999999e-09,3.4300000000000004e-09
1761,0.0,0.0,9.16e-09,3.77e-09
1762,0.0,0.0,9.21e-09,4.120000000000001e-09
1763,0.0,0.0,9.26e-09,4.46e-09
1764,0.0,0.0,9.3e-09,4.8e-09
1765,0.0,0.0,9.350000000000001e-09,5.15e-09
1766,0.0,0.0,9.4e-09,5.49e-09
1767,0.0,0.0,9.449999999999999e-09,5.83e-09
1768,0.0,0.0,9.5e-09,6.18e-09
1769,0.0,0.0,9.54e-09,6.520000000000001e-09
1770,0.0,0.0,9.59e-09,6.860000000000001e-09
1771,0.0,0.0,9.639999999999999e-09,7.21e-09
1772,0.0,0.0,9.700000000000001e-09,7.55e-09
1773,0.0,0.0,9.75e-09,7.890000000000001e-09
1774,0.0,0.0,9.8e-09,8.240000000000001e-09
1775,0.0,0.0,9.85e-09,8.58e-09
1776,0.0,0.0,9.91e-09,8.92e-09
1777,0.0,0.0,9.96e-09,9.27e-09
1778,0.0,0.0,1e-08,9.61e-09
1779,0.0,0.0,1.01e-08,9.95e-09
1780,0.0,0.0,1.01e-08,1.03e-08
1781,0.0,0.0,1.02e-08,1.06e-08
1782,0.0,0.0,1.02e-08,1.1e-08
1783,0.0,0.0,1.03e-08,1.13e-08
1784,0.0,0.0,1.03e-08,1.17e-08
1785,0.0,0.0,1.04e-08,1.2e-08
1786,0.0,0.0,1.05e-08,1.24e-08
1787,0.0,0.0,1.05e-08,1.27e-08
1788,0.0,0.0,1.06e-08,1.2999999999999999e-08
1789,0.0,0.0,1.06e-08,1.3400000000000001e-08
1790,0.0,0.0,1.07e-08,1.3699999999999999e-08
1791,0.0,0.0,1.07e-08,1.41e-08
1792,0.0,0.0,1.08e-08,1.44e-08
1793,0.0,0.0,1.09e-08,1.48e-08
1794,0.0,0.0,1.09e-08,1.51e-08
1795,0.0,0.0,1.1e-08,1.5400000000000002e-08
1796,0.0,0.0,1.11e-08,1.5800000000000003e-08
1797,0.0,0.0,1.11e-08,1.61e-08
1798,0.0,0.0,1.12e-08,1.6500000000000002e-08
1799,0.0,0.0,1.13e-08,1.6799999999999998e-08
1800,0.0,0.0,1.13e-08,1.7200000000000002e-08
1801,0.0,0.0,1.14e-08,1.7499999999999998e-08
1802,0.0,0.0,1.15e-08,1.78e-08
1803,0.0,0.0,1.1600000000000001e-08,1.8199999999999998e-08
1804,0.0,0.0,1.17e-08,1.85e-08
1805,0.0,0.0,1.18e-08,1.8899999999999997e-08
1806,0.0,0.0,1.1899999999999999e-08,1.92e-08
1807,0.0,0.0,1.2e-08,1.96e-08
1808,0.0,0.0,1.2099999999999999e-08,1.99e-08
1809,0.0,0.0,1.22e-08,2.02e-08
1810,0.0,0.0,1.2300000000000001e-08,2.06e-08
1811,0.0,0.0,1.24e-08,2.09e-08
1812,0.0,0.0,1.26e-08,2.13e-08
1813,0.0,0.0,1.27e-08,2.16e-08
1814,0.0,0.0,1.2799999999999999e-08,2.2e-08
1815,0.0,0.0,1.2999999999999999e-08,2.23e-08
1816,0.0,0.0,1.31e-08,2.26e-08
1817,0.0,0.0,1.32e-08,2.3e-08
1818,0.0,0.0,1.3400000000000001e-08,2.33e-08
1819,0.0,0.0,1.35e-08,2.37e-08
1820,0.0,0.0,1.3600000000000001e-08,2.4e-08
1821,0.0,0.0,1.39e-08,2.44e-08
1822,0.0,0.0,1.41e-08,2.47e-08
1823,0.0,0.0,1.43e-08,2.51e-08
1824,0.0,0.0,1.46e-08,2.54e-08
1825,0.0,0.0,1.48e-08,2.5700000000000002e-08
1826,0.0,0.0,1.5000000000000002e-08,2.6100000000000002e-08
1827,0.0,0.0,1.52e-08,2.64e-08
1828,0.0,0.0,1.55e-08,2.6800000000000002e-08
1829,0.0,0.0,1.5699999999999998e-08,2.71e-08
1830,0.0,0.0,1.59e-08,2.75e-08
1831,0.0,0.0,1.62e-08,2.78e-08
1832,0.0,0.0,1.6399999999999998e-08,2.81e-08
1833,0.0,0.0,1.66e-08,2.85e-08
1834,0.0,0.0,1.6900000000000002e-08,2.88e-08
1835,0.0,0.0,1.7099999999999998e-08,2.92e-08
1836,0.0,0.0,1.73e-08,2.95e-08
