year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,80.5,0.201,12.6,4.8699999999999995e-17,173.0
1751,89.9,0.201,12.7,0.223,173.0
1752,90.2,0.201,12.7,0.446,174.0
1753,90.4,0.202,12.8,0.669,175.0
1754,90.7,0.202,12.8,0.892,175.0
1755,90.9,0.202,12.9,1.12,176.0
1756,92.0,0.213,12.9,1.34,177.0
1757,92.2,0.213,13.0,1.56,178.0
1758,92.4,0.214,13.0,1.78,178.0
1759,92.7,0.214,13.1,2.01,179.0
1760,92.9,0.214,13.2,2.23,180.0
1761,94.3,0.23,13.2,2.45,180.0
1762,94.6,0.231,13.3,2.68,181.0
1763,94.8,0.231,13.3,2.9,182.0
1764,95.1,0.231,13.4,3.12,183.0
1765,95.4,0.232,13.5,3.35,183.0
1766,97.1,0.253,13.5,3.57,184.0
1767,97.4,0.253,13.6,3.79,185.0
1768,97.6,0.254,13.6,4.01,186.0
1769,97.9,0.254,13.7,4.24,186.0
1770,98.1,0.254,13.8,4.46,187.0
1771,100.0,0.277,13.8,4.68,188.0
1772,100.0,0.277,13.9,4.91,189.0
1773,101.0,0.277,14.0,5.13,190.0
1774,101.0,0.278,14.0,5.35,191.0
1775,101.0,0.278,14.1,5.58,192.0
1776,103.0,0.302,14.1,5.8,193.0
1777,104.0,0.302,14.2,6.02,194.0
1778,104.0,0.302,14.3,6.24,195.0
1779,104.0,0.303,14.3,6.47,196.0
1780,105.0,0.303,14.4,6.69,197.0
1781,107.0,0.333,14.5,6.91,199.0
1782,108.0,0.333,14.5,7.14,200.0
1783,108.0,0.334,14.6,7.36,201.0
1784,109.0,0.334,14.7,7.58,202.0
1785,109.0,0.335,14.7,7.81,204.0
1786,112.0,0.373,14.8,8.03,205.0
1787,113.0,0.373,14.9,8.25,206.0
1788,113.0,0.374,14.9,8.48,207.0
1789,114.0,0.374,15.0,8.7,209.0
1790,114.0,0.374,15.1,8.92,210.0
1791,117.0,0.412,15.2,9.14,211.0
1792,118.0,0.458,15.2,9.37,212.0
1793,119.0,0.459,15.3,9.59,214.0
1794,119.0,0.456,15.4,9.81,215.0
1795,120.0,0.457,15.5,10.0,216.0
1796,122.0,0.482,15.5,10.3,217.0
1797,124.0,0.502,15.6,10.5,219.0
1798,125.0,0.521,15.7,10.7,220.0
1799,127.0,0.548,15.8,10.9,221.0
1800,130.0,0.592,15.9,11.2,223.0
1801,131.0,0.569,15.9,11.4,224.0
1802,139.0,1.51,16.0,11.6,226.0
1803,142.0,0.628,16.1,11.8,228.0
1804,144.0,0.906,16.2,12.0,230.0
1805,145.0,0.702,16.3,12.3,231.0
1806,148.0,0.72,16.4,12.5,233.0
1807,150.0,0.936,16.5,12.7,235.0
1808,149.0,0.719,16.5,12.9,237.0
1809,150.0,0.722,16.6,13.2,238.0
1810,151.0,0.952,16.7,13.4,240.0
1811,155.0,0.979,16.8,13.6,243.0
1812,158.0,1.02,17.0,13.8,245.0
1813,159.0,1.0,17.1,14.1,247.0
1814,161.0,1.02,17.2,14.3,250.0
1815,164.0,1.08,17.3,14.5,252.0
1816,170.0,1.28,17.5,14.7,255.0
1817,173.0,1.4,17.6,14.9,257.0
1818,174.0,1.39,17.7,15.2,260.0
1819,175.0,1.46,17.8,15.4,262.0
1820,177.0,1.53,17.9,15.6,265.0
1821,179.0,1.57,18.1,15.8,268.0
1822,183.0,1.63,18.3,16.1,270.0
1823,187.0,1.71,18.4,16.3,273.0
1824,191.0,1.72,18.6,16.5,276.0
1825,195.0,1.89,18.7,16.7,279.0
1826,197.0,1.92,18.9,17.0,282.0
1827,203.0,2.19,19.1,17.2,285.0
1828,206.0,2.23,19.2,17.4,288.0
1829,206.0,2.17,19.4,17.6,290.0
1830,227.0,3.26,19.5,17.8,293.0
1831,224.0,2.95,19.8,18.1,297.0
1832,227.0,2.95,20.0,18.3,301.0
1833,231.0,3.07,20.3,18.5,304.0
1834,234.0,3.31,20.5,18.7,308.0
1835,239.0,3.47,20.8,19.0,312.0
1836,257.0,3.96,21.0,19.2,315.0
1837,259.0,4.16,21.2,19.4,319.0
1838,264.0,4.43,21.5,19.6,323.0
1839,270.0,4.63,21.7,19.8,326.0
1840,280.0,5.08,22.0,20.1,330.0
1841,286.0,5.41,22.2,20.3,333.0
1842,295.0,5.85,22.4,20.5,336.0
1843,301.0,5.71,22.6,20.7,339.0
1844,312.0,6.18,22.8,21.0,342.0
1845,330.0,6.97,23.0,21.2,345.0
1846,334.0,7.92,23.2,21.4,347.0
1847,353.0,8.69,23.4,21.6,350.0
1848,356.0,8.35,23.6,21.9,353.0
1849,369.0,8.59,23.8,22.1,356.0
1850,385.0,9.36,23.9,22.3,365.0
1851,389.0,9.74,24.2,22.5,369.0
1852,400.0,10.6,24.5,22.7,373.0
1853,412.0,11.6,24.8,23.0,378.0
1854,458.0,13.7,25.1,23.2,382.0
1855,464.0,14.4,25.4,23.4,386.0
1856,486.0,15.5,25.7,23.6,390.0
1857,490.0,16.0,26.0,23.9,394.0
1858,495.0,16.7,26.3,24.1,398.0
1859,516.0,17.0,26.6,24.3,401.0
1860,551.0,18.6,26.8,24.5,405.0
1861,571.0,20.4,27.0,24.8,408.0
1862,579.0,21.4,27.3,25.0,411.0
1863,607.0,22.0,27.5,25.2,414.0
1864,641.0,23.6,27.7,25.4,417.0
1865,670.0,25.2,27.9,25.6,420.0
1866,688.0,26.0,28.2,25.9,424.0
1867,723.0,28.1,28.4,26.1,427.0
1868,738.0,29.3,28.6,26.3,430.0
1869,773.0,30.3,28.8,26.5,433.0
1870,785.0,31.4,29.0,26.8,436.0
1871,821.0,33.6,29.4,27.0,442.0
1872,891.0,37.4,29.9,27.2,450.0
1873,936.0,39.6,30.4,27.4,458.0
1874,890.0,36.4,31.0,27.7,468.0
1875,949.0,41.5,31.5,27.9,478.0
1876,960.0,43.2,32.1,28.1,489.0
1877,976.0,43.9,32.7,28.3,499.0
1878,980.0,44.0,33.2,28.5,508.0
1879,1040.0,47.0,33.7,28.8,516.0
1880,1140.0,56.9,34.1,29.0,523.0
1881,1180.0,55.4,34.6,29.2,530.0
1882,1230.0,59.2,35.0,29.4,536.0
1883,1300.0,63.2,35.4,29.7,542.0
1884,1310.0,64.2,35.9,29.9,548.0
1885,1320.0,65.9,36.3,30.1,554.0
1886,1330.0,66.1,36.7,30.3,560.0
1887,1390.0,69.1,37.1,30.6,566.0
1888,1520.0,75.6,37.5,30.8,571.0
1889,1510.0,78.8,38.0,31.0,577.0
1890,1630.0,83.5,38.4,31.2,585.0
1891,1700.0,88.2,38.8,31.4,592.0
1892,1710.0,88.1,39.3,31.7,600.0
1893,1690.0,89.1,39.7,31.9,607.0
1894,1740.0,94.4,40.1,32.1,614.0
1895,1830.0,98.2,40.6,32.3,621.0
1896,1880.0,102.0,41.0,32.6,628.0
1897,1960.0,109.0,41.5,32.8,635.0
1898,2050.0,114.0,41.9,33.0,641.0
1899,2230.0,125.0,42.4,33.2,647.0
1900,2340.0,132.0,42.8,33.5,653.0
1901,2410.0,132.0,43.5,33.7,661.0
1902,2460.0,134.0,44.2,33.9,669.0
1903,2660.0,143.0,44.9,34.1,676.0
1904,2680.0,146.0,45.6,34.3,684.0
1905,2840.0,153.0,46.4,34.6,691.0
1906,2950.0,160.0,47.1,34.8,698.0
1907,3310.0,184.0,47.8,35.0,706.0
1908,3170.0,190.0,48.5,35.2,713.0
1909,3300.0,189.0,49.3,35.5,721.0
1910,3450.0,198.0,50.0,35.7,729.0
1911,3500.0,200.0,50.2,35.9,733.0
1912,3670.0,214.0,50.3,36.1,738.0
1913,3940.0,233.0,50.5,36.4,743.0
1914,3590.0,210.0,50.7,36.6,749.0
1915,3540.0,200.0,50.9,36.8,756.0
1916,3800.0,204.0,51.0,37.0,762.0
1917,3960.0,180.0,51.2,37.2,768.0
1918,3890.0,179.0,51.4,37.5,774.0
1919,3350.0,162.0,51.6,37.7,780.0
1920,3850.0,187.0,51.8,37.9,784.0
1921,3340.0,171.0,52.4,38.1,791.0
1922,3510.0,190.0,53.0,38.4,798.0
1923,4000.0,203.0,53.6,38.6,805.0
1924,3990.0,225.0,54.2,38.8,812.0
1925,4030.0,251.0,54.9,39.0,819.0
1926,3950.0,251.0,55.5,39.3,826.0
1927,4330.0,297.0,56.1,39.5,832.0
1928,4270.0,308.0,56.7,39.7,839.0
1929,4580.0,332.0,57.3,39.9,846.0
1930,4240.0,313.0,57.9,40.1,852.0
1931,3800.0,285.0,58.6,40.4,859.0
1932,3430.0,260.0,59.3,40.6,865.0
1933,3590.0,267.0,60.0,40.8,871.0
1934,3870.0,291.0,60.7,41.0,877.0
1935,4030.0,307.0,61.4,41.3,883.0
1936,4410.0,334.0,62.1,41.5,888.0
