year,IPC1,IPC2,IPC4,IPC5
1750,0.0,0.0,0.0,3.86e-20
1751,0.0,0.0,0.0,1.96e-06
1752,0.0,0.0,0.0,3.9300000000000005e-06
1753,0.0,0.0,0.0,5.89e-06
1754,0.0,0.0,0.0,7.85e-06
1755,0.0,0.0,0.0,9.820000000000001e-06
1756,0.0,0.0,0.0,1.18e-05
1757,0.0,0.0,0.0,1.3700000000000001e-05
1758,0.0,0.0,0.0,1.57e-05
1759,0.0,0.0,0.0,1.77e-05
1760,0.0,0.0,0.0,1.96e-05
1761,0.0,0.0,0.0,2.16e-05
1762,0.0,0.0,0.0,2.36e-05
1763,0.0,0.0,0.0,2.55e-05
1764,0.0,0.0,0.0,2.75e-05
1765,0.0,0.0,0.0,2.95e-05
1766,0.0,0.0,0.0,3.14e-05
1767,0.0,0.0,0.0,3.34e-05
1768,0.0,0.0,0.0,3.53e-05
1769,0.0,0.0,0.0,3.73e-05
1770,0.0,0.0,0.0,3.93e-05
1771,0.0,0.0,0.0,4.12e-05
1772,0.0,0.0,0.0,4.32e-05
1773,0.0,0.0,0.0,4.5199999999999994e-05
1774,0.0,0.0,0.0,4.71e-05
1775,0.0,0.0,0.0,4.91e-05
1776,0.0,0.0,0.0,5.11e-05
1777,0.0,0.0,0.0,5.3e-05
1778,0.0,0.0,0.0,5.5e-05
1779,0.0,0.0,0.0,5.69e-05
1780,0.0,0.0,0.0,5.89e-05
1781,0.0,0.0,0.0,6.09e-05
1782,0.0,0.0,0.0,6.28e-05
1783,0.0,0.0,0.0,6.48e-05
1784,0.0,0.0,0.0,6.68e-05
1785,0.0,0.0,0.0,6.87e-05
1786,0.0,0.0,0.0,7.07e-05
1787,0.0,0.0,0.0,7.27e-05
1788,0.0,0.0,0.0,7.46e-05
1789,0.0,0.0,0.0,7.66e-05
1790,0.0,0.0,0.0,7.85e-05
1791,0.0,0.0,0.0,8.05e-05
1792,0.0,0.0,0.0,8.25e-05
1793,0.0,0.0,0.0,8.44e-05
1794,0.0,0.0,0.0,8.64e-05
1795,0.0,0.0,0.0,8.840000000000001e-05
1796,0.0,0.0,0.0,9.03e-05
1797,0.0,0.0,0.0,9.23e-05
1798,0.0,0.0,0.0,9.429999999999999e-05
1799,0.0,0.0,0.0,9.62e-05
1800,0.0,0.0,0.0,9.82e-05
1801,0.0,0.0,0.0,0.0001
1802,0.0,0.0,0.0,0.000102
1803,0.0,0.0,0.0,0.000104
1804,0.0,0.0,0.0,0.000106
1805,0.0,0.0,0.0,0.000108
1806,0.0,0.0,0.0,0.00011
1807,0.0,0.0,0.0,0.000112
1808,0.0,0.0,0.0,0.000114
1809,0.0,0.0,0.0,0.000116
1810,0.0,0.0,0.0,0.000118
1811,0.0,0.0,0.0,0.00011999999999999999
1812,0.0,0.0,0.0,0.000122
1813,0.0,0.0,0.0,0.000124
1814,0.0,0.0,0.0,0.000126
1815,0.0,0.0,0.0,0.000128
1816,0.0,0.0,0.0,0.00013000000000000002
1817,0.0,0.0,0.0,0.000132
1818,0.0,0.0,0.0,0.000134
1819,0.0,0.0,0.0,0.000135
1820,0.0,0.0,0.0,0.00013700000000000002
1821,0.0,0.0,0.0,0.00013900000000000002
1822,0.0,0.0,0.0,0.00014099999999999998
1823,0.0,0.0,0.0,0.00014299999999999998
1824,0.0,0.0,0.0,0.000145
1825,0.0,0.0,0.0,0.000147
1826,0.0,0.0,0.0,0.000149
1827,0.0,0.0,0.0,0.00015099999999999998
1828,0.0,0.0,0.0,0.000153
1829,0.0,0.0,0.0,0.000155
1830,0.0,0.0,0.0,0.000157
1831,0.0,0.0,0.0,0.00015900000000000002
1832,0.0,0.0,0.0,0.000161
1833,0.0,0.0,0.0,0.000163
1834,0.0,0.0,0.0,0.000165
1835,0.0,0.0,0.0,0.00016700000000000002
1836,0.0,0.0,0.0,0.00016900000000000002
1837,0.0,0.0,0.0,0.000171
1838,0.0,0.0,0.0,0.00017299999999999998
1839,0.0,0.0,0.0,0.000175
1840,0.0,0.0,0.0,0.000177
1841,0.0,0.0,0.0,0.000179
1842,0.0,0.0,0.0,0.00018099999999999998
1843,0.0,0.0,0.0,0.000183
1844,0.0,0.0,0.0,0.000185
1845,0.0,0.0,0.0,0.000187
1846,0.0,0.0,0.0,0.000189
1847,0.0,0.0,0.0,0.00019
1848,0.0,0.0,0.0,0.000192
1849,0.0,0.0,0.0,0.000194
1850,4.94e-06,0.0,2.34e-07,0.00019600000000000002
1851,5.04e-06,0.0,2.39e-07,0.00019800000000000002
1852,5.14e-06,0.0,2.44e-07,0.0002
1853,5.24e-06,0.0,2.4899999999999997e-07,0.000202
1854,5.33e-06,0.0,2.53e-07,0.000204
1855,5.41e-06,0.0,2.5700000000000004e-07,0.000206
1856,5.48e-06,0.0,2.6e-07,0.000208
1857,5.55e-06,0.0,2.63e-07,0.00020999999999999998
1858,5.6e-06,0.0,2.66e-07,0.000212
1859,5.6299999999999995e-06,0.0,2.68e-07,0.000214
