year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00035099999999999997
1851,0.000555
1852,0.000759
1853,0.000963
1854,0.00117
1855,0.0013700000000000001
1856,0.00158
1857,0.0017800000000000001
1858,0.00198
1859,0.00219
1860,0.00239
1861,0.0026
1862,0.0028
1863,0.0030099999999999997
1864,0.00321
1865,0.0034100000000000003
1866,0.00362
1867,0.00382
1868,0.004030000000000001
1869,0.00423
1870,0.00444
1871,0.00464
1872,0.00484
1873,0.00505
1874,0.00525
1875,0.00546
1876,0.00566
1877,0.00587
1878,0.00607
1879,0.0062699999999999995
1880,0.0064800000000000005
1881,0.006679999999999999
1882,0.006889999999999999
1883,0.00709
1884,0.0073
1885,0.0075
1886,0.0077
1887,0.00791
1888,0.00811
1889,0.008320000000000001
1890,0.00852
1891,0.00875
1892,0.00901
1893,0.009300000000000001
1894,0.00962
1895,0.009949999999999999
1896,0.0103
1897,0.0106
1898,0.011
1899,0.011300000000000001
1900,0.0116
1901,0.0119
1902,0.0121
1903,0.0124
1904,0.0127
1905,0.0129
1906,0.0132
1907,0.0135
1908,0.013699999999999999
1909,0.014
1910,0.0143
1911,0.0146
1912,0.0149
1913,0.0152
1914,0.0155
1915,0.0158
1916,0.0161
1917,0.0165
1918,0.016800000000000002
1919,0.0171
1920,0.0175
1921,0.0184
1922,0.0202
1923,0.0228
1924,0.0259
1925,0.0295
1926,0.0332
1927,0.037
1928,0.0405
1929,0.0437
1930,0.0464
1931,0.048600000000000004
1932,0.0507
1933,0.052700000000000004
1934,0.0545
1935,0.0564
1936,0.0582
1937,0.06
1938,0.0619
1939,0.0639
1940,0.066
1941,0.0682
1942,0.0705
1943,0.0729
1944,0.07540000000000001
1945,0.078
1946,0.0808
1947,0.0838
1948,0.0869
1949,0.0902
1950,0.0937
1951,0.0974
1952,0.102
1953,0.106
1954,0.111
1955,0.116
1956,0.121
1957,0.126
1958,0.132
1959,0.137
1960,0.143
1961,0.15
1962,0.158
1963,0.167
1964,0.176
1965,0.185
1966,0.194
1967,0.203
1968,0.211
1969,0.218
1970,0.224
1971,0.23
1972,0.236
1973,0.242
1974,0.248
1975,0.254
1976,0.26
1977,0.265
1978,0.27
1979,0.275
1980,0.278
1981,0.281
1982,0.284
1983,0.285
1984,0.287
1985,0.288
1986,0.289
1987,0.29
1988,0.291
1989,0.293
1990,0.297
1991,0.316
1992,0.344
1993,0.354
1994,0.339
1995,0.418
1996,0.529
1997,0.637
1998,0.768
1999,0.874
2000,1.14
2001,1.18
2002,1.46
2003,1.99
2004,2.16
2005,2.62
2006,2.86
2007,2.08
2008,2.17
2009,2.43
2010,2.85
2011,2.95
2012,3.08
2013,3.45
2014,3.88
2015,4.06
2016,4.36
2017,5.0
2018,5.39
2019,5.85
2020,6.37
2021,6.93
2022,7.36
2023,7.84
