year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,6.16e-05,1.48e-20,0.00053
1751,0.0,0.0,6.18e-05,1.44e-05,0.000532
1752,0.0,0.0,6.2e-05,2.87e-05,0.0005340000000000001
1753,0.0,0.0,6.23e-05,4.31e-05,0.000536
1754,0.0,0.0,6.25e-05,5.74e-05,0.000537
1755,0.0,0.0,6.27e-05,7.18e-05,0.000539
1756,0.0,0.0,6.29e-05,8.609999999999999e-05,0.000541
1757,0.0,0.0,6.31e-05,0.000101,0.0005420000000000001
1758,0.0,0.0,6.33e-05,0.000115,0.000544
1759,0.0,0.0,6.36e-05,0.000129,0.000546
1760,0.0,0.0,6.379999999999999e-05,0.00014399999999999998,0.0005470000000000001
1761,0.0,0.0,6.4e-05,0.000158,0.000549
1762,0.0,0.0,6.419999999999999e-05,0.00017199999999999998,0.0005510000000000001
1763,0.0,0.0,6.45e-05,0.000187,0.000553
1764,0.0,0.0,6.469999999999999e-05,0.000201,0.000555
1765,0.0,0.0,6.49e-05,0.000215,0.0005570000000000001
1766,0.0,0.0,6.52e-05,0.00023,0.000558
1767,0.0,0.0,6.54e-05,0.000244,0.0005600000000000001
1768,0.0,0.0,6.560000000000001e-05,0.000258,0.0005620000000000001
1769,0.0,0.0,6.59e-05,0.000273,0.0005639999999999999
1770,0.0,0.0,6.610000000000001e-05,0.000287,0.000566
1771,0.0,0.0,6.63e-05,0.00030199999999999997,0.0005679999999999999
1772,0.0,0.0,6.66e-05,0.000316,0.00057
1773,0.0,0.0,6.68e-05,0.00033,0.0005719999999999999
1774,0.0,0.0,6.71e-05,0.000345,0.0005729999999999999
1775,0.0,0.0,6.74e-05,0.000359,0.000575
1776,0.0,0.0,6.759999999999999e-05,0.000373,0.0005769999999999999
1777,0.0,0.0,6.79e-05,0.000388,0.000579
1778,0.0,0.0,6.809999999999999e-05,0.000402,0.0005809999999999999
1779,0.0,0.0,6.840000000000001e-05,0.000416,0.000583
1780,0.0,0.0,6.86e-05,0.000431,0.000585
1781,0.0,0.0,6.890000000000001e-05,0.00044500000000000003,0.000587
1782,0.0,0.0,6.92e-05,0.00045900000000000004,0.000589
1783,0.0,0.0,6.94e-05,0.000474,0.0005909999999999999
1784,0.0,0.0,6.97e-05,0.000488,0.000593
1785,0.0,0.0,7.000000000000001e-05,0.000503,0.000596
1786,0.0,0.0,7.02e-05,0.000517,0.000598
1787,0.0,0.0,7.049999999999999e-05,0.000531,0.0006
1788,0.0,0.0,7.08e-05,0.000546,0.000602
1789,0.0,0.0,7.11e-05,0.0005600000000000001,0.0006039999999999999
1790,0.0,0.0,7.13e-05,0.000574,0.000606
1791,0.0,0.0,7.159999999999999e-05,0.000589,0.000608
1792,0.0,0.0,7.19e-05,0.000603,0.00061
1793,0.0,0.0,7.22e-05,0.000617,0.0006129999999999999
1794,0.0,0.0,7.25e-05,0.000632,0.000615
1795,0.0,0.0,7.280000000000001e-05,0.000646,0.000617
1796,0.0,0.0,7.31e-05,0.00066,0.000619
1797,0.0,0.0,7.340000000000001e-05,0.000675,0.000621
1798,0.0,0.0,7.37e-05,0.0006889999999999999,0.000624
1799,0.0,0.0,7.4e-05,0.000704,0.000626
1800,0.0,0.0,7.43e-05,0.000718,0.000628
1801,0.0,0.0,7.46e-05,0.000732,0.000631
1802,0.0,0.0,7.489999999999999e-05,0.000747,0.000633
1803,0.0,0.0,7.53e-05,0.000761,0.000635
1804,0.0,0.0,7.56e-05,0.000775,0.000638
1805,0.0,0.0,7.59e-05,0.00079,0.00064
1806,0.0,0.0,7.620000000000001e-05,0.000804,0.000642
1807,0.0,0.0,7.66e-05,0.0008179999999999999,0.0006450000000000001
1808,0.0,0.0,7.69e-05,0.000833,0.000647
