year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0126,0.0,0.00261,0.0,0.019399999999999997
1751,0.0126,0.0,0.00263,0.000131,0.0195
1752,0.0127,0.0,0.00264,0.000261,0.019600000000000003
1753,0.0127,0.0,0.00265,0.00039200000000000004,0.0197
1754,0.0128,0.0,0.00266,0.000523,0.0198
1755,0.0128,0.0,0.00268,0.000653,0.019899999999999998
1756,0.0129,0.0,0.00269,0.0007840000000000001,0.02
1757,0.0129,0.0,0.0027,0.000915,0.0201
1758,0.013,0.0,0.00272,0.0010500000000000002,0.0202
1759,0.013,0.0,0.00273,0.0011799999999999998,0.020300000000000002
1760,0.013099999999999999,0.0,0.0027400000000000002,0.00131,0.020399999999999998
1761,0.013099999999999999,0.0,0.00276,0.0014399999999999999,0.0205
1762,0.0132,0.0,0.00277,0.00157,0.0206
1763,0.013300000000000001,0.0,0.00278,0.0017,0.0207
1764,0.013300000000000001,0.0,0.0028,0.00183,0.0208
1765,0.0134,0.0,0.00281,0.00196,0.0209
1766,0.0134,0.0,0.00283,0.00209,0.021
1767,0.0135,0.0,0.0028399999999999996,0.00222,0.0211
1768,0.0135,0.0,0.00285,0.00235,0.0212
1769,0.0136,0.0,0.00287,0.00248,0.0213
1770,0.0136,0.0,0.0028799999999999997,0.00261,0.0214
1771,0.013699999999999999,0.0,0.00289,0.0027400000000000002,0.0215
1772,0.013699999999999999,0.0,0.0029100000000000003,0.0028799999999999997,0.0216
1773,0.013800000000000002,0.0,0.00292,0.0030099999999999997,0.0217
1774,0.013800000000000002,0.0,0.00294,0.00314,0.0218
1775,0.013900000000000001,0.0,0.0029500000000000004,0.00327,0.022
1776,0.013900000000000001,0.0,0.00297,0.0034,0.0221
1777,0.014,0.0,0.00298,0.0035299999999999997,0.0222
1778,0.014,0.0,0.003,0.00366,0.0223
1779,0.0141,0.0,0.0030099999999999997,0.00379,0.0224
1780,0.0141,0.0,0.00302,0.00392,0.0225
1781,0.014199999999999999,0.0,0.00304,0.00405,0.022600000000000002
1782,0.0143,0.0,0.0030499999999999998,0.00418,0.022699999999999998
1783,0.0143,0.0,0.00307,0.00431,0.0228
1784,0.0144,0.0,0.00309,0.00444,0.0229
1785,0.0144,0.0,0.0031,0.00457,0.023
1786,0.0145,0.0,0.00312,0.00471,0.0232
1787,0.0145,0.0,0.00313,0.00484,0.0233
1788,0.0146,0.0,0.00315,0.00497,0.023399999999999997
1789,0.0146,0.0,0.00316,0.0050999999999999995,0.0235
1790,0.0147,0.0,0.00318,0.00523,0.023600000000000003
1791,0.0147,0.0,0.00319,0.00536,0.0237
1792,0.0148,0.0,0.00321,0.00549,0.0238
1793,0.0148,0.0,0.00322,0.00562,0.024
1794,0.0149,0.0,0.0032400000000000003,0.00575,0.0241
1795,0.0149,0.0,0.00326,0.00588,0.0242
1796,0.015,0.0,0.00327,0.00601,0.024300000000000002
1797,0.015,0.0,0.00329,0.00614,0.024399999999999998
1798,0.015099999999999999,0.0,0.0033,0.0062699999999999995,0.0246
1799,0.0152,0.0,0.00332,0.0064,0.0247
1800,0.0152,0.0,0.00333,0.00653,0.0248
1801,0.015300000000000001,0.0,0.00335,0.00667,0.0249
