year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000188
1851,0.000188
1852,0.000188
1853,0.000188
1854,0.000188
1855,0.000188
1856,0.000188
1857,0.000188
1858,0.000188
1859,0.000188
1860,0.000188
1861,0.000188
1862,0.000188
1863,0.000188
1864,0.000188
1865,0.000188
1866,0.000188
1867,0.000188
1868,0.000188
1869,0.000188
1870,0.000188
1871,0.000188
1872,0.000188
1873,0.000188
1874,0.000188
1875,0.000188
1876,0.000188
1877,0.000188
1878,0.000188
1879,0.000188
1880,0.000188
1881,0.000188
1882,0.000188
1883,0.000188
1884,0.000188
1885,0.000188
1886,0.000188
1887,0.000188
1888,0.000188
1889,0.000188
1890,0.000188
1891,0.00022
1892,0.000307
1893,0.000439
1894,0.000605
1895,0.000794
1896,0.000995
1897,0.0012
1898,0.00139
1899,0.00156
1900,0.0017
1901,0.00182
1902,0.0019199999999999998
1903,0.00202
1904,0.00211
1905,0.0022
1906,0.0023
1907,0.00239
1908,0.00249
1909,0.0026
1910,0.00272
1911,0.00285
1912,0.00299
1913,0.00314
1914,0.0033
1915,0.00346
1916,0.00363
1917,0.00382
1918,0.00401
1919,0.00421
1920,0.00442
1921,0.00526
1922,0.00722
1923,0.0101
1924,0.0136
1925,0.0176
1926,0.0219
1927,0.026199999999999998
1928,0.0304
1929,0.0341
1930,0.037200000000000004
1931,0.04
1932,0.0426
1933,0.0451
1934,0.0476
1935,0.05
1936,0.052399999999999995
1937,0.054799999999999995
1938,0.0572
1939,0.0596
1940,0.0621
1941,0.06459999999999999
1942,0.06720000000000001
1943,0.0699
1944,0.0728
1945,0.0757
1946,0.07890000000000001
1947,0.08220000000000001
1948,0.0857
1949,0.0895
1950,0.09359999999999999
1951,0.098
1952,0.103
1953,0.108
1954,0.114
1955,0.12
1956,0.126
1957,0.132
1958,0.139
1959,0.146
1960,0.153
1961,0.16
1962,0.169
1963,0.178
1964,0.188
1965,0.198
1966,0.208
1967,0.218
1968,0.226
1969,0.234
1970,0.24
1971,0.245
1972,0.25
1973,0.255
1974,0.26
1975,0.265
1976,0.27
1977,0.274
1978,0.277
1979,0.28
1980,0.283
1981,0.284
1982,0.284
1983,0.284
1984,0.283
1985,0.282
1986,0.281
1987,0.28
1988,0.279
1989,0.279
1990,0.262
1991,0.359
1992,0.368
1993,0.363
1994,0.37
1995,0.14
1996,0.146
1997,0.214
1998,0.248
1999,0.249
2000,0.302
2001,0.255
2002,0.256
2003,0.266
2004,0.32
2005,0.249
2006,0.297
2007,0.482
2008,0.276
2009,0.246
2010,0.341
2011,0.437
2012,0.373
2013,0.343
2014,0.371
2015,0.477
2016,0.399
2017,0.42
2018,0.426
2019,0.426
2020,0.435
2021,0.445
2022,0.446
