year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,3.52e-05
1851,3.52e-05
1852,3.52e-05
1853,3.52e-05
1854,3.52e-05
1855,3.52e-05
1856,3.52e-05
1857,3.52e-05
1858,3.52e-05
1859,3.52e-05
1860,3.52e-05
1861,3.52e-05
1862,3.52e-05
1863,3.53e-05
1864,3.53e-05
1865,3.53e-05
1866,3.53e-05
1867,3.53e-05
1868,3.53e-05
1869,3.53e-05
1870,3.53e-05
1871,3.53e-05
1872,3.53e-05
1873,3.53e-05
1874,3.53e-05
1875,3.53e-05
1876,3.53e-05
1877,3.53e-05
1878,3.53e-05
1879,3.53e-05
1880,3.53e-05
1881,3.53e-05
1882,3.53e-05
1883,3.53e-05
1884,3.53e-05
1885,3.53e-05
1886,3.53e-05
1887,3.53e-05
1888,3.53e-05
1889,3.53e-05
1890,3.53e-05
1891,4.12e-05
1892,5.76e-05
1893,8.24e-05
1894,0.000114
1895,0.000149
1896,0.000187
1897,0.000225
1898,0.000261
1899,0.00029299999999999997
1900,0.00032
1901,0.00034100000000000005
1902,0.000361
1903,0.000379
1904,0.000397
1905,0.000414
1906,0.000431
1907,0.000448
1908,0.000467
1909,0.000488
1910,0.00051
1911,0.000535
1912,0.0005610000000000001
1913,0.000589
1914,0.000618
1915,0.0006490000000000001
1916,0.0006820000000000001
1917,0.000716
1918,0.000752
1919,0.00079
1920,0.000829
1921,0.000987
1922,0.00135
1923,0.00189
1924,0.00256
1925,0.00331
1926,0.00411
1927,0.00492
1928,0.0057
1929,0.0064
1930,0.0069900000000000006
1931,0.0075
1932,0.00799
1933,0.00846
1934,0.008919999999999999
1935,0.009380000000000001
1936,0.00983
1937,0.0103
1938,0.0107
1939,0.0112
1940,0.011699999999999999
1941,0.0121
1942,0.0126
1943,0.013099999999999999
1944,0.013699999999999999
1945,0.014199999999999999
1946,0.0148
1947,0.0155
1948,0.0161
1949,0.0169
1950,0.0176
1951,0.0185
1952,0.019399999999999997
1953,0.020399999999999998
1954,0.0214
1955,0.022600000000000002
1956,0.0237
1957,0.0249
1958,0.026199999999999998
1959,0.0275
1960,0.0288
1961,0.030199999999999998
1962,0.0319
1963,0.033600000000000005
1964,0.0355
1965,0.037399999999999996
1966,0.039299999999999995
1967,0.041
1968,0.0426
1969,0.044
1970,0.045200000000000004
1971,0.046200000000000005
1972,0.047200000000000006
1973,0.0482
1974,0.0493
1975,0.0502
1976,0.0512
1977,0.052
1978,0.052700000000000004
1979,0.053399999999999996
1980,0.053899999999999997
1981,0.054200000000000005
1982,0.054299999999999994
1983,0.054299999999999994
1984,0.054299999999999994
1985,0.0541
1986,0.054
1987,0.0538
1988,0.0538
1989,0.0538
1990,0.0541
1991,0.0541
1992,0.0541
1993,0.054200000000000005
1994,0.055200000000000006
1995,0.0701
1996,0.08220000000000001
1997,0.09409999999999999
1998,0.119
1999,0.165
2000,0.236
2001,0.285
2002,0.355
2003,0.426
2004,0.502
2005,0.714
2006,0.691
2007,0.778
2008,0.796
2009,0.891
2010,1.05
2011,1.13
2012,1.45
2013,2.21
2014,3.5
2015,4.33
2016,4.83
2017,5.36
2018,5.58
2019,6.04
2020,5.98
2021,6.51
2022,6.71
2023,6.98
