year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.65e-05,3.82e-20,0.00028199999999999997
1751,0.0,0.0,2.6700000000000002e-05,1.1e-05,0.000285
1752,0.0,0.0,2.69e-05,2.19e-05,0.000287
1753,0.0,0.0,2.7099999999999998e-05,3.29e-05,0.000289
1754,0.0,0.0,2.7300000000000003e-05,4.39e-05,0.000292
1755,0.0,0.0,2.75e-05,5.4800000000000004e-05,0.000294
1756,0.0,0.0,2.7799999999999998e-05,6.58e-05,0.000296
1757,0.0,0.0,2.8e-05,7.68e-05,0.000299
1758,0.0,0.0,2.82e-05,8.77e-05,0.000301
1759,0.0,0.0,2.8400000000000003e-05,9.87e-05,0.000303
1760,0.0,0.0,2.86e-05,0.00011,0.000306
1761,0.0,0.0,2.8899999999999998e-05,0.000121,0.000308
1762,0.0,0.0,2.91e-05,0.000132,0.000311
1763,0.0,0.0,2.93e-05,0.00014299999999999998,0.000313
1764,0.0,0.0,2.96e-05,0.000154,0.000316
1765,0.0,0.0,2.98e-05,0.000164,0.00031800000000000003
1766,0.0,0.0,2.9999999999999997e-05,0.000175,0.000321
1767,0.0,0.0,3.03e-05,0.000186,0.000323
1768,0.0,0.0,3.05e-05,0.00019700000000000002,0.000326
1769,0.0,0.0,3.07e-05,0.000208,0.000328
1770,0.0,0.0,3.1e-05,0.000219,0.000331
1771,0.0,0.0,3.12e-05,0.00023,0.000333
1772,0.0,0.0,3.15e-05,0.000241,0.00033600000000000004
1773,0.0,0.0,3.17e-05,0.000252,0.000339
1774,0.0,0.0,3.2e-05,0.000263,0.000342
1775,0.0,0.0,3.22e-05,0.00027400000000000005,0.00034399999999999996
1776,0.0,0.0,3.2500000000000004e-05,0.000285,0.000347
1777,0.0,0.0,3.27e-05,0.000296,0.00035
1778,0.0,0.0,3.3e-05,0.000307,0.000352
1779,0.0,0.0,3.32e-05,0.00031800000000000003,0.00035499999999999996
1780,0.0,0.0,3.35e-05,0.00032900000000000003,0.000358
1781,0.0,0.0,3.3799999999999995e-05,0.00034,0.000361
1782,0.0,0.0,3.4099999999999995e-05,0.00035099999999999997,0.000364
1783,0.0,0.0,3.43e-05,0.00036199999999999996,0.000367
1784,0.0,0.0,3.46e-05,0.000373,0.00037
1785,0.0,0.0,3.49e-05,0.000384,0.000372
1786,0.0,0.0,3.52e-05,0.000395,0.000375
1787,0.0,0.0,3.54e-05,0.000406,0.000378
1788,0.0,0.0,3.57e-05,0.000417,0.000381
1789,0.0,0.0,3.5999999999999994e-05,0.000428,0.000384
1790,0.0,0.0,3.6200000000000006e-05,0.000439,0.00038700000000000003
1791,0.0,0.0,3.65e-05,0.00045,0.00039
1792,0.0,0.0,3.68e-05,0.00046100000000000004,0.000393
1793,0.0,0.0,3.71e-05,0.000472,0.000397
1794,0.0,0.0,3.74e-05,0.000483,0.0004
1795,0.0,0.0,3.7699999999999995e-05,0.000493,0.00040300000000000004
1796,0.0,0.0,3.8e-05,0.000504,0.000406
1797,0.0,0.0,3.83e-05,0.000515,0.00040899999999999997
1798,0.0,0.0,3.86e-05,0.000526,0.000412
1799,0.0,0.0,3.89e-05,0.000537,0.000416
1800,0.0,0.0,3.92e-05,0.0005480000000000001,0.000419
1801,0.0,0.0,3.95e-05,0.000559,0.000422
1802,0.0,0.0,3.99e-05,0.00057,0.000426
1803,0.0,0.0,4.02e-05,0.0005809999999999999,0.000429
1804,0.0,0.0,4.05e-05,0.000592,0.000433
1805,0.0,0.0,4.08e-05,0.000603,0.00043599999999999997
1806,0.0,0.0,4.1099999999999996e-05,0.000614,0.000439
1807,0.0,0.0,4.15e-05,0.000625,0.000443
1808,0.0,0.0,4.18e-05,0.0006360000000000001,0.000446
1809,0.0,0.0,4.21e-05,0.000647,0.00045
1810,0.0,0.0,4.24e-05,0.0006580000000000001,0.000453
1811,0.0,0.0,4.36e-05,0.000669,0.00046600000000000005
1812,0.0,0.0,4.48e-05,0.00068,0.00047799999999999996
1813,0.0,0.0,4.6e-05,0.000691,0.000491
1814,0.0,0.0,4.72e-05,0.0007019999999999999,0.000504
1815,0.0,0.0,4.83e-05,0.000713,0.000516
1816,0.0,0.0,4.9500000000000004e-05,0.0007239999999999999,0.0005290000000000001
1817,0.0,0.0,5.07e-05,0.000735,0.000541
1818,0.0,0.0,5.19e-05,0.000746,0.000554
1819,0.0,0.0,5.3e-05,0.000757,0.000566
1820,0.0,0.0,5.4199999999999996e-05,0.000768,0.000579
1821,0.0,0.0,5.57e-05,0.0007790000000000001,0.0005949999999999999
1822,0.0,0.0,5.72e-05,0.00079,0.000611
1823,0.0,0.0,5.8700000000000004e-05,0.0008010000000000001,0.000627
1824,0.0,0.0,6.02e-05,0.0008110000000000001,0.000643
1825,0.0,0.0,6.18e-05,0.0008219999999999999,0.0006590000000000001
1826,0.0,0.0,6.33e-05,0.000833,0.0006760000000000001
1827,0.0,0.0,6.48e-05,0.000844,0.0006919999999999999
1828,0.0,0.0,6.63e-05,0.000855,0.000708
1829,0.0,0.0,6.78e-05,0.000866,0.0007239999999999999
1830,0.0,0.0,6.93e-05,0.000877,0.00074
1831,0.0,0.0,7.12e-05,0.000888,0.00076
1832,0.0,0.0,7.31e-05,0.0008990000000000001,0.000781
1833,0.0,0.0,7.51e-05,0.00091,0.0008020000000000001
1834,0.0,0.0,7.7e-05,0.000921,0.0008219999999999999
1835,0.0,0.0,7.89e-05,0.0009320000000000001,0.000843
1836,0.0,0.0,8.08e-05,0.0009429999999999999,0.0008629999999999999
1837,0.0,0.0,8.28e-05,0.000954,0.000884
1838,0.0,0.0,8.47e-05,0.0009649999999999999,0.0009040000000000001
1839,0.0,0.0,8.659999999999999e-05,0.000976,0.000925
1840,0.0,0.0,8.85e-05,0.000987,0.000945
1841,0.0,0.0,9.1e-05,0.000998,0.000972
1842,0.0,0.0,9.34e-05,0.00101,0.000998
1843,0.0,0.0,9.59e-05,0.00102,0.00102
1844,0.0,0.0,9.84e-05,0.00103,0.0010500000000000002
1845,0.0,0.0,0.000101,0.0010400000000000001,0.00108
1846,0.0,0.0,0.000103,0.0010500000000000002,0.0011
1847,0.0,0.0,0.000106,0.00106,0.00113
1848,0.0,0.0,0.000108,0.00107,0.00116
1849,0.0,0.0,0.000111,0.00109,0.0011799999999999998
1850,2.76e-05,0.0,0.000108,0.0011,0.00116
1851,2.82e-05,0.0,0.00011,0.00111,0.0011799999999999998
1852,2.87e-05,0.0,0.00011300000000000001,0.0011200000000000001,0.0012
1853,2.93e-05,0.0,0.000115,0.00113,0.00123
1854,2.98e-05,0.0,0.00011700000000000001,0.00114,0.00125
