year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1.35e-10
1851,1.35e-10
1852,1.35e-10
1853,1.35e-10
1854,1.35e-10
1855,1.35e-10
1856,1.35e-10
1857,1.35e-10
1858,1.35e-10
1859,1.35e-10
1860,1.35e-10
1861,1.35e-10
1862,1.35e-10
1863,1.35e-10
1864,1.35e-10
1865,1.35e-10
1866,1.35e-10
1867,1.35e-10
1868,1.35e-10
1869,1.35e-10
1870,1.35e-10
1871,1.35e-10
1872,1.35e-10
1873,1.35e-10
1874,1.35e-10
1875,1.35e-10
1876,1.35e-10
1877,1.35e-10
1878,1.35e-10
1879,1.35e-10
1880,1.35e-10
1881,1.35e-10
1882,1.35e-10
1883,1.35e-10
1884,1.35e-10
1885,1.35e-10
1886,1.35e-10
1887,1.35e-10
1888,1.35e-10
1889,1.35e-10
1890,1.35e-10
1891,1.57e-10
1892,2.2000000000000002e-10
1893,3.14e-10
1894,4.33e-10
1895,5.69e-10
1896,7.13e-10
1897,8.579999999999999e-10
1898,9.96e-10
1899,1.12e-09
1900,1.22e-09
1901,1.3e-09
1902,1.38e-09
1903,1.4500000000000002e-09
1904,1.51e-09
1905,1.58e-09
1906,1.64e-09
1907,1.7099999999999999e-09
1908,1.7799999999999999e-09
1909,1.86e-09
1910,1.95e-09
1911,2.04e-09
1912,2.1399999999999996e-09
1913,2.25e-09
1914,2.3599999999999997e-09
1915,2.48e-09
1916,2.6e-09
1917,2.74e-09
1918,2.8700000000000002e-09
1919,3.02e-09
1920,3.16e-09
1921,3.77e-09
1922,5.169999999999999e-09
1923,7.22e-09
1924,9.76e-09
1925,1.26e-08
1926,1.5699999999999998e-08
1927,1.88e-08
1928,2.18e-08
1929,2.44e-08
1930,2.6699999999999998e-08
1931,2.86e-08
1932,3.05e-08
1933,3.23e-08
1934,3.41e-08
1935,3.58e-08
1936,3.75e-08
1937,3.92e-08
1938,4.1e-08
1939,4.27e-08
1940,4.4499999999999995e-08
1941,4.63e-08
1942,4.82e-08
1943,5.01e-08
1944,5.2099999999999997e-08
1945,5.4299999999999997e-08
1946,5.6499999999999996e-08
1947,5.8900000000000005e-08
1948,6.140000000000001e-08
1949,6.41e-08
1950,6.7e-08
1951,7.019999999999999e-08
1952,7.37e-08
1953,7.75e-08
1954,8.150000000000001e-08
1955,8.569999999999999e-08
1956,9.02e-08
1957,9.48e-08
1958,9.959999999999999e-08
1959,1.0399999999999999e-07
1960,1.0900000000000001e-07
1961,1.15e-07
1962,1.21e-07
1963,1.2799999999999998e-07
1964,1.35e-07
1965,1.42e-07
1966,1.49e-07
1967,1.56e-07
1968,1.62e-07
1969,1.67e-07
1970,1.68e-07
1971,1.88e-07
1972,3.75e-07
1973,5.63e-07
1974,0.00031800000000000003
1975,0.00996
1976,0.0195
1977,0.022600000000000002
1978,0.0224
1979,0.053399999999999996
1980,0.060200000000000004
1981,0.060700000000000004
1982,0.0639
1983,0.0616
1984,0.0626
1985,0.0634
1986,0.06709999999999999
1987,0.0694
1988,0.0698
1989,0.0734
1990,0.07390000000000001
1991,0.07390000000000001
1992,0.07390000000000001
1993,0.07390000000000001
1994,0.07390000000000001
1995,0.07390000000000001
1996,0.07390000000000001
1997,0.07390000000000001
1998,0.07390000000000001
1999,0.07390000000000001
2000,0.07390000000000001
2001,0.07390000000000001
2002,0.07390000000000001
2003,0.07390000000000001
2004,0.07390000000000001
2005,0.07390000000000001
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
