year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00936,0.0,0.0209,0.0,0.128
1751,0.00939,0.0,0.021,0.0,0.128
1752,0.00943,0.0,0.0211,0.0,0.129
1753,0.009460000000000001,0.0,0.0211,0.0,0.129
1754,0.0095,0.0,0.0212,0.0,0.13
1755,0.009529999999999999,0.0,0.0213,0.0,0.13
1756,0.00957,0.0,0.0214,0.0,0.131
1757,0.0096,0.0,0.0214,0.0,0.131
1758,0.009630000000000001,0.0,0.0215,0.0,0.132
1759,0.00967,0.0,0.0216,0.0,0.132
1760,0.009699999999999999,0.0,0.0217,0.0,0.133
1761,0.00974,0.0,0.0218,0.0,0.133
1762,0.009779999999999999,0.0,0.0218,0.0,0.134
1763,0.009810000000000001,0.0,0.0219,0.0,0.134
1764,0.00985,0.0,0.022,0.0,0.135
1765,0.009880000000000002,0.0,0.0221,0.0,0.135
1766,0.00992,0.0,0.0222,0.0,0.136
1767,0.00996,0.0,0.0222,0.0,0.136
1768,0.00999,0.0,0.0223,0.0,0.137
1769,0.01,0.0,0.0224,0.0,0.137
1770,0.0101,0.0,0.0225,0.0,0.138
1771,0.0101,0.0,0.022600000000000002,0.0,0.138
1772,0.0101,0.0,0.022600000000000002,0.0,0.139
1773,0.010199999999999999,0.0,0.022699999999999998,0.0,0.139
1774,0.010199999999999999,0.0,0.0228,0.0,0.14
1775,0.0103,0.0,0.0229,0.0,0.14
1776,0.0103,0.0,0.023,0.0,0.141
1777,0.0103,0.0,0.023100000000000002,0.0,0.141
1778,0.0104,0.0,0.023100000000000002,0.0,0.142
1779,0.0104,0.0,0.0232,0.0,0.142
1780,0.0104,0.0,0.0233,0.0,0.143
1781,0.0105,0.0,0.023399999999999997,0.0,0.143
1782,0.0105,0.0,0.0235,0.0,0.144
1783,0.0105,0.0,0.023600000000000003,0.0,0.144
1784,0.0106,0.0,0.0237,0.0,0.145
1785,0.0106,0.0,0.0237,0.0,0.145
1786,0.0107,0.0,0.0238,0.0,0.146
