year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0009699999999999999
1851,0.0009699999999999999
1852,0.0009699999999999999
1853,0.0009699999999999999
1854,0.0009699999999999999
1855,0.0009699999999999999
1856,0.0009699999999999999
1857,0.0009699999999999999
1858,0.0009699999999999999
1859,0.0009699999999999999
1860,0.0009699999999999999
1861,0.0009699999999999999
1862,0.0009699999999999999
1863,0.0009699999999999999
1864,0.0009699999999999999
1865,0.0009699999999999999
1866,0.0009699999999999999
1867,0.0009699999999999999
1868,0.0009699999999999999
1869,0.0009699999999999999
1870,0.0009699999999999999
1871,0.0009699999999999999
1872,0.0009699999999999999
1873,0.0009699999999999999
1874,0.0009699999999999999
1875,0.0009699999999999999
1876,0.0009699999999999999
1877,0.0009699999999999999
1878,0.0009699999999999999
1879,0.0009699999999999999
1880,0.0009699999999999999
1881,0.0009699999999999999
1882,0.000971
1883,0.000971
1884,0.000971
1885,0.000971
1886,0.000971
1887,0.000971
1888,0.000971
1889,0.000971
1890,0.000971
1891,0.00111
1892,0.0015
1893,0.0020800000000000003
1894,0.00282
1895,0.00365
1896,0.00454
1897,0.00544
1898,0.0062900000000000005
1899,0.00705
1900,0.007679999999999999
1901,0.00819
1902,0.00865
1903,0.009089999999999999
1904,0.0095
1905,0.0099
1906,0.0103
1907,0.0107
1908,0.0112
1909,0.0116
1910,0.012199999999999999
1911,0.0128
1912,0.0134
1913,0.014
1914,0.0147
1915,0.0155
1916,0.0162
1917,0.017
1918,0.0179
1919,0.0188
1920,0.0197
1921,0.023899999999999998
1922,0.0338
1923,0.0485
1924,0.06659999999999999
1925,0.0872
1926,0.109
1927,0.131
1928,0.152
1929,0.171
1930,0.187
1931,0.201
1932,0.214
1933,0.227
1934,0.239
1935,0.251
1936,0.263
1937,0.275
1938,0.287
1939,0.299
1940,0.312
1941,0.325
1942,0.34
1943,0.356
1944,0.372
1945,0.39
1946,0.409
1947,0.429
1948,0.449
1949,0.471
1950,0.494
1951,0.519
1952,0.546
1953,0.575
1954,0.605
1955,0.638
1956,0.671
1957,0.706
1958,0.742
1959,0.779
1960,0.816
1961,0.857
1962,0.902
1963,0.952
1964,1.0
1965,1.06
1966,1.11
1967,1.16
1968,1.2
1969,1.24
1970,1.28
1971,1.31
1972,1.35
1973,1.39
1974,1.43
1975,1.47
1976,1.51
1977,1.55
1978,1.59
1979,1.63
1980,1.65
1981,1.68
1982,1.7
1983,1.72
1984,1.73
1985,1.74
1986,1.76
1987,1.77
1988,1.77
1989,1.78
1990,1.52
1991,1.68
1992,1.14
1993,1.05
1994,1.27
1995,1.56
1996,1.7
1997,1.72
1998,1.52
1999,1.42
2000,1.34
2001,1.54
2002,1.65
2003,1.67
2004,1.7
2005,1.72
2006,1.69
2007,1.72
2008,1.74
2009,1.59
2010,1.72
2011,1.77
2012,1.83
2013,1.9
2014,2.01
2015,2.09
2016,2.17
2017,2.19
2018,2.21
2019,2.15
2020,2.07
2021,1.8
2022,2.0
