year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,6.29e-06
1922,2.34e-05
1923,4.85e-05
1924,7.91e-05
1925,0.000112
1926,0.000146
1927,0.000176
1928,0.000201
1929,0.00021799999999999999
1930,0.000225
1931,0.00022
1932,0.000206
1933,0.000186
1934,0.000161
1935,0.000134
1936,0.000107
1937,8.24e-05
1938,6.2e-05
1939,4.82e-05
1940,4.31e-05
1941,4.4e-05
1942,4.65e-05
1943,5.0299999999999996e-05
1944,5.54e-05
1945,6.14e-05
1946,6.829999999999999e-05
1947,7.57e-05
1948,8.350000000000001e-05
1949,9.14e-05
1950,9.93e-05
1951,0.000108
1952,0.00011700000000000001
1953,0.000127
1954,0.00013900000000000002
1955,0.00015099999999999998
1956,0.000165
1957,0.000179
1958,0.000195
1959,0.000211
1960,0.000229
1961,0.000249
1962,0.000272
1963,0.0003
1964,0.00033
1965,0.000364
1966,0.00040100000000000004
1967,0.00044
1968,0.000482
1969,0.000526
1970,0.0005719999999999999
1971,0.000626
1972,0.0006919999999999999
1973,0.000767
1974,0.0008489999999999999
1975,0.000937
1976,0.00103
1977,0.0011200000000000001
1978,0.00121
1979,0.0012900000000000001
1980,0.0013700000000000001
1981,0.00145
1982,0.00152
1983,0.00159
1984,0.00166
1985,0.00173
1986,0.0018
1987,0.00188
1988,0.00196
1989,0.0020499999999999997
1990,0.00204
1991,0.00326
1992,0.004719999999999999
1993,0.234
1994,0.257
1995,0.351
1996,0.422
1997,0.51
1998,0.608
1999,0.705
2000,0.709
2001,0.849
2002,0.997
2003,1.08
2004,1.15
2005,1.16
2006,1.17
2007,1.22
2008,1.27
2009,1.38
2010,1.5
2011,1.6
2012,1.68
2013,1.78
2014,1.88
2015,1.99
2016,1.99
2017,1.99
2018,2.05
2019,1.91
2020,1.82
2021,1.6
2022,1.74
