year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.365,0.0,0.0484,0.0,2.03
1751,0.366,0.0,0.048600000000000004,0.0,2.04
1752,0.366,0.0,0.048799999999999996,0.0,2.05
1753,0.366,0.0,0.0489,0.0,2.05
1754,0.366,0.0,0.049100000000000005,0.0,2.06
1755,0.367,0.0,0.0493,0.0,2.07
1756,0.367,0.0,0.0495,0.0,2.08
1757,0.367,0.0,0.0497,0.0,2.08
1758,0.368,0.0,0.0499,0.0,2.09
1759,0.368,0.0,0.05,0.0,2.1
1760,0.368,0.0,0.0502,0.0,2.11
1761,0.368,0.0,0.0504,0.0,2.11
1762,0.368,0.0,0.0505,0.0,2.12
1763,0.368,0.0,0.0507,0.0,2.13
1764,0.369,0.0,0.0509,0.0,2.13
1765,0.369,0.0,0.0511,0.0,2.14
1766,0.369,0.0,0.0512,0.0,2.15
1767,0.369,0.0,0.0514,0.0,2.16
1768,0.369,0.0,0.0516,0.0,2.16
1769,0.369,0.0,0.0517,0.0,2.17
1770,0.369,0.0,0.0519,0.0,2.18
1771,0.369,0.0,0.0521,0.0,2.18
1772,0.369,0.0,0.0522,0.0,2.19
1773,0.369,0.0,0.052399999999999995,0.0,2.2
1774,0.369,0.0,0.0526,0.0,2.2
1775,0.369,0.0,0.052700000000000004,0.0,2.21
1776,0.37,0.0,0.052899999999999996,0.0,2.22
1777,0.37,0.0,0.0531,0.0,2.23
1778,0.37,0.0,0.053200000000000004,0.0,2.23
1779,0.37,0.0,0.053399999999999996,0.0,2.24
1780,0.37,0.0,0.0536,0.0,2.25
1781,0.369,0.0,0.053700000000000005,0.0,2.25
1782,0.369,0.0,0.0538,0.0,2.26
1783,0.369,0.0,0.054,0.0,2.26
1784,0.369,0.0,0.0541,0.0,2.27
1785,0.369,0.0,0.054299999999999994,0.0,2.28
1786,0.368,0.0,0.0544,0.0,2.28
1787,0.368,0.0,0.0545,0.0,2.29
1788,0.368,0.0,0.054700000000000006,0.0,2.29
1789,0.368,0.0,0.054799999999999995,0.0,2.3
1790,0.367,0.0,0.0549,0.0,2.3
1791,0.366,0.0,0.055,0.0,2.31
1792,0.365,0.0,0.055,0.0,2.31
1793,0.364,0.0,0.055,0.0,2.31
1794,0.363,0.0,0.0551,0.0,2.31
1795,0.362,0.0,0.0551,0.0,2.31
1796,0.361,0.0,0.0551,0.0,2.31
1797,0.361,0.0,0.055200000000000006,0.0,2.31
1798,0.36,0.0,0.055200000000000006,0.0,2.32
1799,0.359,0.0,0.055200000000000006,0.0,2.32
1800,0.358,0.0,0.055299999999999995,0.0,2.32
1801,0.356,0.0,0.055200000000000006,0.0,2.32
1802,0.355,0.0,0.055200000000000006,0.0,2.32
1803,0.354,0.0,0.055200000000000006,0.0,2.32
1804,0.352,0.0,0.055200000000000006,0.0,2.32
1805,0.351,0.0,0.055200000000000006,0.0,2.31
1806,0.35,0.0,0.055200000000000006,0.0,2.31
1807,0.514,0.045399999999999996,0.0551,0.0,2.31
1808,0.512,0.0,0.0551,0.0,2.31
1809,0.512,0.0,0.0551,0.0,2.31
1810,0.513,0.0,0.0551,0.0,2.31
1811,0.516,0.0,0.055299999999999995,0.0,2.32
1812,0.521,0.0,0.055600000000000004,0.0,2.33
1813,0.526,0.0,0.055799999999999995,0.0,2.34
1814,0.534,0.0,0.056100000000000004,0.0,2.35
1815,0.542,0.0,0.056299999999999996,0.0,2.36
1816,0.552,0.0,0.0565,0.0,2.37
1817,0.564,0.0,0.056799999999999996,0.0,2.38
1818,0.578,0.0,0.057,0.0,2.39
1819,0.595,0.0681,0.0573,0.0,2.4
1820,0.674,0.08979999999999999,0.0575,0.0,2.41
1821,0.701,0.09670000000000001,0.058,0.0,2.43
1822,0.71,0.0986,0.0586,0.0,2.46
1823,0.694,0.0937,0.0591,0.0,2.48
1824,0.746,0.108,0.0596,0.0,2.5
1825,0.752,0.109,0.0601,0.0,2.52
1826,0.807,0.123,0.0606,0.0,2.54
1827,0.827,0.128,0.061200000000000004,0.0,2.56
1828,0.811,0.123,0.061700000000000005,0.0,2.59
1829,0.831,0.128,0.062200000000000005,0.0,2.61
1830,0.85,0.133,0.0627,0.0,2.63
1831,0.836,0.129,0.063,0.0,2.64
1832,0.869,0.138,0.0633,0.0,2.66
1833,0.787,0.115,0.0636,0.0,2.67
1834,0.942,0.158,0.064,0.0,2.68
1835,0.989,0.171,0.0643,0.0,2.7
1836,1.03,0.182,0.06459999999999999,0.0,2.71
1837,1.06,0.19,0.0649,0.0,2.72
1838,1.2,0.229,0.06520000000000001,0.0,2.74
1839,1.41,0.285,0.0655,0.0,2.75
1840,1.52,0.315,0.0658,0.0,2.76
1841,1.66,0.355,0.0663,0.0,2.78
1842,1.8,0.393,0.06670000000000001,0.0,2.8
1843,1.61,0.341,0.06709999999999999,0.0,2.81
1844,1.94,0.429,0.0675,0.0,2.83
1845,2.14,0.484,0.0679,0.0,2.85
1846,2.45,0.569,0.0683,0.0,2.87
1847,2.42,0.56,0.0687,0.0,2.88
1848,2.66,0.628,0.0692,0.0,2.9
1849,2.59,0.609,0.0696,0.0,2.92
1850,2.66,0.628,0.0698,0.0,3.07
1851,2.67,0.629,0.0704,0.0,3.1
1852,3.13,0.758,0.0711,0.0,3.12
1853,3.54,0.869,0.0717,0.0,3.15
1854,3.49,0.856,0.0723,0.0,3.18
1855,4.0,0.997,0.0729,0.0,3.2
1856,4.52,1.14,0.0735,0.0,3.23
1857,5.15,1.31,0.0741,0.0,3.25
1858,7.46,1.95,0.0747,0.0,3.27
1859,6.11,1.58,0.0752,0.0,3.3
1860,6.39,1.66,0.0757,0.0,3.32
1861,6.61,1.72,0.07629999999999999,0.0,3.35
1862,6.59,1.71,0.07690000000000001,0.0,3.38
1863,6.13,1.58,0.0775,0.0,3.4
1864,5.35,1.37,0.07809999999999999,0.0,3.43
1865,5.61,1.44,0.0787,0.0,3.46
1866,3.9,0.965,0.0792,0.0,3.48
1867,5.18,1.32,0.0798,0.0,3.51
1868,6.32,1.63,0.0804,0.0,3.54
1869,6.71,1.73,0.081,0.0,3.56
1870,7.57,1.96,0.08159999999999999,0.0,3.59
1871,10.3,2.7,0.0824,0.0,3.63
1872,10.1,2.66,0.0835,0.0,3.67
1873,10.8,2.84,0.0846,0.0,3.71
1874,9.32,2.41,0.086,0.0,3.76
1875,8.05,2.06,0.0873,0.0,3.81
1876,8.28,2.1,0.0887,0.0,3.85
1877,7.5,1.88,0.0901,0.0,3.9
1878,7.45,1.87,0.09129999999999999,0.0,3.95
1879,9.04,2.32,0.0925,0.0,3.99
1880,23.4,6.28,0.09340000000000001,0.0,4.03
1881,10.5,2.67,0.0943,0.0,4.07
1882,10.7,2.76,0.0952,0.0,4.1
1883,11.9,3.09,0.09609999999999999,0.0,4.14
1884,11.6,2.99,0.0969,0.0,4.18
1885,12.1,3.14,0.09770000000000001,0.0,4.21
1886,11.5,2.97,0.0985,0.0,4.25
1887,12.3,3.22,0.0993,0.0,4.28
