year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00108
1851,0.00108
1852,0.00108
1853,0.00108
1854,0.00108
1855,0.00108
1856,0.00108
1857,0.00108
1858,0.00108
1859,0.00108
1860,0.00108
1861,0.00108
1862,0.00108
1863,0.00108
1864,0.00108
1865,0.00108
1866,0.00108
1867,0.00108
1868,0.00108
1869,0.00108
1870,0.00108
1871,0.00108
1872,0.00108
1873,0.00108
1874,0.00108
1875,0.00108
1876,0.00108
1877,0.00108
1878,0.00108
1879,0.00108
1880,0.00108
1881,0.00108
1882,0.00108
1883,0.00108
1884,0.00108
1885,0.00108
1886,0.00108
1887,0.00108
1888,0.00108
1889,0.00108
1890,0.00108
1891,0.00126
1892,0.00177
1893,0.00254
1894,0.0035099999999999997
1895,0.00461
1896,0.00578
1897,0.00696
1898,0.00808
1899,0.009089999999999999
1900,0.00991
1901,0.0106
1902,0.0112
1903,0.011800000000000001
1904,0.0123
1905,0.0128
1906,0.0134
1907,0.013900000000000001
1908,0.0145
1909,0.015099999999999999
1910,0.0158
1911,0.0166
1912,0.0174
1913,0.0183
1914,0.0192
1915,0.0201
1916,0.0212
1917,0.0222
1918,0.0233
1919,0.0245
1920,0.0257
1921,0.030600000000000002
1922,0.0418
1923,0.0583
1924,0.0787
1925,0.102
1926,0.126
1927,0.151
1928,0.175
1929,0.197
1930,0.215
1931,0.23
1932,0.245
1933,0.26
1934,0.274
1935,0.288
1936,0.302
1937,0.316
1938,0.329
1939,0.343
1940,0.358
1941,0.372
1942,0.387
1943,0.403
1944,0.419
1945,0.436
1946,0.454
1947,0.473
1948,0.493
1949,0.515
1950,0.538
1951,0.564
1952,0.592
1953,0.622
1954,0.654
1955,0.688
1956,0.724
1957,0.761
1958,0.799
1959,0.838
1960,0.878
1961,0.922
1962,0.972
1963,1.03
1964,1.08
1965,1.14
1966,1.2
1967,1.25
1968,1.3
1969,1.34
1970,1.38
1971,1.41
1972,1.44
1973,1.47
1974,1.5
1975,1.53
1976,1.55
1977,1.58
1978,1.6
1979,1.61
1980,1.63
1981,1.63
1982,1.64
1983,1.64
1984,1.63
1985,1.62
1986,1.62
1987,1.61
1988,1.61
1989,1.61
1990,1.18
1991,1.18
1992,0.501
1993,0.0522
1994,0.0583
1995,0.0685
1996,0.066
1997,0.0965
1998,0.045700000000000005
1999,0.06509999999999999
2000,0.0725
2001,0.09659999999999999
2002,0.0847
2003,0.105
2004,0.132
2005,0.137
2006,0.142
2007,0.19
2008,0.172
2009,0.0297
2010,0.06420000000000001
2011,0.0605
2012,0.0418
2013,0.0407
2014,0.0438
2015,0.0409
2016,0.0416
2017,0.0363
2018,0.0269
2019,0.0317
2020,0.0248
2021,0.0215
2022,0.0219
2023,0.0238
2024,0.0192
