year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00277,0.0,0.141,0.0,0.499
1751,0.00278,0.0,0.142,0.0,0.501
1752,0.00279,0.0,0.142,0.0,0.502
1753,0.0028,0.0,0.143,0.0,0.504
1754,0.00281,0.0,0.143,0.0,0.506
1755,0.00282,0.0,0.144,0.0,0.508
1756,0.00283,0.0,0.144,0.0,0.51
1757,0.0028399999999999996,0.0,0.145,0.0,0.512
1758,0.00285,0.0,0.145,0.0,0.514
1759,0.0028599999999999997,0.0,0.146,0.0,0.515
1760,0.00287,0.0,0.146,0.0,0.517
1761,0.0028799999999999997,0.0,0.147,0.0,0.519
1762,0.00289,0.0,0.147,0.0,0.521
1763,0.0029,0.0,0.148,0.0,0.523
1764,0.0029100000000000003,0.0,0.148,0.0,0.525
1765,0.00292,0.0,0.149,0.0,0.527
1766,0.0029300000000000003,0.0,0.15,0.0,0.529
1767,0.00294,0.0,0.15,0.0,0.531
1768,0.0029500000000000004,0.0,0.151,0.0,0.533
1769,0.00296,0.0,0.151,0.0,0.534
1770,0.00297,0.0,0.152,0.0,0.536
1771,0.00299,0.0,0.152,0.0,0.538
1772,0.003,0.0,0.153,0.0,0.54
1773,0.0030099999999999997,0.0,0.153,0.0,0.542
1774,0.00302,0.0,0.154,0.0,0.544
1775,0.0030299999999999997,0.0,0.155,0.0,0.546
1776,0.00304,0.0,0.155,0.0,0.548
1777,0.0030499999999999998,0.0,0.156,0.0,0.55
1778,0.0030600000000000002,0.0,0.156,0.0,0.552
1779,0.00307,0.0,0.157,0.0,0.554
1780,0.0030800000000000003,0.0,0.157,0.0,0.556
1781,0.00309,0.0,0.158,0.0,0.558
1782,0.0031,0.0,0.159,0.0,0.56
1783,0.00311,0.0,0.159,0.0,0.562
1784,0.00313,0.0,0.16,0.0,0.565
1785,0.00314,0.0,0.16,0.0,0.567
1786,0.00315,0.0,0.161,0.0,0.569
1787,0.00316,0.0,0.161,0.0,0.571
1788,0.00317,0.0,0.162,0.0,0.573
1789,0.00318,0.0,0.163,0.0,0.575
1790,0.00319,0.0,0.163,0.0,0.577
1791,0.0032,0.0,0.164,0.0,0.579
1792,0.00321,0.0,0.164,0.0,0.581
1793,0.00322,0.0,0.165,0.0,0.583
1794,0.00323,0.0,0.166,0.0,0.585
1795,0.0032400000000000003,0.0,0.166,0.0,0.588
1796,0.00325,0.0,0.167,0.0,0.59
1797,0.00326,0.0,0.167,0.0,0.592
1798,0.00327,0.0,0.168,0.0,0.594
1799,0.00329,0.0,0.169,0.0,0.596
1800,0.0033,0.0,0.169,0.0,0.598
1801,0.00331,0.0,0.17,0.0,0.6
1802,0.00332,0.0,0.17,0.0,0.603
1803,0.00333,0.0,0.171,0.0,0.605
1804,0.0033399999999999997,0.0,0.172,0.0,0.607
1805,0.00335,0.0,0.172,0.0,0.609
1806,0.0033599999999999997,0.0,0.173,0.0,0.612
1807,0.00337,0.0,0.174,0.0,0.614
1808,0.0033799999999999998,0.0,0.174,0.0,0.616
1809,0.0033900000000000002,0.0,0.175,0.0,0.618
1810,0.0034,0.0,0.175,0.0,0.62
1811,0.0034100000000000003,0.0,0.176,0.0,0.621
1812,0.0034100000000000003,0.0,0.176,0.0,0.622
1813,0.0034100000000000003,0.0,0.176,0.0,0.623
1814,0.0034100000000000003,0.0,0.176,0.0,0.624
1815,0.00342,0.0,0.177,0.0,0.624
1816,0.00342,0.0,0.177,0.0,0.625
1817,0.00342,0.0,0.177,0.0,0.626
1818,0.00342,0.0,0.177,0.0,0.627
1819,0.0034300000000000003,0.0,0.177,0.0,0.627
1820,0.0034300000000000003,0.0,0.178,0.0,0.628
1821,0.0034300000000000003,0.0,0.178,0.0,0.629
1822,0.0034300000000000003,0.0,0.178,0.0,0.63
1823,0.00344,0.0,0.178,0.0,0.631
1824,0.00344,0.0,0.179,0.0,0.631
1825,0.00344,0.0,0.179,0.0,0.632
1826,0.00344,0.0,0.179,0.0,0.633
1827,0.00344,0.0,0.179,0.0,0.634
1828,0.0034500000000000004,0.0,0.18,0.0,0.635
1829,0.0034500000000000004,0.0,0.18,0.0,0.635
