year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.04e-05,0.0,0.0005430000000000001
1751,0.0,0.0,2.05e-05,1.95e-06,0.000545
1752,0.0,0.0,2.06e-05,3.89e-06,0.0005470000000000001
1753,0.0,0.0,2.07e-05,5.84e-06,0.000549
1754,0.0,0.0,2.07e-05,7.78e-06,0.0005510000000000001
1755,0.0,0.0,2.0799999999999997e-05,9.73e-06,0.000553
1756,0.0,0.0,2.09e-05,1.17e-05,0.000555
1757,0.0,0.0,2.1000000000000002e-05,1.3599999999999999e-05,0.0005570000000000001
1758,0.0,0.0,2.11e-05,1.56e-05,0.000559
1759,0.0,0.0,2.11e-05,1.7500000000000002e-05,0.0005610000000000001
1760,0.0,0.0,2.12e-05,1.95e-05,0.0005629999999999999
1761,0.0,0.0,2.13e-05,2.14e-05,0.000565
1762,0.0,0.0,2.14e-05,2.33e-05,0.0005669999999999999
1763,0.0,0.0,2.14e-05,2.53e-05,0.000569
1764,0.0,0.0,2.1499999999999997e-05,2.7199999999999997e-05,0.000571
1765,0.0,0.0,2.16e-05,2.92e-05,0.000574
1766,0.0,0.0,2.17e-05,3.11e-05,0.0005759999999999999
1767,0.0,0.0,2.18e-05,3.31e-05,0.000578
1768,0.0,0.0,2.18e-05,3.5000000000000004e-05,0.00058
1769,0.0,0.0,2.19e-05,3.7e-05,0.0005819999999999999
1770,0.0,0.0,2.2e-05,3.89e-05,0.000584
1771,0.0,0.0,2.2100000000000002e-05,4.08e-05,0.0005859999999999999
1772,0.0,0.0,2.2100000000000002e-05,4.28e-05,0.000588
1773,0.0,0.0,2.22e-05,4.4699999999999996e-05,0.0005899999999999999
1774,0.0,0.0,2.23e-05,4.67e-05,0.000593
1775,0.0,0.0,2.24e-05,4.8599999999999995e-05,0.0005949999999999999
1776,0.0,0.0,2.2499999999999998e-05,5.06e-05,0.000597
1777,0.0,0.0,2.2599999999999997e-05,5.2499999999999995e-05,0.0005989999999999999
1778,0.0,0.0,2.2599999999999997e-05,5.4499999999999997e-05,0.000601
1779,0.0,0.0,2.2700000000000003e-05,5.64e-05,0.000603
1780,0.0,0.0,2.2800000000000002e-05,5.84e-05,0.000606
1781,0.0,0.0,2.29e-05,6.03e-05,0.000608
1782,0.0,0.0,2.3e-05,6.22e-05,0.00061
1783,0.0,0.0,2.31e-05,6.419999999999999e-05,0.000612
1784,0.0,0.0,2.31e-05,6.610000000000001e-05,0.000615
1785,0.0,0.0,2.3199999999999998e-05,6.809999999999999e-05,0.000617
1786,0.0,0.0,2.33e-05,7.000000000000001e-05,0.000619
1787,0.0,0.0,2.34e-05,7.199999999999999e-05,0.000621
1788,0.0,0.0,2.35e-05,7.39e-05,0.000623
1789,0.0,0.0,2.36e-05,7.59e-05,0.000626
1790,0.0,0.0,2.36e-05,7.78e-05,0.000628
1791,0.0,0.0,2.37e-05,7.98e-05,0.00063
1792,0.0,0.0,2.3800000000000003e-05,8.17e-05,0.000633
1793,0.0,0.0,2.39e-05,8.36e-05,0.000635
1794,0.0,0.0,2.4e-05,8.56e-05,0.000637
1795,0.0,0.0,2.41e-05,8.75e-05,0.00064
1796,0.0,0.0,2.42e-05,8.95e-05,0.000642
1797,0.0,0.0,2.4299999999999998e-05,9.14e-05,0.000644
1798,0.0,0.0,2.4299999999999998e-05,9.34e-05,0.000647
1799,0.0,0.0,2.44e-05,9.53e-05,0.0006490000000000001
1800,0.0,0.0,2.4500000000000003e-05,9.73e-05,0.000651
1801,0.0,0.0,2.46e-05,9.92e-05,0.0006540000000000001
1802,0.0,0.0,2.47e-05,0.000101,0.000656
1803,0.0,0.0,2.48e-05,0.000103,0.0006580000000000001
1804,0.0,0.0,2.49e-05,0.00010499999999999999,0.000661
1805,0.0,0.0,2.5e-05,0.000107,0.0006630000000000001
1806,0.0,0.0,2.51e-05,0.00010899999999999999,0.000666
1807,0.0,0.0,2.52e-05,0.000111,0.0006680000000000001
1808,0.0,0.0,2.52e-05,0.00011300000000000001,0.000671
1809,0.0,0.0,2.53e-05,0.000115,0.0006730000000000001
1810,0.0,0.0,2.5399999999999997e-05,0.00011700000000000001,0.000675
1811,0.0,0.0,2.55e-05,0.00011899999999999999,0.0006760000000000001
1812,0.0,0.0,2.55e-05,0.000121,0.0006770000000000001
1813,0.0,0.0,2.55e-05,0.000123,0.000678
1814,0.0,0.0,2.5600000000000002e-05,0.000124,0.000679
1815,0.0,0.0,2.5600000000000002e-05,0.000126,0.00068
1816,0.0,0.0,2.5600000000000002e-05,0.000128,0.00068
1817,0.0,0.0,2.57e-05,0.00013000000000000002,0.0006810000000000001
1818,0.0,0.0,2.57e-05,0.000132,0.0006820000000000001
1819,0.0,0.0,2.57e-05,0.000134,0.000683
1820,0.0,0.0,2.58e-05,0.000136,0.000684
1821,0.0,0.0,2.58e-05,0.00013800000000000002,0.0006850000000000001
1822,0.0,0.0,2.58e-05,0.00014000000000000001,0.0006860000000000001
1823,0.0,0.0,2.58e-05,0.00014199999999999998,0.000687
1824,0.0,0.0,2.59e-05,0.00014399999999999998,0.000687
1825,0.0,0.0,2.59e-05,0.000146,0.0006879999999999999
1826,0.0,0.0,2.59e-05,0.000148,0.0006889999999999999
1827,0.0,0.0,2.6e-05,0.00015,0.00069
1828,0.0,0.0,2.6e-05,0.000152,0.000691
1829,0.0,0.0,2.6e-05,0.000154,0.0006919999999999999
1830,6.38e-07,0.0,2.61e-05,0.000156,0.0006929999999999999
1831,7.65e-07,0.0,2.61e-05,0.000158,0.0006929999999999999
1832,5.1e-07,0.0,2.61e-05,0.00016,0.000694
1833,6.38e-07,0.0,2.62e-05,0.000161,0.000695
1834,7.77e-07,0.0,2.62e-05,0.000163,0.000696
1835,9.06e-07,0.0,2.62e-05,0.000165,0.0006969999999999999
1836,1.03e-06,0.0,2.63e-05,0.00016700000000000002,0.0006979999999999999
1837,1.15e-06,0.0,2.63e-05,0.00016900000000000002,0.000699
1838,1.2700000000000001e-06,0.0,2.63e-05,0.000171,0.0007
1839,1.39e-06,0.0,2.64e-05,0.00017299999999999998,0.0007
1840,1.52e-06,0.0,2.64e-05,0.000175,0.0007009999999999999
1841,1.67e-06,0.0,2.64e-05,0.000177,0.0007019999999999999
