year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00014199999999999998
1851,0.00014199999999999998
1852,0.00014199999999999998
1853,0.00014199999999999998
1854,0.00014199999999999998
1855,0.00014199999999999998
1856,0.00014199999999999998
1857,0.00014199999999999998
1858,0.00014199999999999998
1859,0.00014199999999999998
1860,0.00014199999999999998
1861,0.00014199999999999998
1862,0.00014199999999999998
1863,0.00014199999999999998
1864,0.00014199999999999998
1865,0.00014199999999999998
1866,0.00014199999999999998
1867,0.00014199999999999998
1868,0.00014199999999999998
1869,0.00014199999999999998
1870,0.00014199999999999998
1871,0.00014199999999999998
1872,0.00014199999999999998
1873,0.00014199999999999998
1874,0.00014199999999999998
1875,0.00014199999999999998
1876,0.00014199999999999998
1877,0.00014199999999999998
1878,0.00014199999999999998
1879,0.00014199999999999998
1880,0.00014199999999999998
1881,0.00014199999999999998
1882,0.00014199999999999998
1883,0.00014199999999999998
1884,0.00014199999999999998
1885,0.00014199999999999998
1886,0.00014199999999999998
1887,0.00014199999999999998
1888,0.00014199999999999998
1889,0.00014199999999999998
1890,0.00014199999999999998
1891,0.000166
1892,0.00023300000000000003
1893,0.00033400000000000004
1894,0.00046100000000000004
1895,0.000606
1896,0.00076
1897,0.000915
1898,0.00106
1899,0.0011899999999999999
1900,0.0013
1901,0.00139
1902,0.00147
1903,0.00155
1904,0.0016200000000000001
1905,0.0016899999999999999
1906,0.00175
1907,0.00183
1908,0.0019
1909,0.00199
1910,0.0020800000000000003
1911,0.00218
1912,0.00229
1913,0.0024
1914,0.00252
1915,0.00265
1916,0.00278
1917,0.00292
1918,0.00307
1919,0.00322
1920,0.0033799999999999998
1921,0.004019999999999999
1922,0.0055
1923,0.00766
1924,0.0103
1925,0.0134
1926,0.0166
1927,0.019899999999999998
1928,0.023
1929,0.0258
1930,0.0282
1931,0.030199999999999998
1932,0.0322
1933,0.0341
1934,0.036
1935,0.0378
1936,0.0396
1937,0.0415
1938,0.0433
1939,0.0451
1940,0.047
1941,0.0489
1942,0.0509
1943,0.052899999999999996
1944,0.055
1945,0.0573
1946,0.0596
1947,0.0621
1948,0.0648
1949,0.0677
1950,0.0707
1951,0.0741
1952,0.0777
1953,0.08170000000000001
1954,0.086
1955,0.09040000000000001
1956,0.09509999999999999
1957,0.1
1958,0.105
1959,0.11
1960,0.115
1961,0.121
1962,0.128
1963,0.135
1964,0.142
1965,0.15
1966,0.157
1967,0.164
1968,0.171
1969,0.177
1970,0.181
1971,0.185
1972,0.189
1973,0.193
1974,0.197
1975,0.201
1976,0.204
1977,0.207
1978,0.21
1979,0.212
1980,0.214
1981,0.215
1982,0.215
1983,0.215
1984,0.214
1985,0.213
1986,0.212
1987,0.212
1988,0.211
1989,0.211
1990,0.164
1991,0.158
1992,0.147
1993,0.0428
1994,0.0611
1995,0.06459999999999999
1996,0.0516
1997,0.038700000000000005
1998,0.0258
1999,0.0129
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.119
2012,0.956
2013,0.928
2014,0.878
2015,0.855
2016,0.579
2017,0.448
2018,0.747
2019,0.747
2020,0.747
2021,0.803
2022,0.863
2023,0.902
