year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,32.4,0.0,37.1,5.85e-16,178.0
1751,32.5,0.0,37.2,0.072,179.0
1752,32.6,0.0,37.3,0.144,179.0
1753,32.6,0.0,37.4,0.216,180.0
1754,32.7,0.0,37.5,0.288,180.0
1755,32.8,0.0,37.6,0.36,181.0
1756,32.9,0.0,37.7,0.432,181.0
1757,33.0,0.0,37.8,0.504,181.0
1758,33.1,0.0,37.9,0.576,182.0
1759,33.1,0.0,38.0,0.648,182.0
1760,33.2,0.0,38.1,0.72,183.0
1761,33.3,0.0,38.2,0.792,183.0
1762,33.3,0.0,38.3,0.864,184.0
1763,33.4,0.0,38.3,0.936,184.0
1764,33.4,0.0,38.4,1.01,184.0
1765,33.5,0.0,38.5,1.08,185.0
1766,33.5,0.0,38.5,1.15,185.0
1767,33.6,0.0,38.6,1.22,185.0
1768,33.6,0.0,38.7,1.3,186.0
1769,33.7,0.0,38.7,1.37,186.0
1770,33.7,0.0,38.8,1.44,186.0
1771,34.3,0.0,39.5,1.51,189.0
1772,34.9,0.0,40.1,1.58,191.0
1773,35.5,0.0,40.8,1.66,193.0
1774,36.1,0.0,41.4,1.73,196.0
1775,36.7,0.0,42.1,1.8,198.0
1776,37.3,0.0,42.7,1.87,200.0
1777,37.9,0.0,43.4,1.94,202.0
1778,38.5,0.0,44.0,2.02,205.0
1779,39.1,0.0,44.7,2.09,207.0
1780,39.7,0.0,45.3,2.16,209.0
1781,39.9,0.0,45.5,2.23,210.0
1782,40.0,0.0,45.7,2.3,211.0
1783,40.2,0.0,45.9,2.38,212.0
1784,40.3,0.0,46.1,2.45,212.0
1785,40.5,0.0,46.2,2.52,213.0
1786,40.6,0.0,46.4,2.59,214.0
1787,40.8,0.0,46.6,2.66,215.0
1788,41.0,0.0,46.8,2.74,215.0
1789,41.1,0.0,47.0,2.81,216.0
1790,41.3,0.0,47.2,2.88,217.0
1791,41.1,0.0,47.0,2.95,217.0
1792,41.0,0.0,46.9,3.02,216.0
1793,40.8,0.0,46.8,3.09,216.0
1794,40.7,0.0,46.6,3.17,216.0
1795,40.5,0.0,46.5,3.24,215.0
1796,40.4,0.0,46.4,3.31,215.0
1797,40.2,0.0,46.2,3.38,215.0
1798,40.1,0.0,46.1,3.45,214.0
1799,39.9,0.0,46.0,3.53,214.0
1800,39.8,0.0,45.8,3.6,214.0
1801,40.2,0.0,46.3,3.67,215.0
1802,40.6,0.0,46.7,3.74,217.0
1803,41.0,0.0,47.2,3.81,219.0
1804,41.4,0.0,47.6,3.89,220.0
1805,41.7,0.0,48.0,3.96,222.0
1806,42.1,0.0,48.5,4.03,224.0
1807,42.5,0.0,48.9,4.1,225.0
1808,42.9,0.0,49.4,4.17,227.0
1809,43.3,0.0,49.8,4.25,228.0
1810,43.7,0.0,50.2,4.32,230.0
1811,43.7,0.0,50.3,4.39,230.0
1812,43.6,0.0,50.3,4.46,231.0
1813,43.6,0.0,50.3,4.53,231.0
1814,43.6,0.0,50.3,4.61,231.0
1815,43.6,0.0,50.3,4.68,231.0
1816,43.6,0.0,50.3,4.75,231.0
1817,43.5,0.0,50.3,4.82,232.0
1818,43.5,0.0,50.3,4.89,232.0
1819,43.5,0.0,50.3,4.97,232.0
1820,43.5,0.0,50.4,5.04,232.0
1821,43.7,0.0,50.7,5.11,234.0
1822,44.0,0.0,51.0,5.18,235.0
1823,44.3,0.0,51.3,5.25,236.0
1824,44.5,0.0,51.6,5.33,237.0
1825,44.8,0.0,51.9,5.4,239.0
1826,45.0,0.0,52.2,5.47,240.0
1827,45.3,0.0,52.5,5.54,241.0
1828,45.5,0.0,52.9,5.61,243.0
1829,45.8,0.0,53.2,5.69,244.0
1830,46.0,0.0,53.5,5.76,245.0
1831,46.1,0.0,53.6,5.83,246.0
1832,46.2,0.0,53.7,5.9,247.0
1833,46.2,0.0,53.8,5.97,248.0
