year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00134
1851,0.00134
1852,0.00134
1853,0.00134
1854,0.00134
1855,0.00134
1856,0.00134
1857,0.00134
1858,0.00134
1859,0.00134
1860,0.00134
1861,0.00134
1862,0.00134
1863,0.00134
1864,0.00134
1865,0.00134
1866,0.00134
1867,0.00134
1868,0.00134
1869,0.00134
1870,0.00134
1871,0.00134
1872,0.00134
1873,0.00134
1874,0.00134
1875,0.00134
1876,0.00134
1877,0.00134
1878,0.00134
1879,0.00134
1880,0.00134
1881,0.00134
1882,0.00134
1883,0.00134
1884,0.00134
1885,0.00134
1886,0.00134
1887,0.00134
1888,0.00134
1889,0.00134
1890,0.00134
1891,0.00157
1892,0.0022
1893,0.00315
1894,0.00435
1895,0.005719999999999999
1896,0.00718
1897,0.00864
1898,0.01
1899,0.011300000000000001
1900,0.0123
1901,0.013099999999999999
1902,0.013900000000000001
1903,0.0146
1904,0.015300000000000001
1905,0.0159
1906,0.0166
1907,0.0173
1908,0.018
1909,0.0188
1910,0.0197
1911,0.0206
1912,0.0216
1913,0.022699999999999998
1914,0.0238
1915,0.025
1916,0.0263
1917,0.027600000000000003
1918,0.029
1919,0.0304
1920,0.0319
1921,0.037899999999999996
1922,0.0519
1923,0.0723
1924,0.0975
1925,0.126
1926,0.157
1927,0.187
1928,0.217
1929,0.243
1930,0.266
1931,0.285
1932,0.304
1933,0.322
1934,0.339
1935,0.357
1936,0.374
1937,0.391
1938,0.408
1939,0.425
1940,0.443
1941,0.462
1942,0.485
1943,0.51
1944,0.538
1945,0.568
1946,0.6
1947,0.634
1948,0.669
1949,0.705
1950,0.742
1951,0.781
1952,0.824
1953,0.869
1954,0.916
1955,0.966
1956,1.02
1957,1.07
1958,1.13
1959,1.18
1960,1.24
1961,1.3
1962,1.37
1963,1.44
1964,1.52
1965,1.6
1966,1.67
1967,1.75
1968,1.82
1969,1.88
1970,1.94
1971,2.0
1972,2.08
1973,2.17
1974,2.28
1975,2.39
1976,2.51
1977,2.62
1978,2.73
1979,2.84
1980,2.93
1981,3.01
1982,3.1
1983,3.18
1984,3.27
1985,3.35
1986,3.42
1987,3.49
1988,3.54
1989,3.57
1990,3.99
1991,3.8
1992,4.59
1993,4.44
1994,5.29
1995,5.83
1996,5.69
1997,2.92
1998,2.13
1999,1.63
2000,1.87
2001,1.79
2002,1.87
2003,2.22
2004,2.43
2005,3.04
2006,3.09
2007,3.53
2008,4.01
2009,3.78
2010,3.75
2011,4.22
2012,4.21
2013,4.3
2014,4.54
2015,4.68
2016,4.93
2017,5.04
2018,5.15
2019,4.6
2020,3.96
2021,3.1
2022,2.82
2023,2.08
