year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.111,0.0,0.156,0.0,0.876
1751,0.111,0.0,0.156,0.000186,0.876
1752,0.111,0.0,0.157,0.000373,0.877
1753,0.111,0.0,0.157,0.000559,0.877
1754,0.111,0.0,0.157,0.000746,0.877
1755,0.111,0.0,0.157,0.0009320000000000001,0.878
1756,0.111,0.0,0.157,0.0011200000000000001,0.878
1757,0.111,0.0,0.157,0.00131,0.878
1758,0.111,0.0,0.157,0.00149,0.878
1759,0.111,0.0,0.157,0.0016799999999999999,0.879
1760,0.111,0.0,0.157,0.00186,0.879
1761,0.111,0.0,0.157,0.0020499999999999997,0.879
1762,0.111,0.0,0.157,0.0022400000000000002,0.88
1763,0.111,0.0,0.157,0.00242,0.88
1764,0.111,0.0,0.157,0.00261,0.88
1765,0.111,0.0,0.157,0.0028,0.881
1766,0.112,0.0,0.157,0.00298,0.881
1767,0.112,0.0,0.157,0.00317,0.881
1768,0.112,0.0,0.157,0.0033599999999999997,0.881
1769,0.112,0.0,0.157,0.00354,0.882
1770,0.112,0.0,0.157,0.00373,0.882
1771,0.112,0.0,0.158,0.00392,0.882
1772,0.112,0.0,0.158,0.0040999999999999995,0.883
1773,0.112,0.0,0.158,0.00429,0.883
1774,0.112,0.0,0.158,0.0044800000000000005,0.883
1775,0.112,0.0,0.158,0.00466,0.883
1776,0.112,0.0,0.158,0.004849999999999999,0.884
1777,0.112,0.0,0.158,0.00504,0.884
1778,0.112,0.0,0.158,0.00522,0.884
1779,0.112,0.0,0.158,0.00541,0.885
1780,0.112,0.0,0.158,0.0055899999999999995,0.885
1781,0.112,0.0,0.158,0.00578,0.885
1782,0.112,0.0,0.158,0.00597,0.886
1783,0.112,0.0,0.158,0.00615,0.886
1784,0.112,0.0,0.158,0.00634,0.886
1785,0.112,0.0,0.158,0.00653,0.886
1786,0.112,0.0,0.158,0.00671,0.887
1787,0.112,0.0,0.158,0.006900000000000001,0.887
1788,0.112,0.0,0.158,0.00709,0.887
1789,0.112,0.0,0.158,0.0072699999999999996,0.888
1790,0.112,0.0,0.159,0.00746,0.888
1791,0.112,0.0,0.159,0.0076500000000000005,0.888
1792,0.112,0.0,0.159,0.00783,0.889
1793,0.112,0.0,0.159,0.00802,0.889
1794,0.112,0.0,0.159,0.00821,0.889
1795,0.112,0.0,0.159,0.00839,0.889
1796,0.112,0.0,0.159,0.00858,0.89
1797,0.112,0.0,0.159,0.00876,0.89
1798,0.112,0.0,0.159,0.00895,0.89
1799,0.112,0.0,0.159,0.00914,0.891
1800,0.112,0.0,0.159,0.00932,0.891
1801,0.113,0.0,0.159,0.00951,0.891
1802,0.113,0.0,0.159,0.009699999999999999,0.891
1803,0.113,0.0,0.159,0.009880000000000002,0.892
1804,0.113,0.0,0.159,0.0101,0.892
1805,0.113,0.0,0.159,0.0103,0.892
1806,0.113,0.0,0.159,0.0104,0.893
1807,0.113,0.0,0.159,0.0106,0.893
1808,0.113,0.0,0.159,0.0108,0.893
1809,0.113,0.0,0.16,0.011,0.894
1810,0.113,0.0,0.16,0.0112,0.894
1811,0.113,0.0,0.16,0.0114,0.895
1812,0.113,0.0,0.16,0.0116,0.895
1813,0.113,0.0,0.16,0.011699999999999999,0.896
1814,0.113,0.0,0.16,0.0119,0.897
1815,0.113,0.0,0.16,0.0121,0.898
1816,0.113,0.0,0.16,0.0123,0.898
1817,0.113,0.0,0.161,0.0125,0.899
1818,0.113,0.0,0.161,0.0127,0.9
1819,0.114,0.0,0.161,0.0129,0.901
1820,0.114,0.0,0.161,0.013099999999999999,0.901
1821,0.114,0.0,0.161,0.0132,0.902
1822,0.114,0.0,0.161,0.0134,0.903
1823,0.114,0.0,0.161,0.0136,0.904
1824,0.114,0.0,0.161,0.013800000000000002,0.904
1825,0.114,0.0,0.162,0.014,0.905
1826,0.114,0.0,0.162,0.014199999999999999,0.906
1827,0.114,0.0,0.162,0.0144,0.907
1828,0.114,0.0,0.162,0.0145,0.907
1829,0.114,0.0,0.162,0.0147,0.908
1830,0.114,0.0,0.162,0.0149,0.909
1831,0.115,0.0,0.162,0.015099999999999999,0.91
1832,0.115,0.0,0.163,0.015300000000000001,0.91
1833,0.115,0.0,0.163,0.0155,0.911
1834,0.115,0.0,0.163,0.0157,0.912
1835,0.115,0.0,0.163,0.0159,0.913
1836,0.115,0.0,0.163,0.016,0.914
1837,0.115,0.0,0.163,0.0162,0.914
1838,0.115,0.0,0.163,0.016399999999999998,0.915
1839,0.115,0.0,0.164,0.0166,0.916
1840,0.115,0.0,0.164,0.016800000000000002,0.917
1841,0.115,0.0,0.164,0.017,0.917
1842,0.115,0.0,0.164,0.0172,0.918
1843,0.115,0.0,0.164,0.0173,0.919
1844,0.116,0.0,0.164,0.0175,0.92
1845,0.116,0.0,0.164,0.0177,0.92
1846,0.116,0.0,0.164,0.0179,0.921
1847,0.116,0.0,0.165,0.0181,0.922
1848,0.116,0.0,0.165,0.0183,0.923
1849,0.116,0.0,0.165,0.0185,0.924
1850,0.116,0.0,0.165,0.018600000000000002,0.924
1851,0.117,0.0,0.165,0.0188,0.925
1852,0.118,0.0,0.165,0.019,0.926
1853,0.12,0.0,0.166,0.0192,0.927
1854,0.121,0.0,0.166,0.019399999999999997,0.928
1855,0.122,0.0,0.166,0.019600000000000003,0.929
1856,0.123,0.0,0.166,0.0198,0.93
1857,0.125,0.0,0.166,0.02,0.93
1858,0.126,0.0,0.167,0.0201,0.931
1859,0.127,0.0,0.167,0.020300000000000002,0.932
1860,0.128,0.0,0.167,0.0205,0.933
1861,0.13,0.0,0.167,0.0207,0.935
1862,0.131,0.0,0.168,0.0209,0.937
1863,0.132,0.0,0.168,0.0211,0.939
1864,0.134,0.0,0.168,0.0213,0.94
1865,0.135,0.0,0.169,0.0214,0.942
1866,0.136,0.0,0.169,0.0216,0.944
1867,0.138,0.0,0.169,0.0218,0.946
1868,0.139,0.0,0.17,0.022,0.948
1869,0.141,0.0,0.17,0.0222,0.95
1870,0.142,0.0,0.17,0.0224,0.952
1871,0.143,0.0,0.171,0.022600000000000002,0.954
