year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.41,0.0,1.45,0.0,9.92
1751,1.41,0.0,1.46,0.000791,9.94
1752,1.41,0.0,1.46,0.00158,9.96
1753,1.41,0.0,1.46,0.00237,9.98
1754,1.42,0.0,1.46,0.00316,10.0
1755,1.42,0.0,1.47,0.00395,10.0
1756,1.42,0.0,1.47,0.00474,10.0
1757,1.42,0.0,1.47,0.00553,10.1
1758,1.43,0.0,1.48,0.00632,10.1
1759,1.43,0.0,1.48,0.0071200000000000005,10.1
1760,1.43,0.0,1.48,0.00791,10.1
1761,1.43,0.0,1.48,0.0087,10.1
1762,1.44,0.0,1.49,0.00949,10.1
1763,1.44,0.0,1.49,0.0103,10.2
1764,1.44,0.0,1.49,0.0111,10.2
1765,1.44,0.0,1.49,0.0119,10.2
1766,1.45,0.0,1.5,0.0126,10.2
1767,1.45,0.0,1.5,0.0134,10.2
1768,1.45,0.0,1.5,0.014199999999999999,10.3
1769,1.45,0.0,1.51,0.015,10.3
1770,1.46,0.0,1.51,0.0158,10.3
1771,1.46,0.0,1.51,0.0166,10.3
1772,1.46,0.0,1.51,0.0174,10.3
1773,1.46,0.0,1.52,0.0182,10.4
1774,1.47,0.0,1.52,0.019,10.4
1775,1.47,0.0,1.52,0.0198,10.4
1776,1.47,0.0,1.52,0.0206,10.4
1777,1.47,0.0,1.53,0.0213,10.4
1778,1.48,0.0,1.53,0.0221,10.4
1779,1.48,0.0,1.53,0.0229,10.5
1780,1.48,0.0,1.54,0.0237,10.5
1781,1.48,0.0,1.54,0.0245,10.5
1782,1.49,0.0,1.54,0.0253,10.5
1783,1.49,0.0,1.54,0.0261,10.5
1784,1.49,0.0,1.55,0.0269,10.6
1785,1.49,0.0,1.55,0.0277,10.6
1786,1.5,0.0,1.55,0.0285,10.6
1787,1.5,0.0,1.56,0.0293,10.6
1788,1.5,0.0,1.56,0.03,10.6
1789,1.51,0.0,1.56,0.0308,10.7
1790,1.51,0.0,1.56,0.0316,10.7
1791,1.51,0.0,1.57,0.0324,10.7
1792,1.51,0.0,1.57,0.0332,10.7
1793,1.52,0.0,1.57,0.034,10.7
1794,1.52,0.0,1.58,0.0348,10.8
1795,1.52,0.0,1.58,0.0356,10.8
1796,1.52,0.0,1.58,0.0364,10.8
1797,1.53,0.0,1.58,0.037200000000000004,10.8
1798,1.53,0.0,1.59,0.037899999999999996,10.8
1799,1.53,0.0,1.59,0.038700000000000005,10.9
1800,1.53,0.0,1.59,0.0395,10.9
1801,1.54,0.0,1.6,0.040299999999999996,10.9
1802,1.54,0.0,1.6,0.041100000000000005,10.9
1803,1.54,0.0,1.6,0.0419,10.9
1804,1.55,0.0,1.61,0.0427,11.0
1805,1.55,0.0,1.61,0.0435,11.0
1806,1.55,0.0,1.61,0.0443,11.0
1807,1.55,0.0,1.61,0.0451,11.0
1808,1.56,0.0,1.62,0.045899999999999996,11.0
1809,1.56,0.0,1.62,0.0466,11.1
1810,1.56,0.0,1.62,0.0474,11.1
1811,1.57,0.0,1.64,0.0482,11.2
1812,1.59,0.0,1.65,0.049,11.3
1813,1.6,0.0,1.67,0.0498,11.4
1814,1.61,0.0,1.68,0.0506,11.5
1815,1.63,0.0,1.69,0.0514,11.6
1816,1.64,0.0,1.71,0.0522,11.7
1817,1.66,0.0,1.72,0.053,11.8
1818,1.67,0.0,1.74,0.0538,11.9
1819,1.68,0.0,1.75,0.0545,11.9
1820,1.7,0.0,1.76,0.055299999999999995,12.0
1821,1.71,0.0,1.78,0.056100000000000004,12.1
1822,1.72,0.0,1.79,0.0569,12.3
1823,1.74,0.0,1.81,0.0577,12.4
1824,1.75,0.0,1.83,0.0585,12.5
1825,1.77,0.0,1.84,0.0593,12.6
1826,1.78,0.0,1.86,0.0601,12.7
