year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.22e-05,-0.0,0.000373
1751,0.0,0.0,3.24e-05,-0.0,0.000375
1752,0.0,0.0,3.26e-05,-0.0,0.000377
1753,0.0,0.0,3.27e-05,-0.0,0.000378
1754,0.0,0.0,3.29e-05,-0.0,0.00038
1755,0.0,0.0,3.3e-05,-0.0,0.000382
1756,0.0,0.0,3.32e-05,-0.0,0.000384
1757,0.0,0.0,3.33e-05,-0.0,0.00038500000000000003
1758,0.0,0.0,3.35e-05,-0.0,0.00038700000000000003
1759,0.0,0.0,3.36e-05,-0.0,0.000389
1760,0.0,0.0,3.3799999999999995e-05,-0.0,0.000391
1761,0.0,0.0,3.39e-05,-0.0,0.000393
1762,0.0,0.0,3.4099999999999995e-05,-0.0,0.000395
1763,0.0,0.0,3.43e-05,-0.0,0.00039600000000000003
1764,0.0,0.0,3.44e-05,-0.0,0.000398
1765,0.0,0.0,3.46e-05,-0.0,0.0004
1766,0.0,0.0,3.47e-05,-0.0,0.000402
1767,0.0,0.0,3.49e-05,-0.0,0.000404
1768,0.0,0.0,3.51e-05,-0.0,0.000406
1769,0.0,0.0,3.52e-05,-0.0,0.000408
1770,0.0,0.0,3.54e-05,-0.0,0.00040899999999999997
1771,0.0,0.0,3.56e-05,-0.0,0.00041099999999999996
1772,0.0,0.0,3.57e-05,-0.0,0.00041299999999999996
1773,0.0,0.0,3.59e-05,-0.0,0.000415
1774,0.0,0.0,3.61e-05,-0.0,0.000417
1775,0.0,0.0,3.6200000000000006e-05,-0.0,0.000419
1776,0.0,0.0,3.6400000000000004e-05,-0.0,0.000421
1777,0.0,0.0,3.66e-05,-0.0,0.000423
1778,0.0,0.0,3.6700000000000004e-05,-0.0,0.000425
1779,0.0,0.0,3.69e-05,-0.0,0.00042699999999999997
1780,0.0,0.0,3.71e-05,-0.0,0.000429
1781,0.0,0.0,3.73e-05,-0.0,0.000431
1782,0.0,0.0,3.74e-05,-0.0,0.000433
1783,0.0,0.0,3.76e-05,-0.0,0.000435
1784,0.0,0.0,3.78e-05,-0.0,0.000437
1785,0.0,0.0,3.8e-05,-0.0,0.000439
1786,0.0,0.0,3.8100000000000005e-05,-0.0,0.000441
1787,0.0,0.0,3.83e-05,-0.0,0.000443
1788,0.0,0.0,3.85e-05,-0.0,0.00044500000000000003
1789,0.0,0.0,3.87e-05,-0.0,0.000447
1790,0.0,0.0,3.88e-05,-0.0,0.000449
1791,0.0,0.0,3.9e-05,-0.0,0.000451
1792,0.0,0.0,3.92e-05,-0.0,0.00045400000000000003
1793,0.0,0.0,3.9399999999999995e-05,-0.0,0.000456
1794,0.0,0.0,3.96e-05,-0.0,0.000458
1795,0.0,0.0,3.9800000000000005e-05,-0.0,0.00046
1796,0.0,0.0,3.99e-05,-0.0,0.000462
1797,0.0,0.0,4.01e-05,-0.0,0.000464
1798,0.0,0.0,4.0300000000000004e-05,-0.0,0.00046600000000000005
1799,0.0,0.0,4.05e-05,-0.0,0.00046899999999999996
1800,0.0,0.0,4.07e-05,-0.0,0.00047099999999999996
1801,0.0,0.0,4.09e-05,-0.0,0.00047299999999999995
1802,0.0,0.0,4.1099999999999996e-05,-0.0,0.000475
1803,0.0,0.0,4.13e-05,-0.0,0.000477
1804,0.0,0.0,4.15e-05,-0.0,0.00047999999999999996
1805,0.0,0.0,4.1700000000000004e-05,-0.0,0.000482
1806,0.0,0.0,4.19e-05,-0.0,0.000484
1807,0.0,0.0,4.2000000000000004e-05,-0.0,0.000486
1808,0.0,0.0,4.22e-05,-0.0,0.000489
1809,0.0,0.0,4.24e-05,-0.0,0.000491
1810,0.0,0.0,4.26e-05,-0.0,0.000493
1811,0.0,0.0,4.29e-05,-0.0,0.000496
