year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0016899999999999999
1851,0.0016899999999999999
1852,0.0016899999999999999
1853,0.0016899999999999999
1854,0.0016899999999999999
1855,0.0016899999999999999
1856,0.0016899999999999999
1857,0.0016899999999999999
1858,0.0016899999999999999
1859,0.0016899999999999999
1860,0.0016899999999999999
1861,0.0016899999999999999
1862,0.0016899999999999999
1863,0.0016899999999999999
1864,0.0016899999999999999
1865,0.0016899999999999999
1866,0.0016899999999999999
1867,0.0016899999999999999
1868,0.0016899999999999999
1869,0.0016899999999999999
1870,0.0016899999999999999
1871,0.0016899999999999999
1872,0.0016899999999999999
1873,0.0016899999999999999
1874,0.0016899999999999999
1875,0.0016899999999999999
1876,0.0016899999999999999
1877,0.0016899999999999999
1878,0.0016899999999999999
1879,0.0016899999999999999
1880,0.0016899999999999999
1881,0.0016899999999999999
1882,0.0016899999999999999
1883,0.0016899999999999999
1884,0.0016899999999999999
1885,0.0016899999999999999
1886,0.0016899999999999999
1887,0.0016899999999999999
1888,0.0017
1889,0.0017
1890,0.0017
1891,0.00198
1892,0.00278
1893,0.0039900000000000005
1894,0.00552
1895,0.00725
1896,0.009089999999999999
1897,0.011
1898,0.0127
1899,0.0143
1900,0.0156
1901,0.0167
1902,0.0176
1903,0.0185
1904,0.019399999999999997
1905,0.0202
1906,0.021
1907,0.0219
1908,0.0228
1909,0.0238
1910,0.0249
1911,0.0261
1912,0.027399999999999997
1913,0.0288
1914,0.030199999999999998
1915,0.0317
1916,0.033299999999999996
1917,0.035
1918,0.0367
1919,0.0386
1920,0.0405
1921,0.048100000000000004
1922,0.0658
1923,0.0916
1924,0.124
1925,0.16
1926,0.198
1927,0.237
1928,0.275
1929,0.308
1930,0.337
1931,0.361
1932,0.385
1933,0.408
1934,0.43
1935,0.452
1936,0.474
1937,0.495
1938,0.517
1939,0.539
1940,0.561
1941,0.584
1942,0.608
1943,0.632
1944,0.657
1945,0.684
1946,0.712
1947,0.742
1948,0.774
1949,0.808
1950,0.845
1951,0.885
1952,0.928
1953,0.976
1954,1.03
1955,1.08
1956,1.14
1957,1.19
1958,1.25
1959,1.32
1960,1.38
1961,1.45
1962,1.53
1963,1.61
1964,1.7
1965,1.79
1966,1.88
1967,1.96
1968,2.04
1969,2.11
1970,2.16
1971,2.21
1972,2.26
1973,2.31
1974,2.35
1975,2.4
1976,2.44
1977,2.47
1978,2.51
1979,2.53
1980,2.55
1981,2.57
1982,2.57
1983,2.57
1984,2.56
1985,2.55
1986,2.54
1987,2.53
1988,2.52
1989,2.52
1990,3.28
1991,0.354
1992,0.494
1993,0.761
1994,0.774
1995,0.315
1996,0.337
1997,0.373
1998,0.446
1999,0.444
2000,0.552
2001,0.594
2002,0.674
2003,0.773
2004,0.87
2005,0.991
2006,1.11
2007,1.28
2008,1.09
2009,1.04
2010,1.04
2011,1.06
2012,1.04
2013,1.04
2014,1.1
2015,1.24
2016,1.35
2017,1.49
2018,1.68
2019,1.83
2020,1.99
2021,2.17
2022,2.33
2023,2.5
