year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00277,0.0,0.0044,9.14e-20,0.00126
1751,0.00278,0.0,0.00442,5.29e-06,0.00126
1752,0.00279,0.0,0.00445,1.06e-05,0.00127
1753,0.0028,0.0,0.00447,1.59e-05,0.00128
1754,0.00281,0.0,0.00449,2.11e-05,0.00128
1755,0.00282,0.0,0.00451,2.64e-05,0.0012900000000000001
1756,0.00283,0.0,0.00453,3.17e-05,0.0012900000000000001
1757,0.0028399999999999996,0.0,0.00456,3.7e-05,0.0013
1758,0.00285,0.0,0.00458,4.23e-05,0.00131
1759,0.0028599999999999997,0.0,0.0046,4.7600000000000005e-05,0.00131
1760,0.00287,0.0,0.00462,5.2900000000000005e-05,0.00132
1761,0.0028799999999999997,0.0,0.0046500000000000005,5.8099999999999996e-05,0.00133
1762,0.00289,0.0,0.00467,6.34e-05,0.00133
1763,0.0029,0.0,0.004690000000000001,6.87e-05,0.00134
1764,0.0029100000000000003,0.0,0.00471,7.4e-05,0.00135
1765,0.0029300000000000003,0.0,0.00474,7.929999999999999e-05,0.00135
1766,0.00294,0.0,0.0047599999999999995,8.46e-05,0.00136
1767,0.0029500000000000004,0.0,0.00478,8.989999999999999e-05,0.0013700000000000001
1768,0.00296,0.0,0.00481,9.510000000000001e-05,0.0013700000000000001
1769,0.00297,0.0,0.00483,0.0001,0.00138
1770,0.00298,0.0,0.004849999999999999,0.000106,0.00139
1771,0.00299,0.0,0.00488,0.000111,0.00139
1772,0.003,0.0,0.004900000000000001,0.000116,0.0014
1773,0.0030099999999999997,0.0,0.0049299999999999995,0.000122,0.00141
1774,0.00302,0.0,0.00495,0.000127,0.00141
1775,0.0030299999999999997,0.0,0.00497,0.000132,0.0014199999999999998
1776,0.00304,0.0,0.005,0.00013700000000000002,0.0014299999999999998
1777,0.0030499999999999998,0.0,0.005019999999999999,0.00014299999999999998,0.0014299999999999998
1778,0.0030600000000000002,0.0,0.00505,0.000148,0.0014399999999999999
1779,0.00307,0.0,0.00507,0.000153,0.00145
1780,0.00309,0.0,0.0050999999999999995,0.00015900000000000002,0.00145
1781,0.0031,0.0,0.00512,0.000164,0.00146
1782,0.00311,0.0,0.00515,0.00016900000000000002,0.00147
1783,0.00312,0.0,0.00517,0.000174,0.00148
1784,0.00313,0.0,0.0052,0.00017999999999999998,0.00148
1785,0.00314,0.0,0.00522,0.000185,0.00149
1786,0.00315,0.0,0.00525,0.00019,0.0015
1787,0.00316,0.0,0.0052699999999999995,0.00019600000000000002,0.00151
1788,0.00317,0.0,0.0053,0.000201,0.00151
1789,0.00318,0.0,0.00533,0.000206,0.00152
1790,0.00319,0.0,0.00535,0.000211,0.0015300000000000001
1791,0.0032,0.0,0.00538,0.000217,0.0015300000000000001
1792,0.00321,0.0,0.0054,0.000222,0.0015400000000000001
1793,0.00322,0.0,0.00543,0.00022700000000000002,0.00155
1794,0.00323,0.0,0.00546,0.00023300000000000003,0.00156
1795,0.0032400000000000003,0.0,0.0054800000000000005,0.00023799999999999998,0.00157
1796,0.00325,0.0,0.00551,0.000243,0.00157
1797,0.00326,0.0,0.00554,0.000248,0.00158
1798,0.00327,0.0,0.00556,0.000254,0.00159
1799,0.00328,0.0,0.0055899999999999995,0.000259,0.0016
1800,0.00329,0.0,0.00562,0.000264,0.0016
1801,0.00331,0.0,0.0056500000000000005,0.00027,0.00161
1802,0.00332,0.0,0.00567,0.000275,0.0016200000000000001
1803,0.00333,0.0,0.0057,0.00028000000000000003,0.00163
1804,0.0033399999999999997,0.0,0.005730000000000001,0.000285,0.00164
1805,0.00335,0.0,0.0057599999999999995,0.00029099999999999997,0.00164
1806,0.0033599999999999997,0.0,0.00579,0.000296,0.00165
1807,0.00337,0.0,0.0058200000000000005,0.000301,0.00166
1808,0.0033799999999999998,0.0,0.00584,0.000307,0.0016699999999999998
1809,0.0033900000000000002,0.0,0.00587,0.000312,0.0016799999999999999
1810,0.0034,0.0,0.005900000000000001,0.000317,0.0016799999999999999
1811,0.0034100000000000003,0.0,0.0059299999999999995,0.000322,0.0016899999999999999
1812,0.00342,0.0,0.00596,0.000328,0.0017
1813,0.0034300000000000003,0.0,0.0059900000000000005,0.000333,0.00171
1814,0.00344,0.0,0.006019999999999999,0.00033800000000000003,0.00172
1815,0.0034500000000000004,0.0,0.00605,0.00034399999999999996,0.00173
1816,0.00346,0.0,0.00608,0.00034899999999999997,0.00174
1817,0.00347,0.0,0.00611,0.000354,0.00174
1818,0.00348,0.0,0.00614,0.000359,0.00175
1819,0.00349,0.0,0.00617,0.000365,0.00176
1820,0.0035,0.0,0.0062,0.00037,0.00177
1821,0.0035099999999999997,0.0,0.00623,0.000375,0.0017800000000000001
1822,0.00352,0.0,0.0062699999999999995,0.000381,0.0017900000000000001
1823,0.00352,0.0,0.0063,0.000386,0.0018
1824,0.0035299999999999997,0.0,0.00633,0.000391,0.00181
1825,0.00354,0.0,0.00636,0.00039600000000000003,0.00182
1826,0.0035499999999999998,0.0,0.00639,0.000402,0.00182
1827,0.0035600000000000002,0.0,0.00642,0.00040699999999999997,0.00183
1828,0.00357,0.0,0.00646,0.000412,0.00184
1829,0.0035800000000000003,0.0,0.00649,0.00041799999999999997,0.00185
1830,0.00359,0.0,0.00652,0.000423,0.00186
1831,0.0036,0.0,0.006549999999999999,0.000428,0.0018700000000000001
1832,0.00361,0.0,0.0065899999999999995,0.000433,0.00188
1833,0.00362,0.0,0.00662,0.000439,0.00189
1834,0.00363,0.0,0.0066500000000000005,0.000444,0.0019
1835,0.00363,0.0,0.006690000000000001,0.000449,0.00191
1836,0.00364,0.0,0.006719999999999999,0.000455,0.0019199999999999998
1837,0.00365,0.0,0.00675,0.00046,0.0019299999999999999
1838,0.00366,0.0,0.00679,0.000465,0.0019399999999999999
1839,0.00367,0.0,0.0068200000000000005,0.00047,0.00195
1840,0.00368,0.0,0.006849999999999999,0.00047599999999999997,0.00196
1841,0.00368,0.0,0.006889999999999999,0.000481,0.00197
1842,0.00369,0.0,0.00692,0.000486,0.00198
1843,0.0037,0.0,0.00696,0.000492,0.00199
1844,0.0037099999999999998,0.0,0.0069900000000000006,0.000497,0.002
1845,0.0037099999999999998,0.0,0.007030000000000001,0.000502,0.0020099999999999996
1846,0.00372,0.0,0.00707,0.000507,0.00202
1847,0.00373,0.0,0.0070999999999999995,0.000513,0.0020299999999999997
1848,0.0037400000000000003,0.0,0.00714,0.000518,0.00204
1849,0.0037400000000000003,0.0,0.00717,0.000523,0.0020499999999999997
1850,0.00378,0.00147,0.0072,0.0005290000000000001,0.00229
1851,0.00379,0.00147,0.00724,0.0005340000000000001,0.00231
1852,0.0038,0.00147,0.00728,0.000539,0.00232
1853,0.00381,0.00147,0.00732,0.000544,0.00234
1854,0.00381,0.00147,0.00736,0.00055,0.00235
1855,0.00382,0.00147,0.0074,0.000555,0.00237
1856,0.00383,0.00147,0.00744,0.0005600000000000001,0.0023799999999999997
1857,0.00383,0.00147,0.00747,0.000566,0.0024
1858,0.0038399999999999997,0.00147,0.00751,0.000571,0.0024100000000000002
1859,0.0038399999999999997,0.00147,0.007549999999999999,0.0005759999999999999,0.00242
1860,0.00385,0.00147,0.0075899999999999995,0.0005809999999999999,0.0024300000000000003
1861,0.0038399999999999997,0.00147,0.0075899999999999995,0.000587,0.00244
1862,0.00383,0.00147,0.0076,0.000592,0.00244
1863,0.00382,0.00147,0.0076100000000000004,0.000597,0.00244
1864,0.00381,0.00147,0.00762,0.000603,0.00244
1865,0.0038,0.00147,0.00762,0.000608,0.0024500000000000004
1866,0.00379,0.00147,0.00763,0.0006129999999999999,0.0024500000000000004
1867,0.00378,0.00147,0.00764,0.000618,0.0024500000000000004
1868,0.00377,0.00147,0.0076500000000000005,0.000624,0.0024500000000000004
1869,0.00376,0.00147,0.0076500000000000005,0.000629,0.00246
1870,0.00375,0.00147,0.00766,0.000634,0.00246
1871,0.00373,0.00147,0.00767,0.00064,0.00246
1872,0.00372,0.00147,0.007690000000000001,0.0006450000000000001,0.00248
1873,0.0037099999999999998,0.00147,0.00771,0.00065,0.0025
1874,0.0037,0.00147,0.007730000000000001,0.000655,0.00252
1875,0.0037,0.00147,0.00775,0.000661,0.0025499999999999997
1876,0.00369,0.00147,0.00777,0.000666,0.00257
1877,0.00368,0.00147,0.00779,0.000671,0.0026
1878,0.00367,0.00147,0.007809999999999999,0.0006770000000000001,0.00262
1879,0.00366,0.00147,0.00783,0.0006820000000000001,0.00264
1880,0.00365,0.00147,0.00784,0.000687,0.00265
1881,0.00363,0.00147,0.00785,0.0006919999999999999,0.00266
1882,0.00362,0.00147,0.00786,0.0006979999999999999,0.00266
1883,0.00361,0.00147,0.00787,0.000703,0.00267
1884,0.00359,0.00147,0.00788,0.000708,0.00267
1885,0.0035800000000000003,0.00147,0.00789,0.000714,0.00268
1886,0.00357,0.00147,0.0079,0.000719,0.00268
1887,0.0035499999999999998,0.00147,0.00791,0.0007239999999999999,0.00269
1888,0.00354,0.00147,0.00792,0.0007289999999999999,0.00269
1889,0.0035299999999999997,0.00147,0.00793,0.000735,0.0027
1890,0.00352,0.00147,0.007940000000000001,0.00074,0.00272
1891,0.0035,0.0016799999999999999,0.00795,0.000745,0.00273
1892,0.00349,0.00227,0.00796,0.000751,0.00273
1893,0.00347,0.00316,0.00797,0.000756,0.00273
1894,0.00346,0.0042699999999999995,0.007980000000000001,0.000761,0.0027400000000000002
1895,0.0034500000000000004,0.00554,0.00799,0.000766,0.0027400000000000002
1896,0.0034300000000000003,0.006889999999999999,0.008,0.000772,0.00275
1897,0.00342,0.00825,0.00802,0.000777,0.00275
1898,0.0034100000000000003,0.00954,0.008029999999999999,0.000782,0.00276
1899,0.0033900000000000002,0.0107,0.008039999999999999,0.0007880000000000001,0.00276
1900,0.0033799999999999998,0.0116,0.00805,0.0007930000000000001,0.00277
1901,0.00328,0.0124,0.008060000000000001,0.000798,0.00277
1902,0.00318,0.013099999999999999,0.00808,0.000803,0.00278
1903,0.00309,0.013800000000000002,0.00809,0.000809,0.00278
1904,0.003,0.0144,0.0081,0.0008139999999999999,0.00279
1905,0.0029,0.015,0.008119999999999999,0.000819,0.0028
