year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0258,0.0,0.0755,3.13e-18,1.0
1751,0.0259,0.0,0.07579999999999999,0.000184,1.01
1752,0.026,0.0,0.0761,0.00036899999999999997,1.01
1753,0.026,0.0,0.07629999999999999,0.000553,1.01
1754,0.0261,0.0,0.07659999999999999,0.0007379999999999999,1.02
1755,0.026199999999999998,0.0,0.0768,0.0009220000000000001,1.02
1756,0.0263,0.0,0.07709999999999999,0.00111,1.02
1757,0.0263,0.0,0.07740000000000001,0.0012900000000000001,1.03
1758,0.0264,0.0,0.07759999999999999,0.00148,1.03
1759,0.0265,0.0,0.07790000000000001,0.00166,1.03
1760,0.026600000000000002,0.0,0.07809999999999999,0.00184,1.04
1761,0.026600000000000002,0.0,0.07840000000000001,0.0020299999999999997,1.04
1762,0.026699999999999998,0.0,0.0787,0.00221,1.04
1763,0.0268,0.0,0.07890000000000001,0.0024,1.05
1764,0.0269,0.0,0.0792,0.0025800000000000003,1.05
1765,0.0269,0.0,0.0795,0.00277,1.05
1766,0.027,0.0,0.0798,0.0029500000000000004,1.06
1767,0.027100000000000003,0.0,0.08,0.00313,1.06
1768,0.0272,0.0,0.0803,0.00332,1.07
1769,0.0272,0.0,0.08059999999999999,0.0035,1.07
1770,0.0273,0.0,0.0808,0.00369,1.07
1771,0.027399999999999997,0.0,0.08109999999999999,0.00387,1.08
1772,0.0275,0.0,0.0814,0.004059999999999999,1.08
1773,0.0275,0.0,0.08170000000000001,0.00424,1.08
1774,0.027600000000000003,0.0,0.0819,0.00443,1.09
1775,0.0277,0.0,0.08220000000000001,0.00461,1.09
1776,0.027800000000000002,0.0,0.0825,0.00479,1.09
1777,0.027800000000000002,0.0,0.0828,0.00498,1.1
1778,0.027899999999999998,0.0,0.0831,0.0051600000000000005,1.1
1779,0.028,0.0,0.0833,0.00535,1.11
1780,0.0281,0.0,0.0836,0.00553,1.11
1781,0.0281,0.0,0.0839,0.005719999999999999,1.11
1782,0.0282,0.0,0.0842,0.005900000000000001,1.12
1783,0.028300000000000002,0.0,0.0845,0.00609,1.12
1784,0.028399999999999998,0.0,0.0848,0.0062699999999999995,1.12
1785,0.028399999999999998,0.0,0.0851,0.00645,1.13
1786,0.0285,0.0,0.0853,0.00664,1.13
1787,0.0286,0.0,0.0856,0.0068200000000000005,1.14
1788,0.0287,0.0,0.0859,0.00701,1.14
1789,0.0287,0.0,0.0862,0.00719,1.14
1790,0.0288,0.0,0.0865,0.00738,1.15
1791,0.0289,0.0,0.0868,0.00756,1.15
1792,0.029,0.0,0.0871,0.00775,1.16
1793,0.029,0.0,0.0874,0.00793,1.16
1794,0.0291,0.0,0.0877,0.00811,1.16
1795,0.0292,0.0,0.088,0.0083,1.17
1796,0.0293,0.0,0.0883,0.00848,1.17
1797,0.0293,0.0,0.0886,0.00867,1.18
1798,0.0294,0.0,0.0889,0.00885,1.18
1799,0.0295,0.0,0.0892,0.00904,1.18
1800,0.0296,0.0,0.0895,0.00922,1.19
1801,0.0296,0.0,0.08979999999999999,0.0094,1.19
1802,0.0297,0.0,0.0901,0.00959,1.2
1803,0.0298,0.0,0.09040000000000001,0.00977,1.2
1804,0.0299,0.0,0.0907,0.00996,1.2
1805,0.0299,0.0,0.091,0.0101,1.21
1806,0.03,0.0,0.09129999999999999,0.0103,1.21
1807,0.030100000000000002,0.0,0.0916,0.0105,1.22
1808,0.030199999999999998,0.0,0.092,0.0107,1.22
1809,0.030199999999999998,0.0,0.0923,0.0109,1.22
1810,0.0303,0.0,0.09259999999999999,0.0111,1.23
1811,0.030899999999999997,0.0,0.0943,0.0112,1.25
1812,0.0314,0.0,0.096,0.0114,1.27
1813,0.0319,0.0,0.0978,0.0116,1.3
1814,0.0325,0.0,0.0995,0.011800000000000001,1.32
1815,0.033,0.0,0.101,0.012,1.34
1816,0.0335,0.0,0.103,0.012199999999999999,1.37
1817,0.0341,0.0,0.105,0.0124,1.39
1818,0.0346,0.0,0.106,0.0125,1.41
1819,0.0351,0.0,0.108,0.0127,1.44
1820,0.0356,0.0,0.11,0.0129,1.46
1821,0.0363,0.0,0.112,0.013099999999999999,1.49
1822,0.036899999999999995,0.0,0.114,0.013300000000000001,1.51
1823,0.0375,0.0,0.116,0.0135,1.54
1824,0.0381,0.0,0.118,0.0136,1.57
1825,0.038799999999999994,0.0,0.12,0.013800000000000002,1.6
1826,0.0394,0.0,0.122,0.014,1.62
1827,0.04,0.0,0.124,0.014199999999999999,1.65
1828,0.040600000000000004,0.0,0.126,0.0144,1.68
1829,0.0412,0.0,0.128,0.0146,1.7
1830,0.0418,0.0,0.13,0.0148,1.73
1831,0.0418,0.0,0.131,0.0149,1.73
1832,0.0418,0.0,0.131,0.015099999999999999,1.74
1833,0.0419,0.0,0.131,0.015300000000000001,1.74
1834,0.0419,0.0,0.131,0.0155,1.74
1835,0.0419,0.0,0.131,0.0157,1.74
1836,0.0419,0.0,0.131,0.0159,1.74
1837,0.0419,0.0,0.132,0.016,1.75
1838,0.0419,0.0,0.132,0.0162,1.75
1839,0.0419,0.0,0.132,0.016399999999999998,1.75
1840,0.0419,0.0,0.132,0.0166,1.75
1841,0.0419,0.0,0.132,0.016800000000000002,1.76
1842,0.0419,0.0,0.132,0.017,1.76
1843,0.0418,0.0,0.133,0.0171,1.76
1844,0.0418,0.0,0.133,0.0173,1.76
1845,0.0418,0.0,0.133,0.0175,1.76
1846,0.0418,0.0,0.133,0.0177,1.77
1847,0.0418,0.0,0.133,0.0179,1.77
1848,0.0418,0.0,0.133,0.0181,1.77
1849,0.0418,0.0,0.134,0.0183,1.77
1850,0.0424,0.0,0.134,0.0184,1.78
1851,0.0431,0.0,0.136,0.018600000000000002,1.81
1852,0.0438,0.0,0.139,0.0188,1.84
1853,0.0445,0.0,0.142,0.019,1.88
1854,0.045200000000000004,0.0,0.144,0.0192,1.91
1855,0.046,0.0,0.147,0.019399999999999997,1.95
1856,0.046700000000000005,0.0,0.149,0.0195,1.98
1857,0.0474,0.0,0.152,0.0197,2.02
1858,0.048100000000000004,0.0,0.154,0.019899999999999998,2.05
1859,0.048799999999999996,0.0,0.157,0.0201,2.09
1860,0.0495,0.0,0.159,0.020300000000000002,2.12
1861,0.048799999999999996,0.0,0.157,0.0205,2.09
1862,0.048100000000000004,0.0,0.155,0.0207,2.06
1863,0.049,0.0,0.153,0.0208,2.03
1864,0.048299999999999996,0.0,0.151,0.021,2.0
1865,0.0476,0.0,0.149,0.0212,1.97
1866,0.0469,0.0,0.146,0.0214,1.94
1867,0.0461,0.0,0.144,0.0216,1.91
1868,0.045399999999999996,0.0,0.142,0.0218,1.88
1869,0.044700000000000004,0.0,0.14,0.0219,1.85
1870,0.044,0.0,0.138,0.0221,1.82
1871,0.0433,0.0,0.136,0.0223,1.79
1872,0.0426,0.0,0.134,0.0225,1.76
1873,0.042,0.0,0.132,0.022699999999999998,1.73
1874,0.041299999999999996,0.0,0.13,0.0229,1.71
1875,0.0407,0.0,0.128,0.023100000000000002,1.68
1876,0.040100000000000004,0.0,0.126,0.0232,1.65
1877,0.0394,0.0,0.125,0.023399999999999997,1.62
1878,0.038799999999999994,0.0,0.123,0.023600000000000003,1.59
1879,0.0381,0.0,0.121,0.0238,1.56
1880,0.0375,0.0,0.119,0.024,1.53
1881,0.0395,0.0,0.126,0.0242,1.62
1882,0.0416,0.0,0.133,0.024300000000000002,1.72
1883,0.0436,0.0,0.14,0.0245,1.82
1884,0.0456,0.0,0.147,0.0247,1.91
1885,0.0476,0.0,0.154,0.0249,2.01
1886,0.0496,0.0,0.161,0.0251,2.11
1887,0.0516,0.0,0.168,0.0253,2.2
1888,0.0536,0.0,0.176,0.0254,2.3
1889,0.055600000000000004,0.0,0.183,0.0256,2.39
1890,0.0576,0.0,0.19,0.0258,2.49
1891,0.0569,0.0,0.187,0.026,2.46
1892,0.0562,0.0,0.185,0.026199999999999998,2.43
1893,0.0555,0.0,0.183,0.0264,2.4
1894,0.054799999999999995,0.0,0.181,0.026600000000000002,2.37
1895,0.0541,0.0,0.179,0.026699999999999998,2.34
