year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0245,0.0,0.039700000000000006,0.0,0.358
1751,0.0245,0.0,0.039700000000000006,6.110000000000001e-05,0.358
1752,0.0245,0.0,0.039700000000000006,0.000122,0.358
1753,0.0246,0.0,0.039700000000000006,0.000183,0.359
1754,0.0246,0.0,0.039700000000000006,0.000244,0.359
1755,0.0246,0.0,0.039700000000000006,0.000305,0.359
1756,0.0246,0.0,0.039700000000000006,0.000366,0.359
1757,0.0246,0.0,0.039700000000000006,0.00042699999999999997,0.359
1758,0.0246,0.0,0.039799999999999995,0.000488,0.359
1759,0.0246,0.0,0.039799999999999995,0.000549,0.359
1760,0.0246,0.0,0.039799999999999995,0.000611,0.359
1761,0.0246,0.0,0.039799999999999995,0.0006720000000000001,0.359
1762,0.0246,0.0,0.039799999999999995,0.000733,0.36
1763,0.0246,0.0,0.039799999999999995,0.000794,0.36
1764,0.0246,0.0,0.039799999999999995,0.000855,0.36
1765,0.0246,0.0,0.0399,0.000916,0.36
1766,0.0246,0.0,0.0399,0.000977,0.36
1767,0.0246,0.0,0.0399,0.0010400000000000001,0.36
1768,0.0246,0.0,0.0399,0.0011,0.36
1769,0.0246,0.0,0.0399,0.00116,0.36
1770,0.0246,0.0,0.0399,0.00122,0.361
1771,0.0246,0.0,0.0399,0.00128,0.361
1772,0.0246,0.0,0.0399,0.00134,0.361
1773,0.0246,0.0,0.04,0.0014,0.361
1774,0.0246,0.0,0.04,0.00147,0.361
1775,0.0246,0.0,0.04,0.0015300000000000001,0.361
1776,0.0246,0.0,0.04,0.00159,0.361
1777,0.0246,0.0,0.04,0.00165,0.361
1778,0.0246,0.0,0.04,0.00171,0.362
1779,0.0246,0.0,0.04,0.00177,0.362
1780,0.0246,0.0,0.040100000000000004,0.00183,0.362
1781,0.0246,0.0,0.040100000000000004,0.00189,0.362
1782,0.0246,0.0,0.040100000000000004,0.00195,0.362
1783,0.0246,0.0,0.040100000000000004,0.0020099999999999996,0.362
1784,0.0246,0.0,0.040100000000000004,0.0020800000000000003,0.362
1785,0.0246,0.0,0.040100000000000004,0.00214,0.362
1786,0.0246,0.0,0.040100000000000004,0.0022,0.362
1787,0.0246,0.0,0.040100000000000004,0.00226,0.363
1788,0.0246,0.0,0.0402,0.00232,0.363
1789,0.0246,0.0,0.0402,0.0023799999999999997,0.363
1790,0.0246,0.0,0.0402,0.00244,0.363
1791,0.0246,0.0,0.0402,0.0025,0.363
1792,0.0246,0.0,0.0402,0.00256,0.363
1793,0.0246,0.0,0.0402,0.00263,0.363
1794,0.0246,0.0,0.0402,0.00269,0.363
1795,0.0246,0.0,0.040299999999999996,0.00275,0.364
1796,0.0246,0.0,0.040299999999999996,0.00281,0.364
1797,0.0246,0.0,0.040299999999999996,0.00287,0.364
1798,0.0246,0.0,0.040299999999999996,0.0029300000000000003,0.364
1799,0.0246,0.0,0.040299999999999996,0.00299,0.364
1800,0.0246,0.0,0.040299999999999996,0.0030499999999999998,0.364
1801,0.0246,0.0,0.040299999999999996,0.00311,0.364
1802,0.0246,0.0,0.040299999999999996,0.00317,0.364
1803,0.0246,0.0,0.0404,0.0032400000000000003,0.365
1804,0.0246,0.0,0.0404,0.0033,0.365
1805,0.0246,0.0,0.0404,0.0033599999999999997,0.365
1806,0.0246,0.0,0.0404,0.00342,0.365
1807,0.0246,0.0,0.0404,0.00348,0.365
1808,0.0246,0.0,0.0404,0.00354,0.365
1809,0.0246,0.0,0.0404,0.0036,0.365
1810,0.0246,0.0,0.0405,0.00366,0.365
1811,0.0246,0.0,0.0405,0.00372,0.366
1812,0.0246,0.0,0.0405,0.00379,0.366
1813,0.0246,0.0,0.040600000000000004,0.00385,0.366
1814,0.0246,0.0,0.040600000000000004,0.00391,0.367
1815,0.0246,0.0,0.040600000000000004,0.0039700000000000004,0.367
1816,0.0246,0.0,0.0407,0.004030000000000001,0.367
1817,0.0246,0.0,0.0407,0.00409,0.368
1818,0.0246,0.0,0.0407,0.00415,0.368
1819,0.0246,0.0,0.040799999999999996,0.00421,0.368
1820,0.0247,0.0,0.040799999999999996,0.0042699999999999995,0.368
1821,0.0247,0.0,0.040799999999999996,0.00433,0.369
1822,0.0247,0.0,0.0409,0.0044,0.369
1823,0.0247,0.0,0.0409,0.0044599999999999996,0.369
1824,0.0247,0.0,0.0409,0.00452,0.37
1825,0.0247,0.0,0.041,0.00458,0.37
1826,0.0247,0.0,0.041,0.00464,0.37
1827,0.0247,0.0,0.041,0.0047,0.371
1828,0.0247,0.0,0.041100000000000005,0.0047599999999999995,0.371
1829,0.0247,0.0,0.041100000000000005,0.0048200000000000005,0.371
1830,0.0247,0.0,0.041100000000000005,0.00488,0.372
1831,0.0247,0.0,0.0412,0.00495,0.372
1832,0.0248,0.0,0.0412,0.00501,0.372
