year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.000171,0.0,2.93e-05
1751,0.0,0.0,0.00017199999999999998,9.22e-09,2.94e-05
1752,0.0,0.0,0.00017199999999999998,1.84e-08,2.95e-05
1753,0.0,0.0,0.00017299999999999998,2.76e-08,2.96e-05
1754,0.0,0.0,0.00017299999999999998,3.69e-08,2.97e-05
1755,0.0,0.0,0.000174,4.61e-08,2.98e-05
1756,0.0,0.0,0.000174,5.5300000000000005e-08,2.99e-05
1757,0.0,0.0,0.000175,6.45e-08,2.9999999999999997e-05
1758,0.0,0.0,0.000176,7.37e-08,3.01e-05
1759,0.0,0.0,0.000176,8.29e-08,3.0200000000000002e-05
1760,0.0,0.0,0.000177,9.22e-08,3.03e-05
1761,0.0,0.0,0.000177,1.01e-07,3.04e-05
1762,0.0,0.0,0.000178,1.11e-07,3.05e-05
1763,0.0,0.0,0.000178,1.2000000000000002e-07,3.06e-05
1764,0.0,0.0,0.000179,1.29e-07,3.07e-05
1765,0.0,0.0,0.000179,1.38e-07,3.08e-05
1766,0.0,0.0,0.00017999999999999998,1.47e-07,3.09e-05
1767,0.0,0.0,0.00018099999999999998,1.57e-07,3.1e-05
1768,0.0,0.0,0.00018099999999999998,1.66e-07,3.11e-05
1769,0.0,0.0,0.000182,1.75e-07,3.12e-05
1770,0.0,0.0,0.000182,1.84e-07,3.13e-05
1771,0.0,0.0,0.000183,1.94e-07,3.14e-05
1772,0.0,0.0,0.000183,2.03e-07,3.15e-05
1773,0.0,0.0,0.000184,2.12e-07,3.16e-05
1774,0.0,0.0,0.000185,2.21e-07,3.17e-05
1775,0.0,0.0,0.000185,2.3e-07,3.18e-05
1776,0.0,0.0,0.000186,2.4000000000000003e-07,3.1899999999999996e-05
1777,0.0,0.0,0.000186,2.4899999999999997e-07,3.2e-05
1778,0.0,0.0,0.000187,2.58e-07,3.2099999999999994e-05
1779,0.0,0.0,0.000188,2.67e-07,3.22e-05
1780,0.0,0.0,0.000188,2.76e-07,3.23e-05
1781,0.0,0.0,0.000189,2.86e-07,3.24e-05
1782,0.0,0.0,0.000189,2.9500000000000003e-07,3.2500000000000004e-05
1783,0.0,0.0,0.00019,3.04e-07,3.26e-05
1784,0.0,0.0,0.000191,3.13e-07,3.27e-05
1785,0.0,0.0,0.000191,3.2299999999999997e-07,3.2800000000000004e-05
1786,0.0,0.0,0.000192,3.32e-07,3.29e-05
1787,0.0,0.0,0.000192,3.41e-07,3.3e-05
1788,0.0,0.0,0.000193,3.5e-07,3.31e-05
1789,0.0,0.0,0.000194,3.5899999999999997e-07,3.32e-05
1790,0.0,0.0,0.000194,3.6900000000000004e-07,3.33e-05
1791,0.0,0.0,0.000195,3.78e-07,3.34e-05
1792,0.0,0.0,0.00019600000000000002,3.8699999999999996e-07,3.35e-05
1793,0.0,0.0,0.00019600000000000002,3.96e-07,3.36e-05
1794,0.0,0.0,0.00019700000000000002,4.05e-07,3.37e-05
1795,0.0,0.0,0.00019700000000000002,4.15e-07,3.3799999999999995e-05
1796,0.0,0.0,0.00019800000000000002,4.24e-07,3.4e-05
1797,0.0,0.0,0.000199,4.33e-07,3.4099999999999995e-05
1798,0.0,0.0,0.000199,4.42e-07,3.4200000000000005e-05
1799,0.0,0.0,0.0002,4.5199999999999997e-07,3.43e-05
1800,0.0,0.0,0.000201,4.6099999999999996e-07,3.44e-05
1801,0.0,0.0,0.000201,4.7e-07,3.4500000000000005e-05
1802,0.0,0.0,0.000202,4.79e-07,3.46e-05
1803,0.0,0.0,0.000202,4.88e-07,3.47e-05
1804,0.0,0.0,0.000203,4.979999999999999e-07,3.48e-05
1805,0.0,0.0,0.000204,5.07e-07,3.49e-05
1806,0.0,0.0,0.000204,5.16e-07,3.51e-05
1807,0.0,0.0,0.000205,5.25e-07,3.52e-05
1808,0.0,0.0,0.000206,5.34e-07,3.53e-05
1809,0.0,0.0,0.000206,5.44e-07,3.54e-05
1810,0.0,0.0,0.000207,5.53e-07,3.5499999999999996e-05
1811,0.0,0.0,0.00020899999999999998,5.62e-07,3.59e-05
1812,0.0,0.0,0.000212,5.71e-07,3.63e-05
1813,0.0,0.0,0.000214,5.81e-07,3.6700000000000004e-05
1814,0.0,0.0,0.000217,5.900000000000001e-07,3.71e-05
1815,0.0,0.0,0.000219,5.99e-07,3.75e-05
1816,0.0,0.0,0.000221,6.08e-07,3.7900000000000006e-05
1817,0.0,0.0,0.000224,6.170000000000001e-07,3.84e-05
1818,0.0,0.0,0.00022600000000000002,6.27e-07,3.88e-05
1819,0.0,0.0,0.000228,6.359999999999999e-07,3.92e-05
1820,0.0,0.0,0.000231,6.45e-07,3.96e-05
1821,0.0,0.0,0.00023300000000000003,6.54e-07,3.99e-05
