year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00146
1851,0.00146
1852,0.00146
1853,0.00146
1854,0.00146
1855,0.00146
1856,0.00146
1857,0.00146
1858,0.00146
1859,0.00146
1860,0.00146
1861,0.00146
1862,0.00146
1863,0.00146
1864,0.00146
1865,0.00146
1866,0.00146
1867,0.00146
1868,0.00146
1869,0.00146
1870,0.00146
1871,0.00146
1872,0.00146
1873,0.00146
1874,0.00146
1875,0.00146
1876,0.00146
1877,0.00146
1878,0.00146
1879,0.00146
1880,0.00146
1881,0.00146
1882,0.00146
1883,0.00146
1884,0.00146
1885,0.00146
1886,0.00146
1887,0.00146
1888,0.00146
1889,0.00146
1890,0.00146
1891,0.00171
1892,0.0024
1893,0.00344
1894,0.00475
1895,0.00624
1896,0.00783
1897,0.00942
1898,0.0109
1899,0.0123
1900,0.0134
1901,0.0143
1902,0.0152
1903,0.0159
1904,0.0167
1905,0.0174
1906,0.0181
1907,0.0188
1908,0.019600000000000003
1909,0.0205
1910,0.0214
1911,0.0225
1912,0.023600000000000003
1913,0.0247
1914,0.026
1915,0.0273
1916,0.0286
1917,0.030100000000000002
1918,0.0316
1919,0.0332
1920,0.0348
1921,0.0414
1922,0.0567
1923,0.07890000000000001
1924,0.107
1925,0.138
1926,0.171
1927,0.205
1928,0.237
1929,0.266
1930,0.29
1931,0.312
1932,0.332
1933,0.352
1934,0.371
1935,0.39
1936,0.408
1937,0.427
1938,0.446
1939,0.465
1940,0.484
1941,0.504
1942,0.526
1943,0.549
1944,0.573
1945,0.599
1946,0.627
1947,0.656
1948,0.687
1949,0.719
1950,0.753
1951,0.79
1952,0.831
1953,0.874
1954,0.92
1955,0.969
1956,1.02
1957,1.07
1958,1.13
1959,1.18
1960,1.24
1961,1.3
1962,1.37
1963,1.45
1964,1.52
1965,1.6
1966,1.68
1967,1.76
1968,1.83
1969,1.89
1970,1.94
1971,1.99
1972,2.04
1973,2.1
1974,2.17
1975,2.23
1976,2.29
1977,2.35
1978,2.41
1979,2.46
1980,2.5
1981,2.53
1982,2.56
1983,2.59
1984,2.61
1985,2.63
1986,2.65
1987,2.67
1988,2.68
1989,2.69
1990,3.29
1991,3.74
1992,4.38
1993,7.18
1994,10.0
1995,12.9
1996,15.6
1997,18.6
1998,24.1
1999,36.2
2000,45.3
2001,60.5
2002,60.1
2003,82.9
2004,108.0
2005,151.0
2006,175.0
2007,149.0
2008,128.0
2009,161.0
2010,194.0
2011,209.0
2012,226.0
2013,276.0
2014,337.0
2015,291.0
2016,305.0
2017,324.0
2018,341.0
2019,359.0
2020,377.0
2021,397.0
2022,397.0
