year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00146
1851,0.00146
1852,0.00146
1853,0.00146
1854,0.00146
1855,0.00146
1856,0.00146
1857,0.00146
1858,0.00146
1859,0.00146
1860,0.00146
1861,0.00146
1862,0.00146
1863,0.00146
1864,0.00146
1865,0.00146
1866,0.00146
1867,0.00146
1868,0.00146
1869,0.00146
1870,0.00146
1871,0.00146
1872,0.00146
1873,0.00146
1874,0.00146
1875,0.00146
1876,0.00146
1877,0.00146
1878,0.00146
1879,0.00146
1880,0.00146
1881,0.00146
1882,0.00146
1883,0.00146
1884,0.00146
1885,0.00146
1886,0.00146
1887,0.00146
1888,0.00146
1889,0.00146
1890,0.00146
1891,0.00171
1892,0.0024
1893,0.00344
1894,0.00475
1895,0.00624
1896,0.00783
1897,0.00942
1898,0.0109
1899,0.0123
1900,0.0134
1901,0.0143
1902,0.0152
1903,0.0159
1904,0.0167
1905,0.0174
1906,0.0181
1907,0.0188
1908,0.019600000000000003
1909,0.0205
1910,0.0214
1911,0.0225
1912,0.023600000000000003
1913,0.0247
1914,0.026
1915,0.0273
1916,0.0287
1917,0.030100000000000002
1918,0.0316
1919,0.0332
1920,0.0348
1921,0.0414
1922,0.056600000000000004
1923,0.0788
1924,0.106
1925,0.138
1926,0.171
1927,0.204
1928,0.236
1929,0.265
1930,0.29
1931,0.311
1932,0.331
1933,0.351
1934,0.37
1935,0.389
1936,0.407
1937,0.426
1938,0.445
1939,0.464
1940,0.483
1941,0.503
1942,0.523
1943,0.544
1944,0.566
1945,0.589
1946,0.613
1947,0.638
1948,0.666
1949,0.695
1950,0.727
1951,0.761
1952,0.799
1953,0.84
1954,0.883
1955,0.929
1956,0.977
1957,1.03
1958,1.08
1959,1.13
1960,1.19
1961,1.24
1962,1.31
1963,1.39
1964,1.46
1965,1.54
1966,1.62
1967,1.69
1968,1.76
1969,1.81
1970,1.86
1971,1.9
1972,1.94
1973,1.98
1974,2.02
1975,2.06
1976,2.1
1977,2.13
1978,2.16
1979,2.18
1980,2.2
1981,2.21
1982,2.21
1983,2.21
1984,2.2
1985,2.19
1986,2.18
1987,2.18
1988,2.17
1989,2.17
1990,2.65
1991,2.86
1992,3.23
1993,3.68
1994,4.16
1995,4.56
1996,4.72
1997,5.46
1998,5.24
1999,5.77
2000,5.64
2001,4.78
2002,5.92
2003,6.92
2004,7.37
2005,6.95
2006,7.69
2007,13.2
2008,12.4
2009,8.04
2010,10.1
2011,12.1
2012,13.5
2013,14.1
2014,18.0
2015,19.3
2016,19.4
2017,22.0
2018,22.9
2019,26.4
2020,28.7
2021,31.4
2022,32.2
