year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,3.85e-05
1942,0.000146
1943,0.00031
1944,0.000518
1945,0.000759
1946,0.00102
1947,0.0012900000000000001
1948,0.00156
1949,0.00181
1950,0.0020299999999999997
1951,0.0022299999999999998
1952,0.0024300000000000003
1953,0.00264
1954,0.0028399999999999996
1955,0.00304
1956,0.0032400000000000003
1957,0.0034500000000000004
1958,0.00365
1959,0.00385
1960,0.004059999999999999
1961,0.00425
1962,0.00441
1963,0.00457
1964,0.004719999999999999
1965,0.00487
1966,0.00505
1967,0.00525
1968,0.0054800000000000005
1969,0.0057599999999999995
1970,0.0060999999999999995
1971,0.00674
1972,0.00788
1973,0.00943
1974,0.011300000000000001
1975,0.0134
1976,0.0157
1977,0.018
1978,0.0202
1979,0.0224
1980,0.024399999999999998
1981,0.0264
1982,0.0286
1983,0.031
1984,0.0334
1985,0.0358
1986,0.038
1987,0.0399
1988,0.0414
1989,0.0423
1990,0.0431
1991,0.0422
1992,0.037399999999999996
1993,0.039700000000000006
1994,0.0409
1995,0.040600000000000004
1996,0.039200000000000006
1997,0.0378
1998,0.0349
1999,0.0313
2000,0.0292
2001,0.136
2002,0.194
2003,0.249
2004,0.319
2005,0.437
2006,0.519
2007,0.606
2008,0.785
2009,0.965
2010,1.2
2011,1.32
2012,1.58
2013,1.89
2014,2.3
2015,2.6
2016,3.54
2017,3.55
2018,3.91
2019,4.3
2020,4.7
2021,5.14
2022,5.53
