year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,3.78e-05
1942,0.00014299999999999998
1943,0.000305
1944,0.00051
1945,0.000747
1946,0.001
1947,0.00127
1948,0.0015300000000000001
1949,0.0017800000000000001
1950,0.00199
1951,0.00219
1952,0.00239
1953,0.00259
1954,0.00279
1955,0.00299
1956,0.00319
1957,0.0033900000000000002
1958,0.00359
1959,0.00379
1960,0.0039900000000000005
1961,0.00418
1962,0.00434
1963,0.00449
1964,0.00464
1965,0.00479
1966,0.00496
1967,0.0051600000000000005
1968,0.00539
1969,0.00567
1970,0.006
1971,0.00663
1972,0.00775
1973,0.00928
1974,0.0111
1975,0.0132
1976,0.0154
1977,0.0177
1978,0.019899999999999998
1979,0.022
1980,0.024
1981,0.0259
1982,0.0281
1983,0.0305
1984,0.0329
1985,0.0352
1986,0.0373
1987,0.039200000000000006
1988,0.0407
1989,0.0416
1990,0.0424
1991,0.0415
1992,0.0368
1993,0.0391
1994,0.0402
1995,0.0399
1996,0.0386
1997,0.037200000000000004
1998,0.0343
1999,0.0308
2000,0.0287
2001,0.121
2002,0.172
2003,0.22
2004,0.281
2005,0.38
2006,0.45
2007,0.526
2008,0.665
2009,0.81
2010,0.989
2011,1.09
2012,1.29
2013,1.53
2014,1.84
2015,2.07
2016,2.84
2017,2.8
2018,3.08
2019,3.38
2020,3.69
2021,4.03
2022,4.32
