year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,1.15e-06,0.0,2.8699999999999996e-07
1751,0.0,0.0,1.16e-06,1.85e-07,2.88e-07
1752,0.0,0.0,1.16e-06,3.7e-07,2.9e-07
1753,0.0,0.0,1.17e-06,5.54e-07,2.9100000000000005e-07
1754,0.0,0.0,1.17e-06,7.389999999999999e-07,2.9300000000000004e-07
1755,0.0,0.0,1.1800000000000001e-06,9.240000000000001e-07,2.9500000000000003e-07
1756,0.0,0.0,1.19e-06,1.1100000000000002e-06,2.96e-07
1757,0.0,0.0,1.19e-06,1.29e-06,2.98e-07
1758,0.0,0.0,1.2e-06,1.48e-06,3e-07
1759,0.0,0.0,1.2099999999999998e-06,1.66e-06,3.01e-07
1760,0.0,0.0,1.2099999999999998e-06,1.85e-06,3.03e-07
1761,0.0,0.0,1.22e-06,2.03e-06,3.05e-07
1762,0.0,0.0,1.2299999999999999e-06,2.2200000000000003e-06,3.06e-07
1763,0.0,0.0,1.24e-06,2.4e-06,3.08e-07
1764,0.0,0.0,1.24e-06,2.5899999999999998e-06,3.1e-07
1765,0.0,0.0,1.25e-06,2.7699999999999997e-06,3.12e-07
1766,0.0,0.0,1.26e-06,2.96e-06,3.13e-07
1767,0.0,0.0,1.26e-06,3.14e-06,3.15e-07
1768,0.0,0.0,1.2700000000000001e-06,3.33e-06,3.17e-07
1769,0.0,0.0,1.28e-06,3.5100000000000003e-06,3.19e-07
1770,0.0,0.0,1.28e-06,3.7e-06,3.2e-07
1771,0.0,0.0,1.29e-06,3.88e-06,3.22e-07
1772,0.0,0.0,1.2999999999999998e-06,4.07e-06,3.24e-07
1773,0.0,0.0,1.31e-06,4.25e-06,3.2600000000000003e-07
1774,0.0,0.0,1.31e-06,4.440000000000001e-06,3.28e-07
1775,0.0,0.0,1.32e-06,4.62e-06,3.29e-07
1776,0.0,0.0,1.33e-06,4.8e-06,3.3100000000000004e-07
1777,0.0,0.0,1.33e-06,4.99e-06,3.3300000000000003e-07
1778,0.0,0.0,1.34e-06,5.1700000000000005e-06,3.35e-07
1779,0.0,0.0,1.35e-06,5.36e-06,3.37e-07
1780,0.0,0.0,1.3600000000000001e-06,5.5399999999999995e-06,3.39e-07
1781,0.0,0.0,1.3600000000000001e-06,5.73e-06,3.4000000000000003e-07
1782,0.0,0.0,1.37e-06,5.91e-06,3.42e-07
1783,0.0,0.0,1.38e-06,6.1e-06,3.44e-07
1784,0.0,0.0,1.39e-06,6.28e-06,3.46e-07
1785,0.0,0.0,1.4e-06,6.47e-06,3.48e-07
1786,0.0,0.0,1.4e-06,6.65e-06,3.5e-07
1787,0.0,0.0,1.41e-06,6.84e-06,3.52e-07
1788,0.0,0.0,1.42e-06,7.0200000000000006e-06,3.5399999999999997e-07
1789,0.0,0.0,1.43e-06,7.2100000000000004e-06,3.5599999999999996e-07
1790,0.0,0.0,1.43e-06,7.3899999999999995e-06,3.5799999999999995e-07
1791,0.0,0.0,1.4400000000000002e-06,7.58e-06,3.6000000000000005e-07
1792,0.0,0.0,1.4499999999999999e-06,7.76e-06,3.6200000000000004e-07
1793,0.0,0.0,1.46e-06,7.95e-06,3.6400000000000003e-07
1794,0.0,0.0,1.47e-06,8.13e-06,3.66e-07
1795,0.0,0.0,1.48e-06,8.32e-06,3.68e-07
1796,0.0,0.0,1.48e-06,8.5e-06,3.7e-07
1797,0.0,0.0,1.49e-06,8.69e-06,3.72e-07
1798,0.0,0.0,1.5e-06,8.87e-06,3.74e-07
1799,0.0,0.0,1.5100000000000002e-06,9.06e-06,3.76e-07
1800,0.0,0.0,1.52e-06,9.24e-06,3.78e-07
1801,0.0,0.0,1.53e-06,9.43e-06,3.81e-07
1802,0.0,0.0,1.53e-06,9.610000000000001e-06,3.83e-07
1803,0.0,0.0,1.5399999999999999e-06,9.79e-06,3.8499999999999997e-07
1804,0.0,0.0,1.55e-06,9.98e-06,3.8699999999999996e-07
1805,0.0,0.0,1.5599999999999999e-06,1.02e-05,3.89e-07
1806,0.0,0.0,1.57e-06,1.03e-05,3.91e-07
1807,0.0,0.0,1.5800000000000001e-06,1.0500000000000001e-05,3.93e-07
1808,0.0,0.0,1.59e-06,1.07e-05,3.96e-07
1809,0.0,0.0,1.59e-06,1.09e-05,3.9800000000000004e-07
1810,0.0,0.0,1.6000000000000001e-06,1.11e-05,4.0000000000000003e-07
1811,0.0,0.0,1.62e-06,1.1299999999999999e-05,4.05e-07
1812,0.0,0.0,1.64e-06,1.15e-05,4.09e-07
1813,0.0,0.0,1.66e-06,1.1599999999999999e-05,4.14e-07
1814,0.0,0.0,1.68e-06,1.18e-05,4.18e-07
1815,0.0,0.0,1.6999999999999998e-06,1.2e-05,4.2299999999999996e-07
1816,0.0,0.0,1.71e-06,1.22e-05,4.28e-07
1817,0.0,0.0,1.73e-06,1.24e-05,4.32e-07
1818,0.0,0.0,1.75e-06,1.26e-05,4.37e-07
1819,0.0,0.0,1.77e-06,1.2800000000000001e-05,4.41e-07
1820,0.0,0.0,1.79e-06,1.29e-05,4.46e-07
1821,0.0,0.0,1.81e-06,1.31e-05,4.51e-07
1822,0.0,0.0,1.83e-06,1.33e-05,4.56e-07
1823,0.0,0.0,1.85e-06,1.35e-05,4.6099999999999996e-07
1824,0.0,0.0,1.8699999999999999e-06,1.3700000000000001e-05,4.66e-07
1825,0.0,0.0,1.89e-06,1.3899999999999999e-05,4.72e-07
1826,0.0,0.0,1.91e-06,1.4e-05,4.769999999999999e-07
1827,0.0,0.0,1.93e-06,1.4200000000000001e-05,4.82e-07
1828,0.0,0.0,1.95e-06,1.44e-05,4.870000000000001e-07
1829,0.0,0.0,1.9699999999999998e-06,1.46e-05,4.92e-07
1830,0.0,0.0,1.99e-06,1.48e-05,4.970000000000001e-07
1831,0.0,0.0,2.02e-06,1.4999999999999999e-05,5.03e-07
1832,0.0,0.0,2.04e-06,1.52e-05,5.09e-07
1833,0.0,0.0,2.06e-06,1.53e-05,5.140000000000001e-07
1834,0.0,0.0,2.08e-06,1.55e-05,5.2e-07
1835,0.0,0.0,2.1099999999999997e-06,1.57e-05,5.26e-07
1836,0.0,0.0,2.13e-06,1.59e-05,5.31e-07
1837,0.0,0.0,2.15e-06,1.61e-05,5.37e-07
1838,0.0,0.0,2.18e-06,1.63e-05,5.429999999999999e-07
1839,0.0,0.0,2.2e-06,1.6400000000000002e-05,5.490000000000001e-07
1840,0.0,0.0,2.2200000000000003e-06,1.66e-05,5.54e-07
1841,0.0,0.0,2.2499999999999996e-06,1.68e-05,5.61e-07
1842,0.0,0.0,2.27e-06,1.7e-05,5.67e-07
1843,0.0,0.0,2.3e-06,1.72e-05,5.730000000000001e-07
1844,0.0,0.0,2.32e-06,1.74e-05,5.8e-07
1845,0.0,0.0,2.35e-06,1.76e-05,5.860000000000001e-07
1846,0.0,0.0,2.38e-06,1.77e-05,5.93e-07
1847,0.0,0.0,2.4e-06,1.7899999999999998e-05,5.99e-07
1848,0.0,0.0,2.43e-06,1.8100000000000003e-05,6.049999999999999e-07
1849,0.0,0.0,2.45e-06,1.83e-05,6.12e-07
1850,1.5899999999999998e-07,0.0,2.41e-06,1.85e-05,1.66e-05
1851,1.62e-07,0.0,2.4599999999999997e-06,1.87e-05,1.6899999999999997e-05
1852,1.65e-07,0.0,2.51e-06,1.89e-05,1.73e-05
1853,1.68e-07,0.0,2.55e-06,1.9e-05,1.76e-05
1854,1.71e-07,0.0,2.5999999999999997e-06,1.92e-05,1.7899999999999998e-05
1855,1.74e-07,0.0,2.64e-06,1.94e-05,1.8200000000000002e-05
1856,1.76e-07,0.0,2.6700000000000003e-06,1.96e-05,1.84e-05
1857,1.7799999999999998e-07,0.0,2.7100000000000003e-06,1.98e-05,1.8599999999999998e-05
1858,1.8000000000000002e-07,0.0,2.7299999999999997e-06,2e-05,1.88e-05
1859,1.8100000000000002e-07,0.0,2.75e-06,2.01e-05,1.89e-05
1860,1.8200000000000002e-07,0.0,2.76e-06,2.03e-05,1.9e-05
1861,1.8200000000000002e-07,0.0,2.76e-06,2.05e-05,1.9e-05
1862,1.8200000000000002e-07,0.0,2.76e-06,2.07e-05,1.9e-05
1863,1.8200000000000002e-07,0.0,2.7699999999999997e-06,2.09e-05,1.91e-05
1864,1.8200000000000002e-07,0.0,2.7699999999999997e-06,2.11e-05,1.91e-05
1865,1.8200000000000002e-07,0.0,2.7699999999999997e-06,2.13e-05,1.91e-05
1866,1.83e-07,0.0,2.7699999999999997e-06,2.14e-05,1.91e-05
1867,1.83e-07,0.0,2.7699999999999997e-06,2.16e-05,1.91e-05
1868,1.83e-07,0.0,2.78e-06,2.18e-05,1.91e-05
1869,1.83e-07,0.0,2.78e-06,2.2e-05,1.92e-05
1870,1.83e-07,0.0,2.79e-06,2.22e-05,1.92e-05
1871,1.87e-07,0.0,2.83e-06,2.24e-05,1.95e-05
1872,1.94e-07,0.0,2.95e-06,2.2499999999999998e-05,2.03e-05
1873,2.06e-07,0.0,3.1199999999999998e-06,2.2700000000000003e-05,2.1499999999999997e-05
1874,2.2e-07,0.0,3.33e-06,2.29e-05,2.3e-05
1875,2.35e-07,0.0,3.5699999999999997e-06,2.31e-05,2.46e-05
1876,2.5099999999999996e-07,0.0,3.8e-06,2.33e-05,2.62e-05
1877,2.65e-07,0.0,4.0299999999999995e-06,2.35e-05,2.7799999999999998e-05
1878,2.79e-07,0.0,4.23e-06,2.37e-05,2.91e-05
1879,2.8899999999999995e-07,0.0,4.38e-06,2.3800000000000003e-05,3.0200000000000002e-05
1880,2.9500000000000003e-07,0.0,4.4799999999999995e-06,2.4e-05,3.09e-05
1881,2.98e-07,0.0,4.53e-06,2.42e-05,3.12e-05
1882,3.01e-07,0.0,4.58e-06,2.44e-05,3.15e-05
1883,3.04e-07,0.0,4.610000000000001e-06,2.46e-05,3.18e-05
1884,3.06e-07,0.0,4.6499999999999995e-06,2.48e-05,3.2e-05
1885,3.08e-07,0.0,4.68e-06,2.49e-05,3.22e-05
1886,3.1e-07,0.0,4.7e-06,2.51e-05,3.24e-05
1887,3.11e-07,0.0,4.73e-06,2.53e-05,3.26e-05
1888,3.13e-07,0.0,4.76e-06,2.55e-05,3.2800000000000004e-05
1889,3.1599999999999997e-07,0.0,4.79e-06,2.57e-05,3.3e-05
1890,3.72e-07,0.0,4.83e-06,2.59e-05,3.46e-05
1891,3.86e-07,0.0,4.87e-06,2.61e-05,3.46e-05
1892,4.03e-07,0.0,4.9100000000000004e-06,2.62e-05,3.47e-05
1893,4.2099999999999997e-07,0.0,4.95e-06,2.64e-05,3.48e-05
1894,4.4e-07,0.0,5e-06,2.66e-05,3.49e-05
1895,4.6099999999999996e-07,0.0,5.04e-06,2.68e-05,3.5000000000000004e-05
1896,4.83e-07,0.0,5.0899999999999995e-06,2.7e-05,3.52e-05
1897,5.07e-07,0.0,5.14e-06,2.7199999999999997e-05,3.53e-05
1898,5.31e-07,0.0,5.199999999999999e-06,2.7400000000000002e-05,3.5499999999999996e-05
1899,5.56e-07,0.0,5.26e-06,2.75e-05,3.57e-05
1900,5.820000000000001e-07,0.0,5.33e-06,2.77e-05,3.59e-05
1901,6.1e-07,0.0,5.4e-06,2.79e-05,3.61e-05
1902,6.42e-07,0.0,5.49e-06,2.81e-05,3.63e-05
1903,6.76e-07,0.0,5.590000000000001e-06,2.83e-05,3.66e-05
1904,7.119999999999999e-07,0.0,5.7000000000000005e-06,2.85e-05,3.69e-05
1905,7.489999999999999e-07,0.0,5.819999999999999e-06,2.86e-05,3.7199999999999996e-05
1906,7.87e-07,0.0,5.94e-06,2.88e-05,3.76e-05
1907,8.25e-07,0.0,6.0600000000000004e-06,2.9e-05,3.7900000000000006e-05
1908,8.63e-07,0.0,6.18e-06,2.92e-05,3.82e-05
1909,9e-07,0.0,6.29e-06,2.94e-05,3.86e-05
1910,9.36e-07,0.0,6.4000000000000006e-06,2.96e-05,3.89e-05
1911,9.7e-07,0.0,6.51e-06,2.98e-05,3.92e-05
1912,1.01e-06,0.0,6.62e-06,2.99e-05,3.95e-05
1913,1.04e-06,0.0,6.72e-06,3.01e-05,3.9800000000000005e-05
1914,1.08e-06,0.0,6.83e-06,3.03e-05,4.01e-05
1915,1.1100000000000002e-06,0.0,6.94e-06,3.05e-05,4.0300000000000004e-05
1916,1.15e-06,0.0,7.04e-06,3.07e-05,4.07e-05
1917,1.1800000000000001e-06,0.0,7.15e-06,3.09e-05,4.1e-05
1918,1.2099999999999998e-06,0.0,7.26e-06,3.1e-05,4.14e-05
1919,1.24e-06,0.0,7.37e-06,3.12e-05,4.19e-05
1920,1.2700000000000001e-06,0.0,7.4700000000000005e-06,3.14e-05,4.25e-05
1921,1.29e-06,0.0,7.59e-06,3.16e-05,4.36e-05
1922,1.31e-06,0.0,7.7e-06,3.18e-05,4.5600000000000004e-05
1923,1.32e-06,0.0,7.820000000000001e-06,3.2e-05,4.81e-05
1924,1.34e-06,0.0,7.93e-06,3.22e-05,5.1200000000000004e-05
1925,1.35e-06,0.0,8.05e-06,3.23e-05,5.4600000000000006e-05
1926,1.37e-06,0.0,8.17e-06,3.2500000000000004e-05,5.83e-05
1927,1.38e-06,0.0,8.279999999999999e-06,3.27e-05,6.19e-05
1928,1.41e-06,0.0,8.39e-06,3.29e-05,6.54e-05
1929,1.43e-06,0.0,8.5e-06,3.31e-05,6.86e-05
1930,1.47e-06,0.0,8.6e-06,3.33e-05,7.14e-05
1931,1.57e-06,2.52e-08,8.68e-06,3.35e-05,7.38e-05
1932,1.81e-06,9.55e-08,8.76e-06,3.36e-05,7.61e-05
1933,2.14e-06,2.03e-07,8.82e-06,3.3799999999999995e-05,7.82e-05
1934,2.55e-06,3.4000000000000003e-07,8.880000000000001e-06,3.4e-05,8.03e-05
1935,3.01e-06,4.979999999999999e-07,8.94e-06,3.4200000000000005e-05,8.24e-05
1936,3.5e-06,6.69e-07,9.01e-06,3.44e-05,8.44e-05
1937,3.99e-06,8.459999999999999e-07,9.090000000000001e-06,3.46e-05,8.649999999999999e-05
1938,4.45e-06,1.02e-06,9.18e-06,3.47e-05,8.86e-05
1939,4.87e-06,1.1800000000000001e-06,9.299999999999999e-06,3.49e-05,9.09e-05
1940,5.21e-06,1.33e-06,9.440000000000001e-06,3.51e-05,9.32e-05
1941,5.49e-06,1.47e-06,9.76e-06,3.53e-05,9.69e-05
1942,5.73e-06,1.6299999999999999e-06,1.0399999999999999e-05,3.5499999999999996e-05,0.000103
1943,5.950000000000001e-06,1.79e-06,1.12e-05,3.57e-05,0.00011
1944,6.1599999999999995e-06,1.96e-06,1.23e-05,3.59e-05,0.00011899999999999999
1945,6.36e-06,2.12e-06,1.34e-05,3.5999999999999994e-05,0.000128
1946,6.570000000000001e-06,2.2799999999999998e-06,1.46e-05,3.6200000000000006e-05,0.00013800000000000002
1947,6.799999999999999e-06,2.41e-06,1.57e-05,3.6400000000000004e-05,0.000147
1948,7.06e-06,2.5300000000000003e-06,1.68e-05,3.66e-05,0.000156
1949,7.36e-06,2.61e-06,1.77e-05,3.68e-05,0.000163
1950,7.72e-06,2.66e-06,1.84e-05,3.7e-05,0.00016800000000000002
1951,8.17e-06,2.68e-06,1.89e-05,3.71e-05,0.00017199999999999998
1952,8.74e-06,2.7e-06,1.93e-05,3.73e-05,0.000178
1953,9.41e-06,2.7200000000000002e-06,1.9699999999999998e-05,3.75e-05,0.000184
1954,1.02e-05,2.7299999999999997e-06,2e-05,3.7699999999999995e-05,0.000191
