year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,7.81e-05
1942,0.000296
1943,0.000629
1944,0.0010500000000000002
1945,0.0015400000000000001
1946,0.00207
1947,0.00262
1948,0.00316
1949,0.00366
1950,0.00411
1951,0.00452
1952,0.004940000000000001
1953,0.00535
1954,0.0057599999999999995
1955,0.00617
1956,0.0065899999999999995
1957,0.007
1958,0.00741
1959,0.00782
1960,0.00824
1961,0.00862
1962,0.008960000000000001
1963,0.009269999999999999
1964,0.00958
1965,0.009890000000000001
1966,0.010199999999999999
1967,0.0107
1968,0.0111
1969,0.011699999999999999
1970,0.0124
1971,0.013699999999999999
1972,0.016
1973,0.019100000000000002
1974,0.0229
1975,0.0272
1976,0.0318
1977,0.0365
1978,0.041100000000000005
1979,0.0455
1980,0.0495
1981,0.0535
1982,0.0581
1983,0.0629
1984,0.0679
1985,0.0726
1986,0.07709999999999999
1987,0.0809
1988,0.0839
1989,0.0859
1990,0.0883
1991,0.0881
1992,0.0895
1993,0.0907
1994,0.09190000000000001
1995,0.165
1996,0.282
1997,0.425
1998,0.54
1999,0.629
2000,0.781
2001,0.94
2002,1.05
2003,1.16
2004,1.25
2005,1.25
2006,1.46
2007,1.75
2008,1.96
2009,1.98
2010,2.16
2011,2.31
2012,2.4
2013,2.49
2014,2.64
2015,2.85
2016,3.03
2017,3.19
2018,3.25
2019,3.26
2020,3.18
2021,3.2
2022,3.11
2023,3.09
