year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.59,0.0,0.219,0.0,1.85
1751,1.6,0.0,0.22,0.0,1.86
1752,1.6,0.0,0.22,0.0,1.86
1753,1.6,0.0,0.221,0.0,1.87
1754,1.61,0.0,0.222,0.0,1.87
1755,1.61,0.0,0.222,0.0,1.88
1756,1.62,0.0,0.223,0.0,1.89
1757,1.62,0.0,0.224,0.0,1.89
1758,1.62,0.0,0.225,0.0,1.9
1759,1.63,0.0,0.225,0.0,1.9
1760,1.63,0.0,0.226,0.0,1.91
1761,1.64,0.0,0.227,0.0,1.92
1762,1.64,0.0,0.227,0.0,1.92
1763,1.64,0.0,0.228,0.0,1.93
1764,1.65,0.0,0.229,0.0,1.93
1765,1.65,0.0,0.23,0.0,1.94
1766,1.66,0.0,0.23,0.0,1.95
1767,1.66,0.0,0.231,0.0,1.95
1768,1.66,0.0,0.232,0.0,1.96
1769,1.67,0.0,0.232,0.0,1.97
1770,1.67,0.0,0.233,0.0,1.97
1771,1.68,0.0,0.234,0.0,1.98
1772,1.68,0.0,0.235,0.0,1.98
1773,1.68,0.0,0.235,0.0,1.99
1774,1.69,0.0,0.236,0.0,2.0
1775,1.69,0.0,0.237,0.0,2.0
1776,1.7,0.0,0.238,0.0,2.01
1777,1.7,0.0,0.238,0.0,2.02
1778,1.7,0.0,0.239,0.0,2.02
1779,1.71,0.0,0.24,0.0,2.03
1780,1.71,0.0,0.241,0.0,2.03
1781,1.72,0.0,0.242,0.0,2.04
1782,1.72,0.0,0.242,0.0,2.05
1783,1.72,0.0,0.243,0.0,2.05
1784,1.73,0.0,0.244,0.0,2.06
1785,1.73,0.0,0.245,0.0,2.07
1786,1.74,0.0,0.245,0.0,2.07
1787,1.74,0.0,0.246,0.0,2.08
1788,1.74,0.0,0.247,0.0,2.09
1789,1.75,0.0,0.248,0.0,2.09
1790,1.75,0.0,0.249,0.0,2.1
1791,1.75,0.0,0.249,0.0,2.11
1792,1.76,0.0,0.25,0.0,2.11
1793,1.76,0.0,0.251,0.0,2.12
1794,1.77,0.0,0.252,0.0,2.13
1795,1.77,0.0,0.253,0.0,2.13
1796,1.77,0.0,0.253,0.0,2.14
1797,1.78,0.0,0.254,0.0,2.15
1798,1.78,0.0,0.255,0.0,2.15
1799,1.79,0.0,0.256,0.0,2.16
