year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,8.91e-08,0.0,4.9899999999999995e-09
1751,0.0,0.0,9.06e-08,7.46e-09,5.07e-09
1752,0.0,0.0,9.21e-08,1.49e-08,5.1599999999999996e-09
1753,0.0,0.0,9.36e-08,2.24e-08,5.24e-09
1754,0.0,0.0,9.51e-08,2.98e-08,5.32e-09
1755,0.0,0.0,9.66e-08,3.7299999999999997e-08,5.41e-09
1756,0.0,0.0,9.81e-08,4.48e-08,5.49e-09
1757,0.0,0.0,9.950000000000001e-08,5.2200000000000004e-08,5.57e-09
1758,0.0,0.0,1.01e-07,5.97e-08,5.66e-09
1759,0.0,0.0,1.03e-07,6.71e-08,5.7400000000000004e-09
1760,0.0,0.0,1.0399999999999999e-07,7.459999999999999e-08,5.82e-09
1761,0.0,0.0,1.06e-07,8.21e-08,5.92e-09
1762,0.0,0.0,1.07e-07,8.949999999999999e-08,6.02e-09
1763,0.0,0.0,1.0900000000000001e-07,9.7e-08,6.11e-09
1764,0.0,0.0,1.11e-07,1.0399999999999999e-07,6.21e-09
1765,0.0,0.0,1.1299999999999999e-07,1.12e-07,6.31e-09
1766,0.0,0.0,1.14e-07,1.1900000000000001e-07,6.41e-09
1767,0.0,0.0,1.16e-07,1.2699999999999999e-07,6.4999999999999995e-09
1768,0.0,0.0,1.18e-07,1.34e-07,6.6e-09
1769,0.0,0.0,1.2000000000000002e-07,1.42e-07,6.7000000000000004e-09
1770,0.0,0.0,1.21e-07,1.49e-07,6.79e-09
1771,0.0,0.0,1.23e-07,1.57e-07,6.9099999999999995e-09
1772,0.0,0.0,1.25e-07,1.64e-07,7.019999999999999e-09
1773,0.0,0.0,1.2699999999999999e-07,1.72e-07,7.13e-09
1774,0.0,0.0,1.29e-07,1.7899999999999997e-07,7.25e-09
1775,0.0,0.0,1.3100000000000002e-07,1.87e-07,7.36e-09
1776,0.0,0.0,1.33e-07,1.94e-07,7.47e-09
1777,0.0,0.0,1.35e-07,2.01e-07,7.59e-09
1778,0.0,0.0,1.38e-07,2.09e-07,7.700000000000001e-09
1779,0.0,0.0,1.3999999999999998e-07,2.16e-07,7.81e-09
1780,0.0,0.0,1.42e-07,2.24e-07,7.93e-09
1781,0.0,0.0,1.44e-07,2.3100000000000002e-07,8.06e-09
1782,0.0,0.0,1.46e-07,2.39e-07,8.19e-09
1783,0.0,0.0,1.49e-07,2.46e-07,8.32e-09
1784,0.0,0.0,1.5100000000000002e-07,2.5399999999999997e-07,8.450000000000001e-09
1785,0.0,0.0,1.53e-07,2.61e-07,8.590000000000001e-09
1786,0.0,0.0,1.56e-07,2.69e-07,8.72e-09
1787,0.0,0.0,1.5799999999999999e-07,2.76e-07,8.85e-09
1788,0.0,0.0,1.6e-07,2.83e-07,8.98e-09
1789,0.0,0.0,1.6300000000000002e-07,2.9100000000000005e-07,9.109999999999999e-09
1790,0.0,0.0,1.65e-07,2.98e-07,9.25e-09
1791,0.0,0.0,1.68e-07,3.06e-07,9.4e-09
1792,0.0,0.0,1.71e-07,3.13e-07,9.55e-09
1793,0.0,0.0,1.73e-07,3.21e-07,9.71e-09
1794,0.0,0.0,1.76e-07,3.28e-07,9.86e-09
1795,0.0,0.0,1.7899999999999997e-07,3.36e-07,1e-08
1796,0.0,0.0,1.8200000000000002e-07,3.43e-07,1.02e-08
1797,0.0,0.0,1.84e-07,3.51e-07,1.03e-08
1798,0.0,0.0,1.87e-07,3.5799999999999995e-07,1.05e-08
1799,0.0,0.0,1.9e-07,3.66e-07,1.06e-08
1800,0.0,0.0,1.93e-07,3.73e-07,1.08e-08
1801,0.0,0.0,1.9599999999999998e-07,3.8e-07,1.1e-08
1802,0.0,0.0,1.9900000000000002e-07,3.88e-07,1.11e-08
1803,0.0,0.0,2.02e-07,3.9500000000000003e-07,1.13e-08
1804,0.0,0.0,2.06e-07,4.03e-07,1.15e-08
1805,0.0,0.0,2.09e-07,4.1e-07,1.17e-08
1806,0.0,0.0,2.12e-07,4.18e-07,1.1899999999999999e-08
1807,0.0,0.0,2.15e-07,4.2499999999999995e-07,1.2e-08
1808,0.0,0.0,2.1800000000000002e-07,4.33e-07,1.22e-08
1809,0.0,0.0,2.22e-07,4.4e-07,1.24e-08
1810,0.0,0.0,2.25e-07,4.48e-07,1.26e-08
