year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.033100000000000004,0.0,0.197,1.32e-18,0.419
1751,0.0332,0.0,0.198,0.00022700000000000002,0.421
1752,0.033299999999999996,0.0,0.199,0.00045400000000000003,0.422
1753,0.0334,0.0,0.199,0.0006810000000000001,0.424
1754,0.0335,0.0,0.2,0.0009080000000000001,0.425
1755,0.0337,0.0,0.201,0.00114,0.427
1756,0.0338,0.0,0.201,0.00136,0.429
1757,0.0339,0.0,0.202,0.00159,0.43
1758,0.034,0.0,0.203,0.00182,0.432
1759,0.0341,0.0,0.204,0.00204,0.433
1760,0.0342,0.0,0.204,0.00227,0.435
1761,0.0343,0.0,0.205,0.0025,0.436
1762,0.0344,0.0,0.206,0.00272,0.438
1763,0.0345,0.0,0.206,0.0029500000000000004,0.439
1764,0.0346,0.0,0.207,0.00318,0.441
1765,0.0347,0.0,0.208,0.0034100000000000003,0.442
1766,0.0348,0.0,0.209,0.00363,0.444
1767,0.0349,0.0,0.209,0.0038599999999999997,0.445
1768,0.035,0.0,0.21,0.00409,0.447
1769,0.0352,0.0,0.211,0.00431,0.448
1770,0.0353,0.0,0.212,0.00454,0.45
1771,0.0354,0.0,0.212,0.00477,0.452
1772,0.0355,0.0,0.213,0.005,0.453
1773,0.0356,0.0,0.214,0.00522,0.455
1774,0.0357,0.0,0.214,0.00545,0.456
1775,0.0358,0.0,0.215,0.005679999999999999,0.458
1776,0.0359,0.0,0.216,0.005900000000000001,0.459
1777,0.036,0.0,0.217,0.00613,0.461
1778,0.0361,0.0,0.217,0.00636,0.462
1779,0.0362,0.0,0.218,0.00658,0.464
1780,0.0363,0.0,0.219,0.006809999999999999,0.465
1781,0.0364,0.0,0.219,0.00704,0.467
1782,0.0365,0.0,0.22,0.0072699999999999996,0.468
1783,0.0366,0.0,0.221,0.00749,0.47
1784,0.0367,0.0,0.222,0.007719999999999999,0.471
1785,0.0368,0.0,0.222,0.00795,0.473
1786,0.036899999999999995,0.0,0.223,0.00817,0.475
1787,0.037,0.0,0.224,0.008400000000000001,0.476
1788,0.0371,0.0,0.224,0.00863,0.478
1789,0.037200000000000004,0.0,0.225,0.00886,0.479
1790,0.0373,0.0,0.226,0.00908,0.481
1791,0.037399999999999996,0.0,0.227,0.00931,0.482
1792,0.0375,0.0,0.227,0.00954,0.484
1793,0.0376,0.0,0.228,0.00976,0.485
1794,0.037700000000000004,0.0,0.229,0.00999,0.487
1795,0.0378,0.0,0.23,0.010199999999999999,0.488
1796,0.037899999999999996,0.0,0.23,0.0104,0.49
1797,0.038,0.0,0.231,0.0107,0.491
1798,0.0381,0.0,0.232,0.0109,0.493
1799,0.038200000000000005,0.0,0.232,0.0111,0.494
1800,0.038299999999999994,0.0,0.233,0.0114,0.496
1801,0.0384,0.0,0.234,0.0116,0.498
1802,0.0385,0.0,0.235,0.011800000000000001,0.499
1803,0.0386,0.0,0.235,0.012,0.501
1804,0.038700000000000005,0.0,0.236,0.0123,0.502
1805,0.038799999999999994,0.0,0.237,0.0125,0.504
1806,0.0389,0.0,0.237,0.0127,0.505
1807,0.039,0.0,0.238,0.0129,0.507
1808,0.0391,0.0,0.239,0.0132,0.508
1809,0.039200000000000006,0.0,0.24,0.0134,0.51
1810,0.039299999999999995,0.0,0.24,0.0136,0.511
1811,0.0394,0.0,0.241,0.013900000000000001,0.513
1812,0.0395,0.0,0.242,0.0141,0.514
1813,0.0395,0.0,0.242,0.0143,0.516
1814,0.0396,0.0,0.243,0.0145,0.517
1815,0.039700000000000006,0.0,0.244,0.0148,0.519
1816,0.039799999999999995,0.0,0.245,0.015,0.52
1817,0.0399,0.0,0.245,0.0152,0.522
1818,0.04,0.0,0.246,0.0154,0.524
1819,0.040100000000000004,0.0,0.247,0.0157,0.525
1820,0.0402,0.0,0.248,0.0159,0.527
1821,0.0409,0.0,0.252,0.0161,0.536
1822,0.0415,0.0,0.256,0.016300000000000002,0.545
1823,0.0422,0.0,0.26,0.0166,0.554
1824,0.0429,0.0,0.265,0.016800000000000002,0.563
1825,0.0435,0.0,0.269,0.017,0.572
1826,0.0442,0.0,0.273,0.0173,0.581
1827,0.044899999999999995,0.0,0.278,0.0175,0.591
1828,0.0455,0.0,0.282,0.0177,0.6
1829,0.046200000000000005,0.0,0.286,0.0179,0.609
1830,0.046799999999999994,0.0,0.29,0.0182,0.618
1831,0.0475,0.0,0.295,0.0184,0.627
1832,0.048100000000000004,0.0,0.299,0.018600000000000002,0.636
1833,0.048799999999999996,0.0,0.303,0.0188,0.645
1834,0.0495,0.0,0.308,0.019100000000000002,0.655
1835,0.0501,0.0,0.312,0.0193,0.664
1836,0.0508,0.0,0.316,0.0195,0.673
1837,0.0514,0.0,0.321,0.0198,0.682
1838,0.052,0.0,0.325,0.02,0.691
1839,0.052700000000000004,0.0,0.329,0.0202,0.7
1840,0.0533,0.0,0.333,0.020399999999999998,0.709
1841,0.054,0.0,0.338,0.0207,0.718
