year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.137,0.204,0.0,0.0,0.0
1751,9.27,0.204,0.0,0.0,0.0
1752,9.28,0.205,0.0,0.0,0.0
1753,9.28,0.205,0.0,0.0,0.0
1754,9.28,0.205,0.0,0.0,0.0
1755,9.28,0.206,0.0,0.0,0.0
1756,9.92,0.216,0.0,0.0,0.0
1757,9.93,0.217,0.0,0.0,0.0
1758,9.93,0.217,0.0,0.0,0.0
1759,9.93,0.217,0.0,0.0,0.0
1760,9.93,0.218,0.0,0.0,0.0
1761,10.9,0.234,0.0,0.0,0.0
1762,10.9,0.234,0.0,0.0,0.0
1763,10.9,0.234,0.0,0.0,0.0
1764,10.9,0.235,0.0,0.0,0.0
1765,10.9,0.235,0.0,0.0,0.0
1766,12.2,0.256,0.0,0.0,0.0
1767,12.2,0.257,0.0,0.0,0.0
1768,12.2,0.257,0.0,0.0,0.0
1769,12.2,0.257,0.0,0.0,0.0
1770,12.2,0.258,0.0,0.0,0.0
1771,13.5,0.28,0.0,0.0,0.0
1772,13.5,0.28,0.0,0.0,0.0
1773,13.5,0.281,0.0,0.0,0.0
1774,13.5,0.281,0.0,0.0,0.0
1775,13.5,0.282,0.0,0.0,0.0
1776,15.0,0.305,0.0,0.0,0.0
1777,15.0,0.305,0.0,0.0,0.0
1778,15.1,0.306,0.0,0.0,0.0
1779,15.1,0.306,0.0,0.0,0.0
1780,15.2,0.307,0.0,0.0,0.0
1781,17.0,0.336,0.0,0.0,0.0
1782,17.1,0.337,0.0,0.0,0.0
1783,17.2,0.337,0.0,0.0,0.0
1784,17.2,0.338,0.0,0.0,0.0
1785,17.3,0.339,0.0,0.0,0.0
1786,19.7,0.376,0.0,0.0,0.0
1787,19.8,0.377,0.0,0.0,0.0
1788,19.8,0.377,0.0,0.0,0.0
1789,19.9,0.378,0.0,0.0,0.0
1790,20.0,0.378,0.0,0.0,0.0
1791,22.4,0.415,0.0,0.0,0.0
1792,22.9,0.462,0.0,0.0,0.0
1793,23.0,0.463,0.0,0.0,0.0
1794,23.1,0.46,0.0,0.0,0.0
1795,23.2,0.461,0.0,0.0,0.0
1796,24.4,0.486,0.0,0.0,0.0
1797,25.6,0.506,0.0,0.0,0.0
1798,26.7,0.525,0.0,0.0,0.0
1799,28.5,0.551,0.0,0.0,0.0
1800,29.9,0.595,0.0,0.0,0.0
1801,29.8,0.572,0.0,0.0,0.0
1802,36.2,1.51,0.0,0.0,0.0
1803,39.5,0.631,0.0,0.0,0.0
1804,40.1,0.909,0.0,0.0,0.0
1805,41.4,0.705,0.0,0.0,0.0
1806,43.0,0.724,0.0,0.0,0.0
1807,44.8,0.94,0.0,0.0,0.0
1808,43.2,0.722,0.0,0.0,0.0
1809,43.2,0.726,0.0,0.0,0.0
1810,43.3,0.956,0.0,0.0,0.0
1811,45.5,0.982,0.0,0.0,0.0
1812,46.9,1.02,0.0,0.0,0.0
1813,47.2,1.01,0.0,0.0,0.0
1814,48.1,1.03,0.0,0.0,0.0
1815,49.4,1.08,0.0,0.0,0.0
1816,53.5,1.28,0.0,0.0,0.0
1817,55.3,1.4,0.0,0.0,0.0
1818,55.5,1.4,0.0,0.0,0.0
1819,55.6,1.46,0.0,0.0,0.0
1820,56.3,1.53,0.0,0.0,0.0
1821,57.0,1.58,0.0,0.0,0.0
1822,59.0,1.63,0.0,0.0,0.0
1823,62.0,1.71,0.0,0.0,0.0
1824,63.9,1.73,0.0,0.0,0.0
1825,66.1,1.9,0.0,0.0,0.0
1826,66.8,1.92,0.0,0.0,0.0
1827,71.1,2.19,0.0,0.0,0.0
1828,71.8,2.23,0.0,0.0,0.0
1829,71.7,2.18,0.0,0.0,0.0
1830,87.9,3.26,0.0,0.0,0.0
1831,83.5,2.95,0.0,0.0,0.0
1832,84.0,2.95,0.0,0.0,0.0
1833,85.7,3.07,0.0,0.0,0.0
1834,87.3,3.31,0.0,0.0,0.0
1835,89.3,3.48,0.0,0.0,0.0
1836,103.0,3.96,0.0,0.0,0.0
1837,103.0,4.16,0.0,0.0,0.0
1838,107.0,4.43,0.0,0.0,0.0
1839,110.0,4.63,0.0,0.0,0.0
1840,117.0,5.08,0.0,0.0,0.0
1841,121.0,5.41,0.0,0.0,0.0
1842,128.0,5.85,0.0,0.0,0.0
