year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0594
1851,0.0594
1852,0.0594
1853,0.0594
1854,0.0594
1855,0.0594
1856,0.0594
1857,0.0594
1858,0.0594
1859,0.0594
1860,0.0594
1861,0.0594
1862,0.0594
1863,0.0594
1864,0.0594
1865,0.0594
1866,0.0594
1867,0.0594
1868,0.0594
1869,0.0594
1870,0.0594
1871,0.0594
1872,0.0594
1873,0.0594
1874,0.0594
1875,0.0594
1876,0.0594
1877,0.0594
1878,0.0594
1879,0.0594
1880,0.0594
1881,0.0594
1882,0.0594
1883,0.0594
1884,0.0595
1885,0.0595
1886,0.0595
1887,0.0595
1888,0.0595
1889,0.0595
1890,0.0595
1891,0.068
1892,0.0917
1893,0.127
1894,0.172
1895,0.224
1896,0.278
1897,0.333
1898,0.385
1899,0.432
1900,0.47
1901,0.502
1902,0.53
1903,0.557
1904,0.582
1905,0.606
1906,0.631
1907,0.656
1908,0.683
1909,0.713
1910,0.746
1911,0.781
1912,0.819
1913,0.859
1914,0.902
1915,0.947
1916,0.994
1917,1.04
1918,1.1
1919,1.15
1920,1.21
1921,1.8
1922,3.32
1923,5.57
1924,8.31
1925,11.4
1926,14.5
1927,17.5
1928,20.1
1929,22.2
1930,23.5
1931,24.1
1932,24.1
1933,23.8
1934,23.2
1935,22.5
1936,21.8
1937,21.2
1938,20.9
1939,20.9
1940,21.4
1941,22.4
1942,23.6
1943,25.0
1944,26.7
1945,28.5
1946,30.4
1947,32.5
1948,34.7
1949,36.9
1950,39.1
1951,41.4
1952,43.9
1953,46.6
1954,49.4
1955,52.4
1956,55.5
1957,58.8
1958,62.1
1959,65.6
1960,69.2
1961,73.1
1962,77.4
1963,82.2
1964,87.2
1965,92.5
1966,97.8
1967,103.0
1968,109.0
1969,114.0
1970,124.0
1971,134.0
1972,141.0
1973,157.0
1974,169.0
1975,162.0
1976,180.0
1977,197.0
1978,208.0
1979,220.0
1980,222.0
1981,222.0
1982,211.0
1983,224.0
1984,246.0
1985,245.0
1986,250.0
1987,263.0
1988,287.0
1989,302.0
1990,300.0
1991,295.0
1992,289.0
1993,285.0
1994,297.0
1995,325.0
1996,351.0
1997,380.0
1998,387.0
1999,407.0
2000,399.0
2001,387.0
2002,412.0
2003,423.0
2004,474.0
2005,514.0
2006,553.0
2007,571.0
2008,597.0
2009,592.0
2010,628.0
2011,655.0
2012,692.0
2013,759.0
2014,829.0
2015,804.0
2016,833.0
2017,868.0
2018,898.0
2019,915.0
2020,938.0
2021,983.0
