year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,1.6,0.0,0.407,0.0,1.4
1751,1.6,0.0,0.406,0.0005290000000000001,1.4
1752,1.6,0.0,0.406,0.00106,1.4
1753,1.6,0.0,0.405,0.00159,1.4
1754,1.59,0.0,0.405,0.00211,1.4
1755,1.59,0.0,0.405,0.00264,1.39
1756,1.59,0.0,0.404,0.00317,1.39
1757,1.59,0.0,0.404,0.0037,1.39
1758,1.58,0.0,0.403,0.00423,1.39
1759,1.58,0.0,0.403,0.0047599999999999995,1.39
1760,1.58,0.0,0.403,0.00529,1.39
1761,1.58,0.0,0.402,0.005809999999999999,1.39
1762,1.57,0.0,0.402,0.00634,1.38
1763,1.57,0.0,0.401,0.00687,1.38
1764,1.57,0.0,0.401,0.0074,1.38
1765,1.57,0.0,0.401,0.00793,1.38
1766,1.56,0.0,0.4,0.00846,1.38
1767,1.56,0.0,0.4,0.00899,1.38
1768,1.56,0.0,0.399,0.009519999999999999,1.38
1769,1.56,0.0,0.399,0.01,1.38
1770,1.55,0.0,0.399,0.0106,1.37
1771,1.55,0.0,0.398,0.0111,1.37
1772,1.55,0.0,0.398,0.0116,1.37
1773,1.55,0.0,0.397,0.012199999999999999,1.37
1774,1.54,0.0,0.397,0.0127,1.37
1775,1.54,0.0,0.397,0.0132,1.37
1776,1.54,0.0,0.396,0.013699999999999999,1.37
1777,1.54,0.0,0.396,0.0143,1.36
1778,1.53,0.0,0.395,0.0148,1.36
1779,1.53,0.0,0.395,0.015300000000000001,1.36
1780,1.53,0.0,0.395,0.0159,1.36
1781,1.53,0.0,0.394,0.016399999999999998,1.36
1782,1.52,0.0,0.394,0.0169,1.36
1783,1.52,0.0,0.393,0.0174,1.36
1784,1.52,0.0,0.393,0.018,1.35
1785,1.52,0.0,0.393,0.0185,1.35
1786,1.51,0.0,0.392,0.019,1.35
1787,1.51,0.0,0.392,0.019600000000000003,1.35
1788,1.51,0.0,0.392,0.0201,1.35
1789,1.51,0.0,0.391,0.0206,1.35
1790,1.5,0.0,0.391,0.0211,1.35
1791,1.5,0.0,0.39,0.0217,1.35
1792,1.5,0.0,0.39,0.0222,1.34
1793,1.5,0.0,0.39,0.022699999999999998,1.34
1794,1.49,0.0,0.389,0.0233,1.34
1795,1.49,0.0,0.389,0.0238,1.34
1796,1.49,0.0,0.388,0.024300000000000002,1.34
1797,1.49,0.0,0.388,0.0248,1.34
1798,1.48,0.0,0.388,0.0254,1.34
1799,1.48,0.0,0.387,0.0259,1.33
1800,1.48,0.0,0.387,0.0264,1.33
1801,1.47,0.0,0.386,0.027,1.33
1802,1.47,0.0,0.386,0.0275,1.33
1803,1.47,0.0,0.386,0.028,1.33
1804,1.47,0.0,0.385,0.0285,1.33
1805,1.46,0.0,0.385,0.0291,1.33
1806,1.46,0.0,0.385,0.0296,1.33
1807,1.46,0.0,0.384,0.030100000000000002,1.32
1808,1.46,0.0,0.384,0.030699999999999998,1.32
1809,1.45,0.0,0.383,0.0312,1.32
1810,1.45,0.0,0.383,0.0317,1.32
1811,1.46,0.0,0.385,0.0322,1.33
1812,1.46,0.0,0.386,0.032799999999999996,1.33
1813,1.46,0.0,0.388,0.033299999999999996,1.34
1814,1.47,0.0,0.389,0.0338,1.34
1815,1.47,0.0,0.391,0.0344,1.35
1816,1.48,0.0,0.392,0.0349,1.35
1817,1.48,0.0,0.394,0.0354,1.36
1818,1.49,0.0,0.395,0.0359,1.36
1819,1.49,0.0,0.397,0.0365,1.37
1820,1.49,0.0,0.398,0.037,1.37
1821,1.5,0.0,0.4,0.0375,1.38
1822,1.5,0.0,0.401,0.0381,1.38
1823,1.51,0.0,0.403,0.0386,1.39
1824,1.51,0.0,0.404,0.0391,1.39
1825,1.52,0.0,0.406,0.0396,1.4
1826,1.52,0.0,0.408,0.0402,1.4
1827,1.52,0.0,0.409,0.0407,1.41
1828,1.53,0.0,0.411,0.0412,1.42
1829,1.53,0.0,0.412,0.0418,1.42
1830,1.54,0.0,0.414,0.0423,1.43
1831,1.54,0.0,0.416,0.0428,1.43
1832,1.55,0.0,0.417,0.0433,1.44
1833,1.55,0.0,0.419,0.0439,1.44
1834,1.55,0.0,0.42,0.0444,1.45
1835,1.56,0.0,0.422,0.044899999999999995,1.45
1836,1.56,0.0,0.424,0.0455,1.46
1837,1.57,0.0,0.425,0.046,1.47
1838,1.57,0.0,0.427,0.0465,1.47
1839,1.58,0.0,0.429,0.047,1.48
1840,1.58,0.0,0.43,0.0476,1.48
1841,1.58,0.0,0.432,0.048100000000000004,1.49
