year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,2.68e-06,0.0,0.0
1751,0.0,0.0,2.68e-06,2.3800000000000001e-07,0.0
1752,0.0,0.0,2.68e-06,4.769999999999999e-07,0.0
1753,0.0,0.0,2.68e-06,7.15e-07,0.0
1754,0.0,0.0,2.68e-06,9.539999999999999e-07,0.0
1755,0.0,0.0,2.68e-06,1.19e-06,0.0
1756,0.0,0.0,2.68e-06,1.43e-06,0.0
1757,0.0,0.0,2.68e-06,1.67e-06,0.0
1758,0.0,0.0,2.68e-06,1.91e-06,0.0
1759,0.0,0.0,2.68e-06,2.15e-06,0.0
1760,0.0,0.0,2.68e-06,2.38e-06,0.0
1761,0.0,0.0,2.68e-06,2.62e-06,0.0
1762,0.0,0.0,2.68e-06,2.86e-06,0.0
1763,0.0,0.0,2.68e-06,3.1e-06,0.0
1764,0.0,0.0,2.68e-06,3.34e-06,0.0
1765,0.0,0.0,2.68e-06,3.58e-06,0.0
1766,0.0,0.0,2.68e-06,3.82e-06,0.0
1767,0.0,0.0,2.68e-06,4.05e-06,0.0
1768,0.0,0.0,2.68e-06,4.2900000000000004e-06,0.0
1769,0.0,0.0,2.68e-06,4.53e-06,0.0
1770,0.0,0.0,2.68e-06,4.77e-06,0.0
1771,0.0,0.0,2.68e-06,5.0099999999999995e-06,0.0
1772,0.0,0.0,2.68e-06,5.2500000000000006e-06,0.0
1773,0.0,0.0,2.68e-06,5.48e-06,0.0
1774,0.0,0.0,2.68e-06,5.72e-06,0.0
1775,0.0,0.0,2.68e-06,5.96e-06,0.0
1776,0.0,0.0,2.68e-06,6.2e-06,0.0
1777,0.0,0.0,2.68e-06,6.44e-06,0.0
1778,0.0,0.0,2.68e-06,6.68e-06,0.0
1779,0.0,0.0,2.68e-06,6.92e-06,0.0
1780,0.0,0.0,2.68e-06,7.15e-06,0.0
1781,0.0,0.0,2.68e-06,7.3899999999999995e-06,0.0
1782,0.0,0.0,2.68e-06,7.63e-06,0.0
1783,0.0,0.0,2.68e-06,7.870000000000001e-06,0.0
1784,0.0,0.0,2.68e-06,8.109999999999999e-06,0.0
1785,0.0,0.0,2.68e-06,8.35e-06,0.0
1786,0.0,0.0,2.68e-06,8.580000000000001e-06,0.0
1787,0.0,0.0,2.69e-06,8.82e-06,0.0
1788,0.0,0.0,2.69e-06,9.06e-06,0.0
1789,0.0,0.0,2.69e-06,9.299999999999999e-06,0.0
1790,0.0,0.0,2.69e-06,9.54e-06,0.0
1791,0.0,0.0,2.69e-06,9.780000000000001e-06,0.0
1792,0.0,0.0,2.69e-06,1e-05,0.0
1793,0.0,0.0,2.69e-06,1.03e-05,0.0
1794,0.0,0.0,2.69e-06,1.0500000000000001e-05,0.0
1795,0.0,0.0,2.69e-06,1.07e-05,0.0
1796,0.0,0.0,2.69e-06,1.1e-05,0.0
1797,0.0,0.0,2.69e-06,1.12e-05,0.0
1798,0.0,0.0,2.69e-06,1.1400000000000001e-05,0.0
1799,0.0,0.0,2.69e-06,1.17e-05,0.0
1800,0.0,0.0,2.69e-06,1.1900000000000001e-05,0.0
1801,0.0,0.0,2.69e-06,1.22e-05,0.0
1802,0.0,0.0,2.69e-06,1.24e-05,0.0
1803,0.0,0.0,2.69e-06,1.26e-05,0.0
1804,0.0,0.0,2.69e-06,1.29e-05,0.0
1805,0.0,0.0,2.69e-06,1.31e-05,0.0
1806,0.0,0.0,2.69e-06,1.34e-05,0.0
1807,0.0,0.0,2.69e-06,1.3599999999999999e-05,0.0
1808,0.0,0.0,2.69e-06,1.38e-05,0.0
1809,0.0,0.0,2.69e-06,1.41e-05,0.0
1810,0.0,0.0,2.69e-06,1.43e-05,0.0
1811,0.0,0.0,2.69e-06,1.45e-05,0.0
1812,0.0,0.0,2.7e-06,1.48e-05,0.0
1813,0.0,0.0,2.7e-06,1.4999999999999999e-05,0.0
1814,0.0,0.0,2.7e-06,1.53e-05,0.0
1815,0.0,0.0,2.7e-06,1.55e-05,0.0
1816,0.0,0.0,2.7e-06,1.57e-05,0.0
1817,0.0,0.0,2.7100000000000003e-06,1.6e-05,0.0
1818,0.0,0.0,2.7100000000000003e-06,1.62e-05,0.0
1819,0.0,0.0,2.7100000000000003e-06,1.65e-05,0.0
1820,0.0,0.0,2.7100000000000003e-06,1.67e-05,0.0
1821,0.0,0.0,2.7200000000000002e-06,1.6899999999999997e-05,0.0
1822,0.0,0.0,2.7200000000000002e-06,1.72e-05,0.0
1823,0.0,0.0,2.7200000000000002e-06,1.74e-05,0.0
1824,0.0,0.0,2.7200000000000002e-06,1.76e-05,0.0
