year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.233,0.0,0.286,4.26e-18,2.98
1751,0.233,0.0,0.286,0.0006770000000000001,2.99
1752,0.234,0.0,0.287,0.00135,2.99
1753,0.234,0.0,0.288,0.0020299999999999997,3.0
1754,0.234,0.0,0.288,0.00271,3.0
1755,0.235,0.0,0.289,0.0033900000000000002,3.01
1756,0.235,0.0,0.289,0.004059999999999999,3.02
1757,0.236,0.0,0.29,0.00474,3.02
1758,0.236,0.0,0.29,0.00542,3.03
1759,0.237,0.0,0.291,0.0060999999999999995,3.03
1760,0.237,0.0,0.292,0.00677,3.04
1761,0.238,0.0,0.292,0.00745,3.04
1762,0.238,0.0,0.293,0.00813,3.05
1763,0.238,0.0,0.293,0.00881,3.06
1764,0.239,0.0,0.294,0.00948,3.06
1765,0.239,0.0,0.294,0.010199999999999999,3.07
1766,0.24,0.0,0.295,0.0108,3.07
1767,0.24,0.0,0.295,0.0115,3.08
1768,0.241,0.0,0.296,0.012199999999999999,3.09
1769,0.241,0.0,0.297,0.0129,3.09
1770,0.242,0.0,0.297,0.0135,3.1
1771,0.242,0.0,0.298,0.014199999999999999,3.1
1772,0.242,0.0,0.298,0.0149,3.11
1773,0.243,0.0,0.299,0.0156,3.11
1774,0.243,0.0,0.299,0.016300000000000002,3.12
1775,0.244,0.0,0.3,0.0169,3.13
1776,0.244,0.0,0.301,0.0176,3.13
1777,0.245,0.0,0.301,0.0183,3.14
1778,0.245,0.0,0.302,0.019,3.14
1779,0.245,0.0,0.302,0.019600000000000003,3.15
1780,0.246,0.0,0.303,0.020300000000000002,3.16
1781,0.246,0.0,0.303,0.021,3.16
1782,0.247,0.0,0.304,0.0217,3.17
1783,0.247,0.0,0.304,0.0224,3.17
1784,0.248,0.0,0.305,0.023,3.18
1785,0.248,0.0,0.306,0.0237,3.18
1786,0.248,0.0,0.306,0.024399999999999998,3.19
1787,0.249,0.0,0.307,0.0251,3.2
1788,0.249,0.0,0.307,0.0257,3.2
1789,0.25,0.0,0.308,0.0264,3.21
1790,0.25,0.0,0.308,0.027100000000000003,3.21
1791,0.251,0.0,0.309,0.027800000000000002,3.22
1792,0.251,0.0,0.31,0.0285,3.23
1793,0.251,0.0,0.31,0.0291,3.23
1794,0.252,0.0,0.311,0.0298,3.24
1795,0.252,0.0,0.311,0.0305,3.24
1796,0.253,0.0,0.312,0.0312,3.25
1797,0.253,0.0,0.312,0.0318,3.26
1798,0.254,0.0,0.313,0.0325,3.26
1799,0.254,0.0,0.313,0.0332,3.27
