year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.175,0.0,0.217,0.0,2.25
1751,0.175,0.0,0.218,0.00123,2.26
1752,0.176,0.0,0.218,0.0024700000000000004,2.26
1753,0.176,0.0,0.219,0.0037,2.27
1754,0.176,0.0,0.219,0.004940000000000001,2.27
1755,0.177,0.0,0.219,0.00617,2.27
1756,0.177,0.0,0.22,0.00741,2.28
1757,0.177,0.0,0.22,0.00864,2.28
1758,0.178,0.0,0.221,0.009869999999999999,2.29
1759,0.178,0.0,0.221,0.0111,2.29
1760,0.178,0.0,0.222,0.0123,2.3
1761,0.179,0.0,0.222,0.0136,2.3
1762,0.179,0.0,0.222,0.0148,2.3
1763,0.179,0.0,0.223,0.016,2.31
1764,0.18,0.0,0.223,0.0173,2.31
1765,0.18,0.0,0.224,0.0185,2.32
1766,0.18,0.0,0.224,0.0197,2.32
1767,0.181,0.0,0.225,0.021,2.33
1768,0.181,0.0,0.225,0.0222,2.33
1769,0.181,0.0,0.225,0.0235,2.34
1770,0.182,0.0,0.226,0.0247,2.34
1771,0.182,0.0,0.226,0.0259,2.34
1772,0.182,0.0,0.227,0.0272,2.35
1773,0.183,0.0,0.227,0.028399999999999998,2.35
1774,0.183,0.0,0.228,0.0296,2.36
1775,0.183,0.0,0.228,0.030899999999999997,2.36
1776,0.184,0.0,0.228,0.032100000000000004,2.37
1777,0.184,0.0,0.229,0.033299999999999996,2.37
1778,0.184,0.0,0.229,0.0346,2.38
1779,0.185,0.0,0.23,0.0358,2.38
1780,0.185,0.0,0.23,0.037,2.38
1781,0.185,0.0,0.231,0.038299999999999994,2.39
1782,0.186,0.0,0.231,0.0395,2.39
1783,0.186,0.0,0.231,0.0407,2.4
1784,0.186,0.0,0.232,0.042,2.4
1785,0.187,0.0,0.232,0.0432,2.41
1786,0.187,0.0,0.233,0.0444,2.41
1787,0.187,0.0,0.233,0.045700000000000005,2.42
1788,0.188,0.0,0.234,0.0469,2.42
1789,0.188,0.0,0.234,0.048100000000000004,2.42
1790,0.188,0.0,0.234,0.0494,2.43
1791,0.189,0.0,0.235,0.0506,2.43
1792,0.189,0.0,0.235,0.0518,2.44
1793,0.189,0.0,0.236,0.0531,2.44
1794,0.19,0.0,0.236,0.054299999999999994,2.45
1795,0.19,0.0,0.236,0.0555,2.45
1796,0.19,0.0,0.237,0.056799999999999996,2.46
1797,0.191,0.0,0.237,0.058,2.46
1798,0.191,0.0,0.238,0.0592,2.46
1799,0.191,0.0,0.238,0.0605,2.47
1800,0.192,0.0,0.239,0.061700000000000005,2.47
1801,0.192,0.0,0.239,0.063,2.48
1802,0.192,0.0,0.239,0.06420000000000001,2.48
1803,0.193,0.0,0.24,0.0654,2.49
1804,0.193,0.0,0.24,0.06670000000000001,2.49
1805,0.193,0.0,0.241,0.0679,2.5
1806,0.193,0.0,0.241,0.0691,2.5
1807,0.194,0.0,0.242,0.0704,2.5
1808,0.194,0.0,0.242,0.0716,2.51
1809,0.194,0.0,0.242,0.0728,2.51
1810,0.195,0.0,0.243,0.0741,2.52
1811,0.195,0.0,0.243,0.07529999999999999,2.52
1812,0.195,0.0,0.244,0.0765,2.53
1813,0.196,0.0,0.244,0.0778,2.53
1814,0.196,0.0,0.245,0.079,2.54
1815,0.196,0.0,0.245,0.08020000000000001,2.54
1816,0.197,0.0,0.245,0.0815,2.54
1817,0.197,0.0,0.246,0.08270000000000001,2.55
1818,0.197,0.0,0.246,0.0839,2.55
1819,0.198,0.0,0.247,0.0852,2.56
1820,0.198,0.0,0.247,0.0864,2.56
1821,0.206,0.0,0.258,0.0876,2.67
1822,0.215,0.0,0.268,0.0889,2.78
1823,0.223,0.0,0.279,0.0901,2.89
1824,0.231,0.0,0.289,0.09129999999999999,2.99
1825,0.24,0.0,0.299,0.09259999999999999,3.1
1826,0.248,0.0,0.31,0.0938,3.21
1827,0.256,0.0,0.32,0.095,3.32
1828,0.265,0.0,0.331,0.0963,3.43
1829,0.273,0.0,0.341,0.0975,3.54
1830,0.281,0.0,0.352,0.0987,3.64
1831,0.29,0.0,0.362,0.1,3.75
1832,0.298,0.0,0.373,0.101,3.86
1833,0.306,0.0,0.383,0.102,3.97
1834,0.314,0.0,0.393,0.104,4.08
1835,0.323,0.0,0.404,0.105,4.19
1836,0.331,0.0,0.414,0.106,4.29
1837,0.339,0.0,0.425,0.107,4.4
1838,0.348,0.0,0.435,0.109,4.51
1839,0.356,0.0,0.446,0.11,4.62
1840,0.364,0.0,0.456,0.111,4.73
1841,0.372,0.0,0.467,0.112,4.83
1842,0.381,0.0,0.477,0.114,4.94
1843,0.389,0.0,0.487,0.115,5.05
1844,0.397,0.0,0.498,0.116,5.16
1845,0.406,0.0,0.508,0.117,5.27
1846,0.414,0.0,0.519,0.118,5.38
1847,0.422,0.0,0.529,0.12,5.48
1848,0.43,0.0,0.54,0.121,5.59
1849,0.439,0.0,0.55,0.122,5.7
1850,0.461,0.0,0.56,0.123,5.85
1851,0.464,0.0,0.57,0.125,5.96
1852,0.467,0.0,0.581,0.126,6.07
1853,0.47,0.0,0.591,0.127,6.18
1854,0.473,0.0,0.602,0.128,6.29
1855,0.476,0.0,0.612,0.13,6.39
1856,0.478,0.0,0.623,0.131,6.5
1857,0.481,0.0,0.633,0.132,6.61
1858,0.484,0.0,0.643,0.133,6.72
1859,0.487,0.0,0.654,0.135,6.83
1860,0.489,0.0,0.664,0.136,6.93
1861,0.492,0.0,0.674,0.137,7.04
1862,0.494,0.0,0.684,0.138,7.15
1863,0.497,0.0,0.694,0.139,7.26
1864,0.5,0.0,0.705,0.141,7.36
1865,0.502,0.0,0.715,0.142,7.47
1866,0.505,0.0,0.725,0.143,7.58
1867,0.507,0.0,0.735,0.144,7.68
1868,0.51,0.0,0.745,0.146,7.79
1869,0.514,0.0,0.755,0.147,7.9
1870,0.517,0.0,0.766,0.148,8.01
1871,0.52,0.0,0.776,0.149,8.12
1872,0.524,0.0,0.787,0.151,8.23
1873,0.528,0.0,0.798,0.152,8.34
1874,0.533,0.0,0.81,0.153,8.46
1875,0.538,0.0,0.821,0.154,8.58
1876,0.542,0.0,0.833,0.156,8.69
1877,0.547,0.0,0.844,0.157,8.81
1878,0.552,0.0,0.856,0.158,8.93
1879,0.556,0.0,0.867,0.159,9.04
1880,0.56,0.0,0.877,0.16,9.15
1881,0.564,0.0,0.888,0.162,9.26
