year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00011300000000000001,0.0011200000000000001,0.0,0.0,0.0
1751,0.000115,0.00113,0.0,0.0,0.0
1752,0.000118,0.00114,0.0,0.0,0.0
1753,0.00011999999999999999,0.00115,0.0,0.0,0.0
1754,0.000122,0.00116,0.0,0.0,0.0
1755,0.000125,0.00117,0.0,0.0,0.0
1756,0.000127,0.0011799999999999998,0.0,0.0,0.0
1757,0.000129,0.0011899999999999999,0.0,0.0,0.0
1758,0.000131,0.0011899999999999999,0.0,0.0,0.0
1759,0.000134,0.0012,0.0,0.0,0.0
1760,0.000136,0.00121,0.0,0.0,0.0
1761,0.00013900000000000002,0.00122,0.0,0.0,0.0
1762,0.00014099999999999998,0.00123,0.0,0.0,0.0
1763,0.00014399999999999998,0.00124,0.0,0.0,0.0
1764,0.000147,0.00125,0.0,0.0,0.0
1765,0.000149,0.00126,0.0,0.0,0.0
1766,0.000152,0.00127,0.0,0.0,0.0
1767,0.000155,0.00128,0.0,0.0,0.0
1768,0.000158,0.0012900000000000001,0.0,0.0,0.0
1769,0.00016,0.0013,0.0,0.0,0.0
1770,0.000163,0.00131,0.0,0.0,0.0
1771,0.000166,0.00132,0.0,0.0,0.0
1772,0.00017,0.00133,0.0,0.0,0.0
1773,0.00017299999999999998,0.00134,0.0,0.0,0.0
1774,0.000176,0.00135,0.0,0.0,0.0
1775,0.000179,0.00136,0.0,0.0,0.0
1776,0.000183,0.0013700000000000001,0.0,0.0,0.0
1777,0.048299999999999996,0.00138,0.0,0.0,0.0
1778,0.09820000000000001,0.00139,0.0,0.0,0.0
1779,0.15,0.0014,0.0,0.0,0.0
1780,0.203,0.00141,0.0,0.0,0.0
1781,0.261,0.0014199999999999998,0.0,0.0,0.0
1782,0.322,0.0014299999999999998,0.0,0.0,0.0
1783,0.385,0.0014399999999999999,0.0,0.0,0.0
1784,0.452,0.00145,0.0,0.0,0.0
1785,0.521,0.00146,0.0,0.0,0.0
1786,0.593,0.00147,0.0,0.0,0.0
1787,0.669,0.00148,0.0,0.0,0.0
1788,0.747,0.00149,0.0,0.0,0.0
1789,0.827,0.0015,0.0,0.0,0.0
1790,0.911,0.00152,0.0,0.0,0.0
1791,0.998,0.0015300000000000001,0.0,0.0,0.0
1792,1.55,0.0474,0.0,0.0,0.0
1793,1.65,0.0485,0.0,0.0,0.0
1794,1.71,0.044899999999999995,0.0,0.0,0.0
1795,1.81,0.0453,0.0,0.0,0.0
1796,2.0,0.053899999999999997,0.0,0.0,0.0
1797,2.12,0.055299999999999995,0.0,0.0,0.0
1798,2.25,0.0579,0.0,0.0,0.0
1799,2.41,0.0629,0.0,0.0,0.0
1800,3.1,0.0868,0.0,0.0,0.0
1801,2.99,0.0621,0.0,0.0,0.0
1802,9.34,1.0,0.0,0.0,0.0
1803,9.3,0.0624,0.0,0.0,0.0
1804,9.73,0.337,0.0,0.0,0.0
1805,9.87,0.114,0.0,0.0,0.0
1806,9.71,0.103,0.0,0.0,0.0
1807,11.5,0.317,0.0,0.0,0.0
1808,9.8,0.0987,0.0,0.0,0.0
1809,9.8,0.101,0.0,0.0,0.0
1810,9.92,0.33,0.0,0.0,0.0
1811,9.83,0.319,0.0,0.0,0.0
1812,9.84,0.332,0.0,0.0,0.0
1813,9.59,0.311,0.0,0.0,0.0
1814,9.74,0.317,0.0,0.0,0.0
1815,10.2,0.359,0.0,0.0,0.0
1816,11.8,0.51,0.0,0.0,0.0
1817,13.0,0.625,0.0,0.0,0.0
1818,13.1,0.614,0.0,0.0,0.0
1819,12.8,0.672,0.0,0.0,0.0
1820,13.3,0.741,0.0,0.0,0.0
1821,13.7,0.775,0.0,0.0,0.0
1822,14.0,0.805,0.0,0.0,0.0
1823,14.7,0.845,0.0,0.0,0.0
1824,14.3,0.818,0.0,0.0,0.0
1825,15.9,0.974,0.0,0.0,0.0
1826,15.8,0.986,0.0,0.0,0.0
1827,17.9,1.22,0.0,0.0,0.0
1828,18.1,1.25,0.0,0.0,0.0
1829,16.9,1.14,0.0,0.0,0.0
1830,18.5,1.99,0.0,0.0,0.0
1831,16.0,1.72,0.0,0.0,0.0
1832,15.9,1.72,0.0,0.0,0.0
1833,17.2,1.83,0.0,0.0,0.0
1834,18.9,2.07,0.0,0.0,0.0
1835,20.2,2.17,0.0,0.0,0.0
1836,22.8,2.45,0.0,0.0,0.0
1837,24.8,2.66,0.0,0.0,0.0
1838,26.3,2.83,0.0,0.0,0.0
1839,27.4,3.01,0.0,0.0,0.0
1840,31.1,3.39,0.0,0.0,0.0
1841,33.4,3.65,0.0,0.0,0.0
1842,36.0,3.98,0.0,0.0,0.0
1843,34.8,3.79,0.0,0.0,0.0
1844,37.4,4.14,0.0,0.0,0.0
1845,42.6,4.68,0.0,0.0,0.0
1846,47.6,5.66,0.0,0.0,0.0
1847,51.7,6.23,0.0,0.0,0.0
1848,46.0,5.67,0.0,0.0,0.0
1849,47.5,5.83,0.0,0.0,0.0
1850,52.4,6.29,0.0,0.0,0.0
1851,55.8,6.62,0.0,0.0,0.0
1852,62.6,7.44,0.0,0.0,0.0
1853,69.2,8.27,0.0,0.0,0.0
1854,79.9,9.7,0.0,0.0,0.0
1855,88.2,10.4,0.0,0.0,0.0
1856,93.7,11.1,0.0,0.0,0.0
1857,97.7,11.7,0.0,0.0,0.0
1858,103.0,12.4,0.0,0.0,0.0
1859,101.0,12.2,0.0,0.0,0.0
1860,109.0,13.3,0.0,0.0,0.0
1861,120.0,14.8,0.0,0.0,0.0
1862,130.0,16.0,0.0,0.0,0.0
1863,136.0,16.2,0.0,0.0,0.0
1864,147.0,17.2,0.0,0.0,0.0
1865,159.0,18.5,0.0,0.0,0.0
1866,164.0,18.8,0.0,0.0,0.0
1867,176.0,20.1,0.0,0.0,0.0
1868,184.0,21.3,0.0,0.0,0.0
1869,192.0,22.1,0.0,0.0,0.0
1870,193.0,22.7,0.0,0.0,0.0
1871,206.0,24.3,0.0,0.0,0.0
1872,229.0,27.2,0.0,0.0,0.0
1873,245.0,29.0,0.0,0.0,0.0
1874,214.0,25.5,0.0,0.0,0.0
1875,248.0,29.5,0.0,0.0,0.0
1876,259.0,31.6,0.0,0.0,0.0
1877,253.0,30.9,0.0,0.0,0.0
1878,261.0,31.4,0.0,0.0,0.0
1879,276.0,33.3,0.0,0.0,0.0
1880,319.0,41.2,0.0,0.0,0.0
1881,320.0,39.1,0.0,0.0,0.0
1882,339.0,41.6,0.0,0.0,0.0
1883,362.0,44.4,0.0,0.0,0.0
1884,366.0,45.0,0.0,0.0,0.0
