year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,7.43e-08
1922,2.76e-07
1923,5.730000000000001e-07
1924,9.340000000000001e-07
1925,1.33e-06
1926,1.72e-06
1927,2.08e-06
1928,2.38e-06
1929,2.58e-06
1930,2.65e-06
1931,2.5899999999999998e-06
1932,2.43e-06
1933,2.19e-06
1934,1.9e-06
1935,1.5800000000000001e-06
1936,1.26e-06
1937,9.73e-07
1938,7.32e-07
1939,5.69e-07
1940,5.09e-07
1941,5.2e-07
1942,5.490000000000001e-07
1943,5.94e-07
1944,6.54e-07
1945,7.26e-07
1946,8.06e-07
1947,8.94e-07
1948,9.849999999999999e-07
1949,1.08e-06
1950,1.17e-06
1951,1.2700000000000001e-06
1952,1.38e-06
1953,1.5e-06
1954,1.64e-06
1955,1.79e-06
1956,1.94e-06
1957,2.12e-06
1958,2.3e-06
1959,2.49e-06
1960,2.7e-06
1961,2.94e-06
1962,3.22e-06
1963,3.54e-06
1964,3.9e-06
1965,4.3e-06
1966,4.74e-06
1967,5.199999999999999e-06
1968,5.7000000000000005e-06
1969,6.22e-06
1970,6.7699999999999996e-06
1971,7.41e-06
1972,8.18e-06
1973,9.07e-06
1974,1e-05
1975,1.11e-05
1976,1.22e-05
1977,1.32e-05
1978,1.43e-05
1979,1.53e-05
1980,1.62e-05
1981,1.7100000000000002e-05
1982,1.7899999999999998e-05
1983,1.88e-05
1984,1.96e-05
1985,2.04e-05
1986,2.13e-05
1987,2.22e-05
1988,2.3199999999999998e-05
1989,2.42e-05
1990,2.41e-05
1991,3.95e-05
1992,5.57e-05
1993,0.000231
1994,0.09659999999999999
1995,0.178
1996,0.275
1997,0.39
1998,0.515
1999,0.627
2000,0.826
2001,0.911
2002,1.02
2003,1.13
2004,1.25
2005,1.34
2006,1.52
2007,1.56
2008,1.6
2009,1.59
2010,1.57
2011,1.55
2012,1.56
2013,1.54
2014,1.5
2015,1.42
2016,1.35
2017,1.27
2018,1.21
2019,1.15
2020,1.08
2021,0.991
2022,0.907
2023,0.829
2024,0.746
