year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1.33e-07
1851,1.33e-07
1852,1.33e-07
1853,1.33e-07
1854,1.33e-07
1855,1.33e-07
1856,1.33e-07
1857,1.33e-07
1858,1.33e-07
1859,1.33e-07
1860,1.33e-07
1861,1.33e-07
1862,1.33e-07
1863,1.33e-07
1864,1.33e-07
1865,1.33e-07
1866,1.33e-07
1867,1.33e-07
1868,1.33e-07
1869,1.33e-07
1870,1.33e-07
1871,1.33e-07
1872,1.33e-07
1873,1.33e-07
1874,1.33e-07
1875,1.33e-07
1876,1.33e-07
1877,1.33e-07
1878,1.33e-07
1879,1.33e-07
1880,1.33e-07
1881,1.33e-07
1882,1.33e-07
1883,1.34e-07
1884,1.34e-07
1885,1.34e-07
1886,1.34e-07
1887,1.34e-07
1888,1.34e-07
1889,1.34e-07
1890,1.34e-07
1891,1.53e-07
1892,2.06e-07
1893,2.86e-07
1894,3.8699999999999996e-07
1895,5.019999999999999e-07
1896,6.25e-07
1897,7.48e-07
1898,8.65e-07
1899,9.7e-07
1900,1.06e-06
1901,1.13e-06
1902,1.19e-06
1903,1.25e-06
1904,1.31e-06
1905,1.3600000000000001e-06
1906,1.42e-06
1907,1.47e-06
1908,1.53e-06
1909,1.6000000000000001e-06
1910,1.67e-06
1911,1.75e-06
1912,1.84e-06
1913,1.93e-06
1914,2.03e-06
1915,2.13e-06
1916,2.2300000000000002e-06
1917,2.34e-06
1918,2.4599999999999997e-06
1919,2.58e-06
1920,2.7100000000000003e-06
1921,3.28e-06
1922,4.6499999999999995e-06
1923,6.66e-06
1924,9.15e-06
1925,1.2e-05
1926,1.4999999999999999e-05
1927,1.7999999999999997e-05
1928,2.09e-05
1929,2.35e-05
1930,2.57e-05
1931,2.76e-05
1932,2.94e-05
1933,3.11e-05
1934,3.2800000000000004e-05
1935,3.4500000000000005e-05
1936,3.61e-05
1937,3.78e-05
1938,3.9399999999999995e-05
1939,4.1099999999999996e-05
1940,4.29e-05
1941,4.4699999999999996e-05
1942,4.66e-05
1943,4.85e-05
1944,5.05e-05
1945,5.2699999999999993e-05
1946,5.49e-05
1947,5.73e-05
1948,5.99e-05
1949,6.26e-05
1950,6.55e-05
1951,6.86e-05
1952,7.199999999999999e-05
1953,7.580000000000001e-05
1954,7.97e-05
1955,8.39e-05
1956,8.83e-05
1957,9.279999999999999e-05
1958,9.75e-05
1959,0.000102
1960,0.000107
1961,0.000112
1962,0.00011899999999999999
1963,0.000125
1964,0.000132
1965,0.00013900000000000002
1966,0.000146
1967,0.000153
1968,0.00015900000000000002
1969,0.000164
1970,0.00016800000000000002
1971,0.00017199999999999998
1972,0.000175
1973,0.000179
1974,0.000182
1975,0.000185
1976,0.000188
1977,0.000191
1978,0.000194
1979,0.000195
1980,0.00019700000000000002
1981,0.00019800000000000002
1982,0.00019800000000000002
1983,0.00019700000000000002
1984,0.00019600000000000002
1985,0.000195
1986,0.000194
1987,0.000193
1988,0.000192
1989,0.000192
1990,0.000192
1991,0.00022
1992,0.00026000000000000003
1993,0.000342
1994,0.000709
1995,0.00128
1996,0.00145
1997,0.00151
1998,0.0016
1999,0.0042699999999999995
2000,0.00265
2001,0.00312
2002,0.0024700000000000004
2003,0.00272
2004,0.0024500000000000004
2005,0.00304
2006,0.00331
2007,0.00248
2008,0.00225
2009,0.00268
2010,0.00217
2011,0.0025099999999999996
2012,0.00314
2013,0.00387
2014,0.0035
2015,0.0011899999999999999
2016,0.00123
2017,0.00135
2018,0.00145
2019,0.00163
2020,0.00136
2021,0.00147
2022,0.00101
