year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00307
1851,0.00307
1852,0.00307
1853,0.00307
1854,0.00307
1855,0.00307
1856,0.00307
1857,0.00307
1858,0.00307
1859,0.00307
1860,0.00307
1861,0.00307
1862,0.00307
1863,0.00307
1864,0.00307
1865,0.00307
1866,0.00307
1867,0.00307
1868,0.00307
1869,0.00307
1870,0.00307
1871,0.00307
1872,0.00307
1873,0.00307
1874,0.00307
1875,0.00307
1876,0.00307
1877,0.00307
1878,0.00307
1879,0.00307
1880,0.00307
1881,0.00307
1882,0.00307
1883,0.00307
1884,0.0030800000000000003
1885,0.0030800000000000003
1886,0.0030800000000000003
1887,0.0030800000000000003
1888,0.0030800000000000003
1889,0.0030800000000000003
1890,0.0030800000000000003
1891,0.00352
1892,0.00474
1893,0.0065899999999999995
1894,0.008919999999999999
1895,0.0116
1896,0.0144
1897,0.0172
1898,0.019899999999999998
1899,0.0223
1900,0.024300000000000002
1901,0.0259
1902,0.027399999999999997
1903,0.0288
1904,0.030100000000000002
1905,0.0314
1906,0.032600000000000004
1907,0.0339
1908,0.0354
1909,0.036899999999999995
1910,0.0386
1911,0.0404
1912,0.0424
1913,0.0444
1914,0.0466
1915,0.049
1916,0.0514
1917,0.054
1918,0.056600000000000004
1919,0.0594
1920,0.0624
1921,0.09090000000000001
1922,0.164
1923,0.271
1924,0.403
1925,0.549
1926,0.699
1927,0.843
1928,0.971
1929,1.07
1930,1.14
1931,1.17
1932,1.18
1933,1.17
1934,1.15
1935,1.12
1936,1.09
1937,1.07
1938,1.06
1939,1.06
1940,1.09
1941,1.14
1942,1.19
1943,1.26
1944,1.33
1945,1.4
1946,1.48
1947,1.57
1948,1.66
1949,1.76
1950,1.85
1951,1.96
1952,2.07
1953,2.19
1954,2.32
1955,2.46
1956,2.6
1957,2.75
1958,2.9
1959,3.07
1960,3.23
1961,3.41
1962,3.62
1963,3.84
1964,4.09
1965,4.34
1966,4.59
1967,4.85
1968,5.1
1969,5.33
1970,5.56
1971,5.8
1972,6.1
1973,6.45
1974,6.82
1975,7.21
1976,7.62
1977,8.02
1978,8.4
1979,8.76
1980,9.09
1981,9.39
1982,9.68
1983,9.96
1984,10.2
1985,10.5
1986,10.8
1987,11.0
1988,11.3
1989,11.5
1990,10.2
1991,10.5
1992,10.0
1993,8.65
1994,7.51
1995,6.58
1996,7.55
1997,8.31
1998,9.14
1999,10.5
2000,10.5
2001,10.9
2002,13.1
2003,14.0
2004,14.3
2005,14.3
2006,15.2
2007,15.6
2008,16.3
2009,16.1
2010,16.8
2011,17.3
2012,17.5
2013,17.2
2014,17.0
2015,16.7
2016,16.6
2017,16.0
2018,14.4
2019,12.6
2020,11.2
2021,10.1
2022,9.11
2023,8.27
2024,7.04
