year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0031
1851,0.0031
1852,0.0031
1853,0.0031
1854,0.0031
1855,0.0031
1856,0.0031
1857,0.0031
1858,0.0031
1859,0.0031
1860,0.0031
1861,0.0031
1862,0.0031
1863,0.0031
1864,0.0031
1865,0.0031
1866,0.0031
1867,0.0031
1868,0.0031
1869,0.0031
1870,0.0031
1871,0.0031
1872,0.0031
1873,0.0031
1874,0.0031
1875,0.0031
1876,0.0031
1877,0.0031
1878,0.0031
1879,0.0031
1880,0.0031
1881,0.0031
1882,0.0031
1883,0.0031
1884,0.0031
1885,0.0031
1886,0.0031
1887,0.0031
1888,0.0031
1889,0.0031
1890,0.0031
1891,0.0035499999999999998
1892,0.00478
1893,0.0066500000000000005
1894,0.00899
1895,0.011699999999999999
1896,0.0145
1897,0.0174
1898,0.0201
1899,0.0225
1900,0.0245
1901,0.026199999999999998
1902,0.027600000000000003
1903,0.029
1904,0.0303
1905,0.0316
1906,0.0329
1907,0.0342
1908,0.0356
1909,0.037200000000000004
1910,0.0389
1911,0.0407
1912,0.0427
1913,0.0448
1914,0.047
1915,0.0494
1916,0.0518
1917,0.0544
1918,0.0571
1919,0.0599
1920,0.0629
1921,0.0762
1922,0.108
1923,0.155
1924,0.212
1925,0.278
1926,0.348
1927,0.418
1928,0.486
1929,0.547
1930,0.598
1931,0.641
1932,0.683
1933,0.723
1934,0.762
1935,0.801
1936,0.839
1937,0.877
1938,0.916
1939,0.955
1940,0.996
1941,1.04
1942,1.08
1943,1.13
1944,1.17
1945,1.22
1946,1.28
1947,1.33
1948,1.39
1949,1.45
1950,1.52
1951,1.59
1952,1.67
1953,1.76
1954,1.85
1955,1.95
1956,2.05
1957,2.15
1958,2.26
1959,2.37
1960,2.49
1961,2.61
1962,2.75
1963,2.91
1964,3.07
1965,3.23
1966,3.39
1967,3.54
1968,3.68
1969,3.8
1970,3.9
1971,3.98
1972,4.07
1973,4.15
1974,4.23
1975,4.31
1976,4.38
1977,4.44
1978,4.49
1979,4.54
1980,4.57
1981,4.59
1982,4.59
1983,4.58
1984,4.56
1985,4.53
1986,4.5
1987,4.48
1988,4.46
1989,4.46
1990,4.32
1991,4.0
1992,4.07
1993,3.98
1994,3.55
1995,2.59
1996,2.35
1997,2.42
1998,2.84
1999,3.55
2000,2.51
2001,2.22
2002,3.5
2003,3.25
2004,2.22
2005,1.48
2006,1.23
2007,0.992
2008,0.656
2009,0.473
2010,0.523
2011,0.656
2012,0.67
2013,0.57
2014,0.524
2015,0.456
2016,0.566
2017,0.601
2018,0.577
2019,0.524
2020,0.463
2021,0.383
2022,0.453
