year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000959
1851,0.000959
1852,0.000959
1853,0.000959
1854,0.000959
1855,0.000959
1856,0.000959
1857,0.000959
1858,0.000959
1859,0.000959
1860,0.000959
1861,0.000959
1862,0.000959
1863,0.000959
1864,0.000959
1865,0.0009599999999999999
1866,0.0009599999999999999
1867,0.0009599999999999999
1868,0.0009599999999999999
1869,0.0009599999999999999
1870,0.0009599999999999999
1871,0.0009599999999999999
1872,0.0009599999999999999
1873,0.0009599999999999999
1874,0.0009599999999999999
1875,0.0009599999999999999
1876,0.0009599999999999999
1877,0.0009599999999999999
1878,0.0009599999999999999
1879,0.0009599999999999999
1880,0.0009599999999999999
1881,0.0009599999999999999
1882,0.0009599999999999999
1883,0.0009599999999999999
1884,0.0009599999999999999
1885,0.0009599999999999999
1886,0.0009599999999999999
1887,0.0009609999999999999
1888,0.0009609999999999999
1889,0.0009609999999999999
1890,0.0009609999999999999
1891,0.0011
1892,0.00148
1893,0.00206
1894,0.00279
1895,0.00361
1896,0.00449
1897,0.00538
1898,0.00622
1899,0.00698
1900,0.0076
1901,0.0081
1902,0.00856
1903,0.00899
1904,0.00939
1905,0.009789999999999998
1906,0.010199999999999999
1907,0.0106
1908,0.011
1909,0.0115
1910,0.012
1911,0.0126
1912,0.0132
1913,0.013900000000000001
1914,0.0146
1915,0.015300000000000001
1916,0.0161
1917,0.0169
1918,0.0177
1919,0.018600000000000002
1920,0.0195
1921,0.053
1922,0.142
1923,0.274
1924,0.435
1925,0.61
1926,0.787
1927,0.951
1928,1.09
1929,1.19
1930,1.23
1931,1.22
1932,1.17
1933,1.09
1934,0.986
1935,0.873
1936,0.759
1937,0.656
1938,0.573
1939,0.521
1940,0.51
1941,0.528
1942,0.556
1943,0.593
1944,0.638
1945,0.689
1946,0.745
1947,0.805
1948,0.868
1949,0.932
1950,0.997
1951,1.06
1952,1.14
1953,1.22
1954,1.31
1955,1.4
1956,1.5
1957,1.61
1958,1.72
1959,1.84
1960,1.96
1961,2.1
1962,2.26
1963,2.43
1964,2.63
1965,2.84
1966,3.06
1967,3.29
1968,3.53
1969,3.78
1970,4.03
1971,4.33
1972,4.69
1973,5.11
1974,5.57
1975,6.07
1976,6.58
1977,7.09
1978,7.59
1979,8.07
1980,8.5
1981,8.91
1982,9.31
1983,9.71
1984,10.1
1985,10.5
1986,10.9
1987,11.3
1988,11.7
1989,12.2
1990,12.5
1991,12.8
1992,12.7
1993,13.0
1994,13.7
1995,14.6
1996,15.2
1997,16.6
1998,14.1
1999,8.51
2000,7.6
2001,7.72
2002,8.05
2003,8.48
2004,7.6
2005,8.1
2006,8.58
2007,8.75
2008,8.85
2009,9.05
2010,9.65
2011,10.1
2012,10.3
2013,10.4
2014,9.92
2015,9.78
2016,9.55
2017,9.24
2018,8.75
2019,8.17
2020,7.37
2021,6.89
2022,6.37
2023,5.7
