year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.14,0.0,0.121,9.95e-18,0.469
1751,0.141,0.0,0.121,0.00115,0.471
1752,0.141,0.0,0.122,0.00229,0.473
1753,0.142,0.0,0.122,0.00344,0.475
1754,0.142,0.0,0.123,0.00458,0.476
1755,0.143,0.0,0.123,0.005730000000000001,0.478
1756,0.143,0.0,0.123,0.00687,0.48
1757,0.144,0.0,0.124,0.00802,0.482
1758,0.144,0.0,0.124,0.00916,0.483
1759,0.145,0.0,0.125,0.0103,0.485
1760,0.145,0.0,0.125,0.0115,0.487
1761,0.146,0.0,0.126,0.0126,0.489
1762,0.146,0.0,0.126,0.013699999999999999,0.49
1763,0.147,0.0,0.127,0.0149,0.492
1764,0.147,0.0,0.127,0.016,0.494
1765,0.148,0.0,0.128,0.0172,0.496
1766,0.148,0.0,0.128,0.0183,0.498
1767,0.149,0.0,0.128,0.0195,0.499
1768,0.15,0.0,0.129,0.0206,0.501
1769,0.15,0.0,0.129,0.0218,0.503
1770,0.151,0.0,0.13,0.0229,0.505
1771,0.151,0.0,0.13,0.024,0.507
1772,0.152,0.0,0.131,0.0252,0.509
1773,0.152,0.0,0.131,0.0263,0.511
1774,0.153,0.0,0.132,0.0275,0.512
1775,0.153,0.0,0.132,0.0286,0.514
1776,0.154,0.0,0.133,0.0298,0.516
1777,0.155,0.0,0.133,0.030899999999999997,0.518
1778,0.155,0.0,0.134,0.032100000000000004,0.52
1779,0.156,0.0,0.134,0.0332,0.522
1780,0.156,0.0,0.135,0.0344,0.524
1781,0.157,0.0,0.135,0.0355,0.526
1782,0.157,0.0,0.136,0.0366,0.527
1783,0.158,0.0,0.136,0.0378,0.529
1784,0.158,0.0,0.137,0.0389,0.531
1785,0.159,0.0,0.137,0.040100000000000004,0.533
1786,0.16,0.0,0.138,0.0412,0.535
1787,0.16,0.0,0.138,0.0424,0.537
1788,0.161,0.0,0.139,0.0435,0.539
1789,0.161,0.0,0.139,0.044700000000000004,0.541
1790,0.162,0.0,0.14,0.0458,0.543
1791,0.162,0.0,0.14,0.0469,0.545
1792,0.163,0.0,0.141,0.048100000000000004,0.547
1793,0.163,0.0,0.141,0.0492,0.549
1794,0.164,0.0,0.142,0.0504,0.551
1795,0.165,0.0,0.142,0.0515,0.553
1796,0.165,0.0,0.143,0.052700000000000004,0.555
1797,0.166,0.0,0.143,0.0538,0.557
1798,0.166,0.0,0.144,0.055,0.559
1799,0.167,0.0,0.144,0.056100000000000004,0.561
1800,0.167,0.0,0.145,0.0573,0.563
1801,0.168,0.0,0.145,0.0584,0.565
1802,0.168,0.0,0.146,0.0595,0.567
1803,0.169,0.0,0.146,0.060700000000000004,0.569
1804,0.17,0.0,0.147,0.061799999999999994,0.571
1805,0.17,0.0,0.148,0.063,0.574
1806,0.171,0.0,0.148,0.06409999999999999,0.576
1807,0.171,0.0,0.149,0.0653,0.578
1808,0.172,0.0,0.149,0.0664,0.58
1809,0.172,0.0,0.15,0.0676,0.582
1810,0.173,0.0,0.15,0.0687,0.584
1811,0.173,0.0,0.15,0.0698,0.585
1812,0.173,0.0,0.151,0.071,0.585
1813,0.173,0.0,0.151,0.0721,0.586
1814,0.174,0.0,0.151,0.0733,0.587
1815,0.174,0.0,0.151,0.07440000000000001,0.588
1816,0.174,0.0,0.151,0.0756,0.588
1817,0.174,0.0,0.152,0.0767,0.589
1818,0.174,0.0,0.152,0.07790000000000001,0.59
1819,0.174,0.0,0.152,0.079,0.591
1820,0.174,0.0,0.152,0.08020000000000001,0.591
1821,0.175,0.0,0.152,0.0813,0.592
1822,0.175,0.0,0.152,0.0824,0.593
1823,0.175,0.0,0.153,0.0836,0.594
1824,0.175,0.0,0.153,0.0847,0.594
1825,0.175,0.0,0.153,0.0859,0.595
1826,0.175,0.0,0.153,0.087,0.596
1827,0.175,0.0,0.153,0.0882,0.597
1828,0.175,0.0,0.154,0.08929999999999999,0.597
1829,0.176,0.0,0.154,0.0905,0.598
1830,0.176,8.15e-05,0.154,0.0916,0.599
1831,0.176,9.65e-05,0.154,0.0927,0.6
1832,0.176,6.36e-05,0.154,0.09390000000000001,0.6
1833,0.176,7.85e-05,0.155,0.095,0.601
1834,0.176,0.0,0.155,0.09620000000000001,0.602
1835,0.176,0.0,0.155,0.0973,0.603
1836,0.177,0.0,0.155,0.0985,0.603
1837,0.177,0.0,0.155,0.0996,0.604
1838,0.177,0.0,0.156,0.101,0.605
1839,0.177,0.0,0.156,0.102,0.606
1840,0.177,0.0,0.156,0.103,0.606
1841,0.177,0.0,0.156,0.104,0.607
1842,0.177,0.0,0.156,0.105,0.608
1843,0.177,0.0,0.157,0.106,0.609
1844,0.178,0.0,0.157,0.108,0.609
1845,0.178,0.0,0.157,0.109,0.61
1846,0.178,0.0,0.157,0.11,0.611
1847,0.178,0.0,0.157,0.111,0.612
1848,0.178,0.0,0.158,0.112,0.613
1849,0.178,0.0,0.158,0.113,0.613
1850,0.178,0.000426,0.158,0.115,0.678
1851,0.181,0.0,0.158,0.116,0.68
1852,0.184,0.0,0.158,0.117,0.683
1853,0.187,0.0,0.159,0.118,0.685
1854,0.19,0.0,0.159,0.119,0.687
1855,0.193,0.00122,0.159,0.12,0.689
1856,0.196,0.0,0.159,0.121,0.691
1857,0.2,0.0,0.16,0.123,0.693
1858,0.203,0.00165,0.16,0.124,0.694
1859,0.205,0.00173,0.16,0.125,0.696
1860,0.208,0.0022299999999999998,0.16,0.126,0.697
1861,0.211,0.00285,0.162,0.127,0.702
1862,0.213,0.0025499999999999997,0.163,0.128,0.706
1863,0.215,0.00265,0.164,0.129,0.711
1864,0.219,0.0029500000000000004,0.165,0.131,0.716
1865,0.223,0.0028,0.166,0.132,0.721
1866,0.23,0.00903,0.168,0.133,0.725
1867,0.235,0.0103,0.169,0.134,0.73
