year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,9.000000000000001e-08
1922,3.34e-07
1923,6.95e-07
1924,1.13e-06
1925,1.61e-06
1926,2.08e-06
1927,2.52e-06
1928,2.8800000000000004e-06
1929,3.13e-06
1930,3.22e-06
1931,3.14e-06
1932,2.95e-06
1933,2.65e-06
1934,2.3e-06
1935,1.9200000000000003e-06
1936,1.53e-06
1937,1.1800000000000001e-06
1938,8.869999999999999e-07
1939,6.9e-07
1940,6.170000000000001e-07
1941,6.3e-07
1942,6.65e-07
1943,7.200000000000001e-07
1944,7.93e-07
1945,8.79e-07
1946,9.77e-07
1947,1.08e-06
1948,1.19e-06
1949,1.31e-06
1950,1.42e-06
1951,1.5399999999999999e-06
1952,1.67e-06
1953,1.82e-06
1954,1.99e-06
1955,2.16e-06
1956,2.3600000000000003e-06
1957,2.56e-06
1958,2.78e-06
1959,3.0200000000000003e-06
1960,3.27e-06
1961,3.56e-06
1962,3.9e-06
1963,4.2900000000000004e-06
1964,4.73e-06
1965,5.21e-06
1966,5.74e-06
1967,6.31e-06
1968,6.910000000000001e-06
1969,7.54e-06
1970,8.200000000000001e-06
1971,8.97e-06
1972,9.92e-06
1973,1.1e-05
1974,1.22e-05
1975,1.34e-05
1976,1.47e-05
1977,1.6e-05
1978,1.73e-05
1979,1.85e-05
1980,1.9699999999999998e-05
1981,2.07e-05
1982,2.17e-05
1983,2.2700000000000003e-05
1984,2.37e-05
1985,2.48e-05
1986,2.58e-05
1987,2.69e-05
1988,2.81e-05
1989,2.93e-05
1990,2.93e-05
1991,0.000191
1992,0.000303
1993,0.000491
1994,0.00115
1995,0.00198
1996,0.00311
1997,0.00429
1998,0.00583
1999,0.008490000000000001
2000,0.0154
2001,0.0211
2002,0.0265
2003,0.0327
2004,0.039
2005,0.0637
2006,0.279
2007,0.323
2008,0.217
2009,0.546
2010,0.568
2011,0.557
2012,0.603
2013,0.774
2014,0.698
2015,0.74
2016,0.875
2017,0.788
2018,0.86
2019,1.08
2020,1.07
2021,1.08
2022,1.12
2023,1.2
2024,1.19
