year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.121,0.0,0.316,0.0,0.496
1751,0.121,0.0,0.315,0.000275,0.495
1752,0.121,0.0,0.314,0.000549,0.495
1753,0.12,0.0,0.314,0.000824,0.494
1754,0.12,0.0,0.313,0.0011,0.493
1755,0.12,0.0,0.313,0.0013700000000000001,0.492
1756,0.12,0.0,0.312,0.00165,0.491
1757,0.119,0.0,0.311,0.0019199999999999998,0.49
1758,0.119,0.0,0.311,0.0022,0.489
1759,0.119,0.0,0.31,0.0024700000000000004,0.488
1760,0.118,0.0,0.31,0.00275,0.487
1761,0.118,0.0,0.309,0.00302,0.486
1762,0.118,0.0,0.308,0.0033,0.485
1763,0.118,0.0,0.308,0.00357,0.484
1764,0.117,0.0,0.307,0.00385,0.483
1765,0.117,0.0,0.306,0.00412,0.482
1766,0.117,0.0,0.306,0.0044,0.481
1767,0.117,0.0,0.305,0.00467,0.48
1768,0.116,0.0,0.305,0.004940000000000001,0.479
1769,0.116,0.0,0.304,0.00522,0.478
1770,0.116,0.0,0.303,0.00549,0.477
1771,0.116,0.0,0.303,0.00577,0.476
1772,0.115,0.0,0.302,0.00604,0.475
1773,0.115,0.0,0.302,0.00632,0.474
1774,0.115,0.0,0.301,0.0065899999999999995,0.473
1775,0.115,0.0,0.3,0.00687,0.473
1776,0.114,0.0,0.3,0.00714,0.472
1777,0.114,0.0,0.299,0.0074199999999999995,0.471
1778,0.114,0.0,0.299,0.007690000000000001,0.47
1779,0.114,0.0,0.298,0.00797,0.469
1780,0.113,0.0,0.297,0.00824,0.468
1781,0.113,0.0,0.297,0.00852,0.467
1782,0.113,0.0,0.296,0.00879,0.466
1783,0.112,0.0,0.296,0.00906,0.465
1784,0.112,0.0,0.295,0.00934,0.464
1785,0.112,0.0,0.295,0.009609999999999999,0.463
1786,0.112,0.0,0.294,0.009890000000000001,0.462
1787,0.111,0.0,0.293,0.010199999999999999,0.461
1788,0.111,0.0,0.293,0.0104,0.46
1789,0.111,0.0,0.292,0.0107,0.46
1790,0.111,0.0,0.292,0.011,0.459
1791,0.11,0.0,0.291,0.011300000000000001,0.458
1792,0.11,0.0,0.291,0.0115,0.457
1793,0.11,0.0,0.29,0.011800000000000001,0.456
