year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.000128
1851,0.000128
1852,0.000128
1853,0.000128
1854,0.000128
1855,0.000128
1856,0.000128
1857,0.000128
1858,0.000128
1859,0.000128
1860,0.000128
1861,0.000128
1862,0.000128
1863,0.000128
1864,0.000128
1865,0.000128
1866,0.000128
1867,0.000128
1868,0.000128
1869,0.000128
1870,0.000128
1871,0.000128
1872,0.000128
1873,0.000128
1874,0.000128
1875,0.000128
1876,0.000128
1877,0.000128
1878,0.000128
1879,0.000128
1880,0.000128
1881,0.000128
1882,0.000128
1883,0.000128
1884,0.000128
1885,0.000128
1886,0.000128
1887,0.000128
1888,0.000128
1889,0.000128
1890,0.000128
1891,0.000146
1892,0.00019700000000000002
1893,0.00027400000000000005
1894,0.000371
1895,0.000481
1896,0.000598
1897,0.000717
1898,0.000829
1899,0.000929
1900,0.00101
1901,0.00108
1902,0.00114
1903,0.0012
1904,0.00125
1905,0.0013
1906,0.00136
1907,0.00141
1908,0.00147
1909,0.0015300000000000001
1910,0.0016
1911,0.0016799999999999999
1912,0.00176
1913,0.00185
1914,0.0019399999999999999
1915,0.00204
1916,0.00214
1917,0.0022400000000000002
1918,0.0023599999999999997
1919,0.0024700000000000004
1920,0.00259
1921,0.00315
1922,0.0044599999999999996
1923,0.00638
1924,0.00876
1925,0.0115
1926,0.0143
1927,0.0173
1928,0.02
1929,0.0225
1930,0.0246
1931,0.0264
1932,0.0282
1933,0.0298
1934,0.0314
1935,0.033
1936,0.0346
1937,0.0362
1938,0.0378
1939,0.0394
1940,0.041100000000000005
1941,0.0428
1942,0.0446
1943,0.0465
1944,0.0484
1945,0.0505
1946,0.0526
1947,0.0549
1948,0.0573
1949,0.0599
1950,0.0627
1951,0.06570000000000001
1952,0.069
1953,0.0726
1954,0.07640000000000001
1955,0.0804
1956,0.0845
1957,0.0889
1958,0.09340000000000001
1959,0.098
1960,0.103
1961,0.108
1962,0.114
1963,0.12
1964,0.127
1965,0.133
1966,0.14
1967,0.146
1968,0.152
1969,0.157
1970,0.161
1971,0.164
1972,0.168
1973,0.171
1974,0.174
1975,0.178
1976,0.181
1977,0.183
1978,0.185
1979,0.187
1980,0.189
1981,0.189
1982,0.189
1983,0.189
1984,0.188
1985,0.187
1986,0.186
1987,0.185
1988,0.184
1989,0.184
1990,0.142
1991,0.143
1992,0.14
1993,0.0843
1994,0.0525
1995,0.0469
1996,0.040100000000000004
1997,0.0938
1998,0.116
1999,0.0787
2000,0.09140000000000001
2001,0.0629
2002,0.06609999999999999
2003,0.0669
2004,0.0659
2005,0.0686
2006,0.0655
2007,0.07740000000000001
2008,0.08929999999999999
2009,0.0688
2010,0.0974
2011,0.0831
2012,0.111
2013,0.13
2014,0.101
2015,0.0897
2016,0.101
2017,0.0943
2018,0.101
2019,0.103
2020,0.111
2021,0.0923
2022,0.0725
2023,0.0755
