year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00133,0.0,0.00332,0.0,0.00396
1751,0.00134,0.0,0.00335,0.0,0.0039900000000000005
1752,0.00135,0.0,0.00337,0.0,0.004019999999999999
1753,0.00136,0.0,0.0034,0.0,0.004059999999999999
1754,0.0013700000000000001,0.0,0.0034300000000000003,0.0,0.00409
1755,0.00138,0.0,0.0034500000000000004,0.0,0.00412
1756,0.00139,0.0,0.00348,0.0,0.00415
1757,0.0014,0.0,0.0035099999999999997,0.0,0.00419
1758,0.00141,0.0,0.00354,0.0,0.00422
1759,0.0014199999999999998,0.0,0.0035600000000000002,0.0,0.00425
1760,0.0014299999999999998,0.0,0.00359,0.0,0.00428
1761,0.00145,0.0,0.00362,0.0,0.00432
1762,0.00146,0.0,0.00365,0.0,0.00435
1763,0.00147,0.0,0.00368,0.0,0.00439
1764,0.00148,0.0,0.0037099999999999998,0.0,0.00442
1765,0.00149,0.0,0.0037400000000000003,0.0,0.0044599999999999996
1766,0.0015,0.0,0.00377,0.0,0.00449
1767,0.00151,0.0,0.0038,0.0,0.00453
1768,0.00152,0.0,0.00383,0.0,0.00456
1769,0.0015300000000000001,0.0,0.0038599999999999997,0.0,0.0046
1770,0.0015400000000000001,0.0,0.0038799999999999998,0.0,0.00463
1771,0.00156,0.0,0.00392,0.0,0.00467
1772,0.00157,0.0,0.00395,0.0,0.00471
1773,0.00158,0.0,0.00398,0.0,0.00475
1774,0.00159,0.0,0.00401,0.0,0.00479
1775,0.0016,0.0,0.00404,0.0,0.0048200000000000005
1776,0.00161,0.0,0.00408,0.0,0.004860000000000001
1777,0.00163,0.0,0.00411,0.0,0.004900000000000001
1778,0.00164,0.0,0.00414,0.0,0.004940000000000001
1779,0.00165,0.0,0.00417,0.0,0.00498
1780,0.00166,0.0,0.004200000000000001,0.0,0.00501
1781,0.0016699999999999998,0.0,0.00424,0.0,0.00505
1782,0.0016899999999999999,0.0,0.0042699999999999995,0.0,0.0050999999999999995
1783,0.0017,0.0,0.00431,0.0,0.00514
1784,0.00171,0.0,0.00434,0.0,0.00518
1785,0.00172,0.0,0.00438,0.0,0.00522
1786,0.00174,0.0,0.00441,0.0,0.00526
1787,0.00175,0.0,0.00444,0.0,0.0053
1788,0.00176,0.0,0.0044800000000000005,0.0,0.00534
1789,0.00177,0.0,0.00451,0.0,0.00538
1790,0.0017900000000000001,0.0,0.00455,0.0,0.00542
1791,0.0018,0.0,0.00458,0.0,0.00547
1792,0.00181,0.0,0.00462,0.0,0.00551
1793,0.00183,0.0,0.00466,0.0,0.00556
1794,0.00184,0.0,0.0047,0.0,0.0056
1795,0.00185,0.0,0.004730000000000001,0.0,0.0056500000000000005
1796,0.0018700000000000001,0.0,0.00477,0.0,0.005690000000000001
1797,0.00188,0.0,0.00481,0.0,0.00574
1798,0.00189,0.0,0.004849999999999999,0.0,0.00578
1799,0.00191,0.0,0.00488,0.0,0.0058200000000000005
1800,0.0019199999999999998,0.0,0.00492,0.0,0.00587
1801,0.0019299999999999999,0.0,0.00496,0.0,0.00592
1802,0.00195,0.0,0.005,0.0,0.00597
1803,0.00196,0.0,0.00504,0.0,0.00601
1804,0.00198,0.0,0.00508,0.0,0.006059999999999999
1805,0.00199,0.0,0.00512,0.0,0.00611
1806,0.0020099999999999996,0.0,0.0051600000000000005,0.0,0.0061600000000000005
1807,0.00202,0.0,0.0052,0.0,0.00621
1808,0.0020299999999999997,0.0,0.00524,0.0,0.00625
1809,0.0020499999999999997,0.0,0.00528,0.0,0.0063
1810,0.00206,0.0,0.00532,0.0,0.00635
1811,0.00207,0.0,0.00534,0.0,0.00637
1812,0.00207,0.0,0.00536,0.0,0.00639
1813,0.0020800000000000003,0.0,0.00538,0.0,0.00641
1814,0.0020800000000000003,0.0,0.00539,0.0,0.00643
1815,0.00209,0.0,0.00541,0.0,0.00646
1816,0.00209,0.0,0.00543,0.0,0.0064800000000000005
1817,0.0021000000000000003,0.0,0.00545,0.0,0.0065
1818,0.0021000000000000003,0.0,0.00547,0.0,0.00652
1819,0.00211,0.0,0.0054800000000000005,0.0,0.00654
1820,0.00211,0.0,0.0055,0.0,0.00656
1821,0.00212,0.0,0.00552,0.0,0.00658
1822,0.00212,0.0,0.00554,0.0,0.00661
1823,0.00213,0.0,0.00556,0.0,0.00663
1824,0.00213,0.0,0.00557,0.0,0.0066500000000000005
1825,0.00214,0.0,0.0055899999999999995,0.0,0.00667
1826,0.00214,0.0,0.00561,0.0,0.006690000000000001
1827,0.00215,0.0,0.00563,0.0,0.00671
1828,0.00215,0.0,0.0056500000000000005,0.0,0.00674
1829,0.00216,0.0,0.00567,0.0,0.0067599999999999995
1830,0.00216,0.0,0.005679999999999999,0.0,0.0067800000000000004
1831,0.00217,0.0,0.0057,0.0,0.0068
1832,0.00217,0.0,0.005719999999999999,0.0,0.00683
1833,0.00218,0.0,0.00574,0.0,0.006849999999999999
1834,0.00218,0.0,0.0057599999999999995,0.0,0.00687
1835,0.00219,0.0,0.00578,0.0,0.006889999999999999
1836,0.00219,0.0,0.0058,0.0,0.00692
1837,0.0022,0.0,0.0058200000000000005,0.0,0.00694
1838,0.0022,0.0,0.00584,0.0,0.00696
1839,0.00221,0.0,0.005849999999999999,0.0,0.00698
1840,0.00221,0.0,0.00587,0.0,0.00701
1841,0.00222,0.0,0.005889999999999999,0.0,0.007030000000000001
1842,0.00222,0.0,0.00591,0.0,0.00705
1843,0.0022299999999999998,0.0,0.0059299999999999995,0.0,0.00708
1844,0.0022299999999999998,0.0,0.00595,0.0,0.0070999999999999995
1845,0.0022400000000000002,0.0,0.00597,0.0,0.0071200000000000005
1846,0.0022400000000000002,0.0,0.0059900000000000005,0.0,0.00715
1847,0.00225,0.0,0.00601,0.0,0.00717
1848,0.00225,0.0,0.006030000000000001,0.0,0.00719
1849,0.00226,0.0,0.00605,0.0,0.00722
1850,0.00226,0.0,0.00607,0.0,0.00731
1851,0.0022,0.0,0.00609,0.0,0.00733
1852,0.00215,0.0,0.00611,0.0,0.00736
1853,0.00215,0.0,0.00613,0.0,0.00739
1854,0.00215,0.0,0.00615,0.0,0.00741
1855,0.00214,0.0,0.00618,0.0,0.00744
1856,0.0022,0.0,0.0062,0.0,0.00746
1857,0.00226,0.0,0.00622,0.0,0.00749
1858,0.00232,0.0,0.00624,0.0,0.00751
1859,0.0023799999999999997,0.0,0.00626,0.0,0.00754
1860,0.0024500000000000004,0.0,0.00628,0.0,0.00756
1861,0.00249,0.0,0.0063,0.0,0.0075899999999999995
1862,0.00252,0.0,0.00632,0.0,0.0076100000000000004
1863,0.00256,0.0,0.00634,0.0,0.00764
1864,0.0026,0.0,0.00637,0.0,0.00766
1865,0.0026,0.0,0.00639,0.0,0.007690000000000001
1866,0.00261,0.0,0.00641,0.0,0.007719999999999999
1867,0.00261,0.0,0.00643,0.0,0.00774
1868,0.00261,0.0,0.00645,0.0,0.00777
1869,0.0026,0.0,0.00647,0.0,0.00779
1870,0.00259,0.0,0.00649,0.0,0.00782
1871,0.0026,0.0,0.00652,0.0,0.00785
1872,0.0026,0.0,0.006549999999999999,0.0,0.00788
1873,0.00261,0.0,0.00657,0.0,0.00791
1874,0.00262,0.0,0.0066,0.0,0.007940000000000001
1875,0.00262,0.0,0.00664,0.0,0.007980000000000001
1876,0.00262,0.0,0.00667,0.0,0.00801
1877,0.00262,0.0,0.0067,0.0,0.008039999999999999
1878,0.00262,0.0,0.006730000000000001,0.0,0.00808
1879,0.00262,0.0,0.0067599999999999995,0.0,0.00811
1880,0.00261,0.0,0.0067800000000000004,0.0,0.008140000000000001
1881,0.00261,0.0,0.006809999999999999,0.0,0.00817
1882,0.00266,0.0,0.00683,0.0,0.00819
1883,0.00269,0.0,0.006860000000000001,0.0,0.00822
1884,0.00268,0.0,0.00688,0.0,0.00825
1885,0.00266,0.0,0.006900000000000001,0.0,0.00828
1886,0.00264,0.0,0.0069299999999999995,0.0,0.00831
1887,0.00263,0.0,0.0069500000000000004,0.0,0.00834
1888,0.00262,0.0,0.00698,0.0,0.008369999999999999
1889,0.00263,0.0,0.007,0.0,0.00839
1890,0.00271,0.0,0.007019999999999999,0.0,0.008490000000000001
1891,0.00271,0.0,0.00705,0.0,0.00853
1892,0.00273,0.0,0.00707,0.0,0.00856
1893,0.00276,0.0,0.0070999999999999995,0.0,0.0086
1894,0.00278,0.0,0.00713,0.0,0.00864
1895,0.0028,0.0,0.00715,0.0,0.00868
1896,0.00282,0.0,0.00718,0.0,0.00873
1897,0.00283,0.0,0.0072,0.0,0.00878
1898,0.0028599999999999997,0.0,0.00723,0.0,0.00882
1899,0.0028799999999999997,0.0,0.00725,0.0,0.00887
1900,0.00281,0.0,0.00728,0.0,0.008919999999999999
1901,0.00282,0.0,0.00731,0.0,0.00898
1902,0.00282,0.0,0.00734,0.0,0.00906
1903,0.00282,0.0,0.00736,0.0,0.00914
1904,0.00283,0.0,0.00739,0.0,0.00923
1905,0.00283,0.0,0.0074199999999999995,0.0,0.00933
1906,0.00283,0.0,0.00745,0.0,0.00942
1907,0.00283,0.0,0.0074800000000000005,0.0,0.00951
1908,0.00283,0.0,0.00751,0.0,0.00959
1909,0.0028399999999999996,0.0,0.00754,0.0,0.00966
1910,0.0028399999999999996,0.0,0.00757,0.0,0.009710000000000002
1911,0.00282,0.0,0.00757,0.0,0.009720000000000001
1912,0.00281,0.0,0.00758,0.0,0.00973
1913,0.00279,0.0,0.00758,0.0,0.00974
1914,0.00276,0.0,0.0075899999999999995,0.0,0.00976
1915,0.00272,0.0,0.0076,0.0,0.00977
1916,0.00268,0.0,0.0076,0.0,0.00977
1917,0.00264,0.0,0.0076100000000000004,0.0,0.009779999999999999
1918,0.00261,0.0,0.0076100000000000004,0.0,0.009789999999999998
1919,0.00257,0.0,0.00762,0.0,0.009789999999999998
1920,0.0025299999999999997,0.0,0.00762,0.0,0.009800000000000001
1921,0.0025,1.4499999999999999e-06,0.00763,0.0,0.009800000000000001
1922,0.0025,5.4e-06,0.00764,0.0,0.009789999999999998
1923,0.00249,1.12e-05,0.00764,0.0,0.009789999999999998
1924,0.0024700000000000004,1.83e-05,0.0076500000000000005,0.0,0.009779999999999999
1925,0.0024500000000000004,2.59e-05,0.0076500000000000005,0.0,0.00977
1926,0.0024500000000000004,3.36e-05,0.00766,0.0,0.00975
1927,0.00244,4.07e-05,0.00767,0.0,0.00974
1928,0.0024500000000000004,4.65e-05,0.00767,0.0,0.00974
1929,0.0024500000000000004,5.04e-05,0.007679999999999999,0.0,0.00973
1930,0.00246,5.19e-05,0.007679999999999999,0.0,0.00973
1931,0.00248,5.07e-05,0.007690000000000001,0.0,0.00974
1932,0.0024700000000000004,4.75e-05,0.007690000000000001,0.0,0.00976
1933,0.0024700000000000004,4.28e-05,0.0077,0.0,0.009779999999999999
1934,0.0024500000000000004,3.71e-05,0.0077,0.0,0.009810000000000001
1935,0.0024300000000000003,3.09e-05,0.00771,0.0,0.00984
1936,0.00242,2.47e-05,0.00771,0.0,0.009980000000000001
1937,0.0024,1.9e-05,0.00771,0.0,0.0101
1938,0.0024,1.43e-05,0.007719999999999999,0.0,0.0103
1939,0.00242,1.11e-05,0.007730000000000001,0.0,0.0104
1940,0.00242,9.96e-06,0.007730000000000001,0.0,0.0106
1941,0.0024100000000000002,1.02e-05,0.00783,0.0,0.0107
1942,0.0024100000000000002,1.07e-05,0.00793,0.0,0.011
1943,0.00235,1.1599999999999999e-05,0.00805,0.0,0.011300000000000001
1944,0.00233,1.2800000000000001e-05,0.00817,0.0,0.0116
1945,0.00222,1.4200000000000001e-05,0.00865,0.0,0.012
1946,0.00215,1.58e-05,0.009130000000000001,0.0,0.0124
1947,0.0020800000000000003,1.7500000000000002e-05,0.00962,0.0,0.0127
1948,0.00199,1.93e-05,0.0101,0.0,0.013099999999999999
1949,0.00191,2.11e-05,0.0106,0.0,0.0134
1950,0.00875,2.29e-05,0.0111,0.0,0.0136
1951,0.0121,2.49e-05,0.0116,0.0,0.013800000000000002
1952,0.012,2.7e-05,0.012199999999999999,0.0,0.014199999999999999
1953,0.0119,2.94e-05,0.0128,0.0,0.0146
1954,0.011800000000000001,3.2099999999999994e-05,0.0135,0.0,0.0152
1955,0.0116,3.49e-05,0.0143,0.0,0.0158
1956,0.0115,3.8e-05,0.0152,0.0,0.016399999999999998
1957,0.0114,4.14e-05,0.0161,0.0,0.0171
1958,0.0147,4.49e-05,0.017,0.0,0.0177
1959,0.0146,4.87e-05,0.018,0.0,0.0183
1960,0.0214,5.28e-05,0.0189,0.0,0.0188
1961,0.0178,5.74e-05,0.019899999999999998,0.0,0.0178
1962,0.0246,6.28e-05,0.0208,0.0,0.0162
1963,0.014199999999999999,6.890000000000001e-05,0.0218,0.0,0.0183
1964,0.021,7.59e-05,0.022699999999999998,0.0,0.0182
1965,0.021,8.350000000000001e-05,0.0235,0.0,0.018699999999999998
1966,0.027899999999999998,9.17e-05,0.024399999999999998,0.0,0.019100000000000002
1967,0.0348,0.000101,0.0252,0.0,0.0182
1968,0.038200000000000005,0.00011,0.026,0.0,0.0188
1969,0.0451,0.00011999999999999999,0.026699999999999998,0.0,0.0176
1970,0.0416,0.000131,0.0261,0.0,0.018600000000000002
1971,0.0451,0.00014299999999999998,0.0286,0.0,0.0189
1972,0.0451,0.000158,0.0286,0.0,0.0169
1973,0.052,0.000175,0.0286,0.0,0.0177
1974,0.0347,0.000194,0.0286,0.0,0.0167
1975,0.0451,0.000214,0.0285,0.0,0.015099999999999999
1976,0.0451,0.000235,0.028399999999999998,0.0,0.0177
1977,0.0451,0.000255,0.028300000000000002,0.0,0.0192
1978,0.048600000000000004,0.00027600000000000004,0.028,0.0,0.021
1979,0.0451,0.00029499999999999996,0.027899999999999998,0.0,0.021
1980,0.0451,0.000314,0.028,0.0,0.020399999999999998
1981,0.055600000000000004,0.000331,0.0285,0.0,0.020300000000000002
1982,0.059,0.000347,0.0292,0.0,0.02
1983,0.059,0.000363,0.030100000000000002,0.0,0.019399999999999997
1984,0.0591,0.000379,0.030899999999999997,0.0,0.0184
1985,0.0591,0.00039600000000000003,0.0315,0.0,0.0171
1986,0.0626,0.000412,0.0317,0.0,0.0158
1987,0.0696,0.00043,0.0316,0.0,0.0149
1988,0.09040000000000001,0.000449,0.0312,0.0,0.0145
1989,0.0973,0.00046899999999999996,0.030899999999999997,0.0,0.0146
1990,0.101,0.000491,0.030699999999999998,0.0,0.0147
1991,0.105,0.000531,0.031,0.0,0.0146
1992,0.112,0.000603,0.0312,0.0,0.0146
1993,0.115,0.0007,0.0315,0.0,0.0147
1994,0.136,0.0008169999999999999,0.032,0.0,0.0149
1995,0.148,0.000948,0.032600000000000004,0.0,0.015099999999999999
1996,0.157,0.00109,0.033100000000000004,0.0,0.0149
1997,0.179,0.00123,0.0337,0.0,0.0148
1998,0.192,0.00138,0.0346,0.0,0.0146
1999,0.219,0.00151,0.0352,0.0,0.0149
2000,0.213,0.00151,0.0349,0.0,0.0143
2001,0.221,0.00337,0.0354,0.0,0.0145
2002,0.23,0.00538,0.036,0.0,0.0147
2003,0.24,0.0075899999999999995,0.0368,0.0,0.0149
2004,0.237,0.00942,0.0354,0.0,0.0143
2005,0.248,0.0119,0.0363,0.0,0.0145
2006,0.26,0.017,0.037,0.0,0.0149
2007,0.268,0.022699999999999998,0.037700000000000004,0.0,0.015099999999999999
2008,0.283,0.0286,0.0381,0.0,0.0155
2009,0.283,0.0337,0.036899999999999995,0.0,0.015099999999999999
2010,0.294,0.0405,0.0371,0.0,0.015300000000000001
2011,0.279,0.0442,0.0356,0.0,0.0147
2012,0.295,0.052899999999999996,0.038,0.0,0.0156
2013,0.32,0.0644,0.0417,0.0,0.0172
2014,0.285,0.064,0.0376,0.0,0.0155
2015,0.303,0.0734,0.0391,0.0,0.0162
2016,0.312,0.08009999999999999,0.039700000000000006,0.0,0.0161
2017,0.325,0.0868,0.040299999999999996,0.0,0.0162
2018,0.358,0.0935,0.0409,0.0,0.0162
2019,0.384,0.1,0.0415,0.0,0.016399999999999998
2020,0.336,0.107,0.0421,0.0,0.016399999999999998
2021,0.34,0.114,0.0426,0.0,0.016300000000000002
2022,0.344,0.12,0.0433,0.0,0.0162
2023,0.348,0.127,0.0439,0.0,0.0162
2024,0.363,0.134,0.0444,0.0,0.0161
