year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0429,0.0,0.0385,5.69e-18,0.163
1751,0.0433,0.0,0.038799999999999994,0.000431,0.164
1752,0.0436,0.0,0.0391,0.0008629999999999999,0.165
1753,0.0439,0.0,0.0394,0.0012900000000000001,0.167
1754,0.0443,0.0,0.039799999999999995,0.00173,0.168
1755,0.0446,0.0,0.040100000000000004,0.00216,0.169
1756,0.044899999999999995,0.0,0.0404,0.00259,0.171
1757,0.0453,0.0,0.0407,0.00302,0.172
1758,0.0456,0.0,0.041,0.0034500000000000004,0.173
1759,0.045899999999999996,0.0,0.041299999999999996,0.0038799999999999998,0.175
1760,0.046299999999999994,0.0,0.0416,0.00431,0.176
1761,0.0466,0.0,0.042,0.00475,0.177
1762,0.047,0.0,0.0423,0.00518,0.179
1763,0.0474,0.0,0.0427,0.00561,0.18
1764,0.047700000000000006,0.0,0.043,0.00604,0.182
1765,0.048100000000000004,0.0,0.0434,0.00647,0.183
1766,0.0484,0.0,0.0437,0.006900000000000001,0.185
1767,0.048799999999999996,0.0,0.044,0.00733,0.186
1768,0.049100000000000005,0.0,0.0444,0.00777,0.188
1769,0.0495,0.0,0.044700000000000004,0.008199999999999999,0.189
1770,0.0498,0.0,0.0451,0.00863,0.19
1771,0.0502,0.0,0.045399999999999996,0.00906,0.192
1772,0.0506,0.0,0.0458,0.00949,0.194
1773,0.051,0.0,0.046200000000000005,0.00992,0.195
1774,0.0514,0.0,0.0465,0.0104,0.197
1775,0.0518,0.0,0.0469,0.0108,0.198
1776,0.0521,0.0,0.047299999999999995,0.0112,0.2
1777,0.0525,0.0,0.0476,0.0116,0.201
1778,0.052899999999999996,0.0,0.048,0.0121,0.203
1779,0.0533,0.0,0.0484,0.0125,0.205
1780,0.053700000000000005,0.0,0.048799999999999996,0.0129,0.206
1781,0.0541,0.0,0.0492,0.0134,0.208
1782,0.0545,0.0,0.0496,0.013800000000000002,0.209
1783,0.0549,0.0,0.05,0.014199999999999999,0.211
1784,0.055299999999999995,0.0,0.0504,0.0147,0.213
1785,0.0557,0.0,0.0508,0.015099999999999999,0.215
1786,0.056100000000000004,0.0,0.0512,0.0155,0.216
1787,0.0565,0.0,0.0516,0.016,0.218
1788,0.0569,0.0,0.052,0.016399999999999998,0.22
1789,0.0574,0.0,0.052399999999999995,0.016800000000000002,0.221
1790,0.0578,0.0,0.052700000000000004,0.0173,0.223
1791,0.0582,0.0,0.053200000000000004,0.0177,0.225
1792,0.0586,0.0,0.0536,0.0181,0.227
1793,0.0591,0.0,0.054,0.018600000000000002,0.228
1794,0.0595,0.0,0.0545,0.019,0.23
1795,0.06,0.0,0.0549,0.019399999999999997,0.232
1796,0.060399999999999995,0.0,0.055299999999999995,0.0198,0.234
1797,0.0608,0.0,0.055799999999999995,0.020300000000000002,0.236
1798,0.0613,0.0,0.0562,0.0207,0.238
1799,0.061700000000000005,0.0,0.056600000000000004,0.0211,0.239
1800,0.0621,0.0,0.0571,0.0216,0.241
1801,0.0626,0.0,0.0575,0.022,0.243
1802,0.0631,0.0,0.058,0.0224,0.245
1803,0.0635,0.0,0.0585,0.0229,0.247
1804,0.064,0.0,0.0589,0.0233,0.249
1805,0.0645,0.0,0.0594,0.0237,0.251
1806,0.0649,0.0,0.0599,0.0242,0.253
1807,0.0654,0.0,0.0603,0.0246,0.255
1808,0.0659,0.0,0.0608,0.025,0.257
1809,0.0663,0.0,0.0613,0.0255,0.259
1810,0.0668,0.0,0.061799999999999994,0.0259,0.261
1811,0.0673,0.0,0.062299999999999994,0.0263,0.263
1812,0.0678,0.0,0.0628,0.026699999999999998,0.265
1813,0.0683,0.0,0.0633,0.0272,0.267
1814,0.0688,0.0,0.0638,0.027600000000000003,0.27
1815,0.0693,0.0,0.0643,0.028,0.272
1816,0.0698,0.0,0.0648,0.0285,0.274
1817,0.0703,0.0,0.0653,0.0289,0.276
1818,0.0708,0.0,0.0658,0.0293,0.278
1819,0.0712,0.0,0.0663,0.0298,0.28
1820,0.0717,0.0,0.0668,0.030199999999999998,0.282
1821,0.0726,0.0,0.0677,0.030600000000000002,0.286
1822,0.0735,0.0,0.0685,0.031100000000000003,0.29
1823,0.07429999999999999,0.0,0.0694,0.0315,0.293
1824,0.0752,0.0,0.0703,0.0319,0.297
1825,0.0761,0.0,0.0711,0.0324,0.301
1826,0.07690000000000001,0.0,0.072,0.032799999999999996,0.304
1827,0.0778,0.0,0.0728,0.0332,0.308
1828,0.07859999999999999,0.0,0.0737,0.0337,0.312
1829,0.0795,0.0,0.0746,0.0341,0.315
1830,0.0803,0.0,0.07540000000000001,0.0345,0.319
1831,0.0813,0.0,0.07640000000000001,0.0349,0.323
1832,0.08220000000000001,0.0,0.0773,0.0354,0.327
1833,0.0831,0.0,0.0782,0.0358,0.331
1834,0.0841,0.0,0.0792,0.0362,0.335
1835,0.085,0.0,0.08009999999999999,0.0367,0.339
1836,0.0859,0.0,0.08109999999999999,0.0371,0.343
1837,0.0868,0.0,0.082,0.0375,0.347
1838,0.0877,0.0,0.083,0.038,0.351
1839,0.0887,0.0,0.0839,0.0384,0.355
1840,0.0896,0.0,0.0848,0.038799999999999994,0.359
1841,0.0906,0.0,0.0859,0.039299999999999995,0.363
1842,0.0916,0.0,0.087,0.039700000000000006,0.368
1843,0.0927,0.0,0.088,0.040100000000000004,0.372
1844,0.0937,0.0,0.0891,0.040600000000000004,0.377
1845,0.0947,0.0,0.0901,0.041,0.381
1846,0.09570000000000001,0.0,0.0912,0.0414,0.386
1847,0.0968,0.0,0.0923,0.0418,0.39
1848,0.0978,0.0,0.0933,0.0423,0.395
1849,0.0988,0.0,0.09440000000000001,0.0427,0.399
1850,0.103,0.0,0.0953,0.0431,0.403
1851,0.104,0.0,0.09659999999999999,0.0436,0.409
1852,0.105,0.0,0.098,0.044,0.414
1853,0.106,0.0,0.0993,0.0444,0.42
1854,0.108,0.0,0.101,0.044899999999999995,0.425
