year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0361,0.0,0.0327,5.92e-18,0.137
1751,0.0364,0.0,0.0329,0.000449,0.138
1752,0.0366,0.0,0.0332,0.000898,0.14
1753,0.036899999999999995,0.0,0.0335,0.00135,0.141
1754,0.037200000000000004,0.0,0.0337,0.0018,0.142
1755,0.0375,0.0,0.034,0.0022400000000000002,0.143
1756,0.0378,0.0,0.0343,0.00269,0.144
1757,0.038,0.0,0.0345,0.00314,0.145
1758,0.038299999999999994,0.0,0.0348,0.00359,0.146
1759,0.0386,0.0,0.0351,0.00404,0.147
1760,0.0389,0.0,0.0353,0.00449,0.149
1761,0.039200000000000006,0.0,0.0356,0.004940000000000001,0.15
1762,0.0395,0.0,0.0359,0.00539,0.151
1763,0.039799999999999995,0.0,0.0362,0.00583,0.152
1764,0.040100000000000004,0.0,0.0365,0.00628,0.153
1765,0.0404,0.0,0.0368,0.006730000000000001,0.155
1766,0.0407,0.0,0.0371,0.00718,0.156
1767,0.041,0.0,0.037399999999999996,0.00763,0.157
1768,0.041299999999999996,0.0,0.037700000000000004,0.00808,0.158
1769,0.0416,0.0,0.037899999999999996,0.00853,0.16
1770,0.0419,0.0,0.038200000000000005,0.00898,0.161
1771,0.0422,0.0,0.0385,0.00942,0.162
1772,0.0425,0.0,0.0389,0.009869999999999999,0.163
1773,0.0428,0.0,0.039200000000000006,0.0103,0.165
1774,0.0432,0.0,0.0395,0.0108,0.166
1775,0.0435,0.0,0.039799999999999995,0.0112,0.167
1776,0.0438,0.0,0.040100000000000004,0.011699999999999999,0.169
1777,0.0441,0.0,0.0404,0.0121,0.17
1778,0.0444,0.0,0.0407,0.0126,0.171
1779,0.0448,0.0,0.041100000000000005,0.013,0.173
1780,0.0451,0.0,0.0414,0.0135,0.174
1781,0.045399999999999996,0.0,0.0417,0.013900000000000001,0.175
1782,0.0458,0.0,0.042,0.0144,0.177
1783,0.0461,0.0,0.0424,0.0148,0.178
1784,0.0465,0.0,0.0427,0.015300000000000001,0.18
1785,0.046799999999999994,0.0,0.0431,0.0157,0.181
1786,0.047200000000000006,0.0,0.0434,0.0162,0.182
1787,0.0475,0.0,0.0437,0.0166,0.184
1788,0.047799999999999995,0.0,0.0441,0.0171,0.185
1789,0.0482,0.0,0.0444,0.0175,0.187
1790,0.0485,0.0,0.0448,0.018,0.188
1791,0.0489,0.0,0.0451,0.0184,0.19
1792,0.0493,0.0,0.0455,0.0188,0.191
1793,0.0496,0.0,0.045899999999999996,0.0193,0.193
1794,0.05,0.0,0.046200000000000005,0.0197,0.194
1795,0.0504,0.0,0.0466,0.0202,0.196
1796,0.0507,0.0,0.047,0.0206,0.197
1797,0.0511,0.0,0.047299999999999995,0.0211,0.199
1798,0.0515,0.0,0.047700000000000006,0.0215,0.201
1799,0.0518,0.0,0.048100000000000004,0.022,0.202
1800,0.0522,0.0,0.0484,0.0224,0.204
1801,0.0526,0.0,0.048799999999999996,0.0229,0.205
1802,0.053,0.0,0.0492,0.0233,0.207
1803,0.053399999999999996,0.0,0.0496,0.0238,0.209
1804,0.0538,0.0,0.05,0.0242,0.21
1805,0.0541,0.0,0.0504,0.0247,0.212
1806,0.0545,0.0,0.0508,0.0251,0.214
1807,0.0549,0.0,0.0512,0.0256,0.215
1808,0.055299999999999995,0.0,0.0516,0.026,0.217
1809,0.0557,0.0,0.052,0.0265,0.219
1810,0.056100000000000004,0.0,0.052399999999999995,0.0269,0.22
1811,0.0565,0.0,0.0528,0.027399999999999997,0.222
1812,0.0569,0.0,0.0533,0.027800000000000002,0.224
1813,0.0574,0.0,0.053700000000000005,0.028300000000000002,0.226
1814,0.0578,0.0,0.0541,0.0287,0.228
1815,0.0582,0.0,0.0545,0.0292,0.229
1816,0.0586,0.0,0.055,0.0296,0.231
1817,0.059,0.0,0.0554,0.030100000000000002,0.233
1818,0.0594,0.0,0.055799999999999995,0.0305,0.235
1819,0.0598,0.0,0.056299999999999996,0.031,0.237
1820,0.0603,0.0,0.0567,0.0314,0.238
1821,0.061,0.0,0.0574,0.0319,0.241
1822,0.061700000000000005,0.0,0.0581,0.032299999999999995,0.244
1823,0.0624,0.0,0.0589,0.032799999999999996,0.248
1824,0.0632,0.0,0.0596,0.0332,0.251
1825,0.0639,0.0,0.0603,0.0337,0.254
1826,0.06459999999999999,0.0,0.0611,0.0341,0.257
1827,0.0653,0.0,0.061799999999999994,0.0346,0.26
1828,0.066,0.0,0.0625,0.035,0.263
1829,0.0668,0.0,0.0633,0.0355,0.266
1830,0.0675,0.0,0.064,0.0359,0.269
1831,0.0683,0.0,0.0648,0.0364,0.272
1832,0.069,0.0,0.06559999999999999,0.0368,0.276
1833,0.0698,0.0,0.0664,0.0373,0.279
1834,0.0706,0.0,0.06720000000000001,0.037700000000000004,0.282
1835,0.0714,0.0,0.068,0.0381,0.286
1836,0.0722,0.0,0.0688,0.0386,0.289
1837,0.0729,0.0,0.0696,0.039,0.293
1838,0.0737,0.0,0.0704,0.0395,0.296
1839,0.0745,0.0,0.0712,0.0399,0.299
1840,0.07529999999999999,0.0,0.072,0.0404,0.303
1841,0.0761,0.0,0.0729,0.040799999999999996,0.306
1842,0.077,0.0,0.07379999999999999,0.041299999999999996,0.31
1843,0.0778,0.0,0.0747,0.0417,0.314
1844,0.0787,0.0,0.0756,0.0422,0.318
1845,0.07959999999999999,0.0,0.0765,0.0426,0.322
1846,0.0804,0.0,0.07740000000000001,0.0431,0.325
1847,0.0813,0.0,0.0783,0.0435,0.329
1848,0.08209999999999999,0.0,0.0792,0.044,0.333
1849,0.083,0.0,0.08009999999999999,0.0444,0.337
1850,0.0868,0.0,0.0809,0.044899999999999995,0.34
1851,0.0879,0.0,0.082,0.0453,0.345
1852,0.089,0.0,0.0831,0.0458,0.35
1853,0.0901,0.0,0.0842,0.046200000000000005,0.354
1854,0.0912,0.0,0.0853,0.046700000000000005,0.359
1855,0.0923,0.0,0.0864,0.0471,0.363
1856,0.09340000000000001,0.0,0.0875,0.0476,0.368
1857,0.0945,0.0,0.0886,0.048,0.373
1858,0.09559999999999999,0.0,0.0897,0.0485,0.377
1859,0.0968,0.0,0.09079999999999999,0.0489,0.382
1860,0.0979,0.0,0.09179999999999999,0.0494,0.386
1861,0.099,0.0,0.09290000000000001,0.0498,0.391
1862,0.1,0.0,0.09390000000000001,0.0503,0.395
1863,0.101,0.0,0.095,0.0507,0.4
1864,0.103,0.0,0.096,0.0512,0.404
1865,0.104,0.0,0.09709999999999999,0.0516,0.409
1866,0.105,0.0,0.09809999999999999,0.0521,0.413
1867,0.106,0.0,0.0991,0.0525,0.418
1868,0.107,0.0,0.1,0.053,0.422
1869,0.109,0.0,0.101,0.053399999999999996,0.427
