year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.000204,0.0,0.0161
1751,0.0,0.0,0.000205,6.35e-05,0.0162
1752,0.0,0.0,0.000205,0.000127,0.0162
1753,0.0,0.0,0.000206,0.000191,0.0162
1754,0.0,0.0,0.000206,0.000254,0.016300000000000002
1755,0.0,0.0,0.000207,0.00031800000000000003,0.016300000000000002
1756,0.0,0.0,0.000207,0.000381,0.016300000000000002
1757,0.0,0.0,0.000207,0.00044500000000000003,0.016399999999999998
1758,0.0,0.0,0.000208,0.000508,0.016399999999999998
1759,0.0,0.0,0.000208,0.0005719999999999999,0.016399999999999998
1760,0.0,0.0,0.00020899999999999998,0.000635,0.0165
1761,0.0,0.0,0.00020899999999999998,0.000699,0.0165
1762,0.0,0.0,0.00020899999999999998,0.000762,0.0165
1763,0.0,0.0,0.00020999999999999998,0.0008259999999999999,0.0166
1764,0.0,0.0,0.00020999999999999998,0.000889,0.0166
1765,0.0,0.0,0.000211,0.000953,0.0166
1766,0.0,0.0,0.000211,0.00102,0.0167
1767,0.0,0.0,0.000212,0.00108,0.0167
1768,0.0,0.0,0.000212,0.00114,0.0167
1769,0.0,0.0,0.000212,0.00121,0.016800000000000002
1770,0.0,0.0,0.000213,0.00127,0.016800000000000002
1771,0.0,0.0,0.000213,0.00133,0.016800000000000002
1772,0.0,0.0,0.000214,0.0014,0.0169
1773,0.0,0.0,0.000214,0.00146,0.0169
1774,0.0,0.0,0.000215,0.00152,0.0169
1775,0.0,0.0,0.000215,0.00159,0.017
1776,0.0,0.0,0.000215,0.00165,0.017
1777,0.0,0.0,0.000216,0.00172,0.017
1778,0.0,0.0,0.000216,0.0017800000000000001,0.0171
1779,0.0,0.0,0.000217,0.00184,0.0171
1780,0.0,0.0,0.000217,0.00191,0.0171
1781,0.0,0.0,0.00021799999999999999,0.00197,0.0172
1782,0.0,0.0,0.00021799999999999999,0.0020299999999999997,0.0172
1783,0.0,0.0,0.000219,0.0021000000000000003,0.0172
1784,0.0,0.0,0.000219,0.00216,0.0173
1785,0.0,0.0,0.000219,0.00222,0.0173
1786,0.0,0.0,0.00022,0.00229,0.0173
1787,0.0,0.0,0.00022,0.00235,0.0174
1788,0.0,0.0,0.000221,0.0024100000000000002,0.0174
1789,0.0,0.0,0.000221,0.00248,0.0175
1790,0.0,0.0,0.000222,0.00254,0.0175
1791,0.0,0.0,0.000222,0.0026,0.0175
1792,0.0,0.0,0.000223,0.00267,0.0176
1793,0.0,0.0,0.000223,0.00273,0.0176
1794,0.0,0.0,0.000223,0.00279,0.0176
1795,0.0,0.0,0.000224,0.0028599999999999997,0.0177
1796,0.0,0.0,0.000224,0.00292,0.0177
1797,0.0,0.0,0.000225,0.00299,0.0177
1798,0.0,0.0,0.000225,0.0030499999999999998,0.0178
1799,0.0,0.0,0.00022600000000000002,0.00311,0.0178
1800,0.0,0.0,0.00022600000000000002,0.00318,0.0178
1801,0.0,0.0,0.00022700000000000002,0.0032400000000000003,0.0179
1802,0.0,0.0,0.00022700000000000002,0.0033,0.0179
1803,0.0,0.0,0.000228,0.00337,0.018
1804,0.0,0.0,0.000228,0.0034300000000000003,0.018
1805,0.0,0.0,0.000228,0.00349,0.018
1806,0.0,0.0,0.000229,0.0035600000000000002,0.0181
1807,0.0,0.0,0.000229,0.00362,0.0181
1808,0.0,0.0,0.00023,0.00368,0.0181
1809,0.0,0.0,0.00023,0.00375,0.0182
1810,0.0,0.0,0.000231,0.00381,0.0182
1811,0.0,0.0,0.000231,0.00387,0.0182
1812,0.0,0.0,0.000232,0.00394,0.0183
1813,0.0,0.0,0.000232,0.004,0.0183
1814,0.0,0.0,0.00023300000000000003,0.004070000000000001,0.0184
1815,0.0,0.0,0.00023300000000000003,0.00413,0.0184
1816,0.0,0.0,0.00023400000000000002,0.00419,0.0184
1817,0.0,0.0,0.00023400000000000002,0.00426,0.0185
1818,0.0,0.0,0.000235,0.00432,0.0185
1819,0.0,0.0,0.000235,0.00438,0.0185
1820,0.0,0.0,0.000236,0.00445,0.018600000000000002
1821,0.0,0.0,0.000236,0.00451,0.018600000000000002
1822,0.0,0.0,0.000237,0.00457,0.018699999999999998
1823,0.0,0.0,0.000237,0.00464,0.018699999999999998
1824,0.0,0.0,0.00023799999999999998,0.0047,0.0188
1825,0.0,0.0,0.00023899999999999998,0.0047599999999999995,0.0188
1826,0.0,0.0,0.00023899999999999998,0.00483,0.0189
1827,0.0,0.0,0.00023999999999999998,0.004889999999999999,0.0189
1828,0.0,0.0,0.000241,0.00495,0.019
1829,0.0,0.0,0.000241,0.005019999999999999,0.019
1830,0.0,0.0,0.000242,0.00508,0.019100000000000002
1831,0.0,0.0,0.000243,0.00515,0.0192
1832,0.0,0.0,0.000244,0.00521,0.0193
1833,0.0,0.0,0.000246,0.0052699999999999995,0.019399999999999997
1834,0.0,0.0,0.000247,0.00534,0.0195
1835,0.0,0.0,0.000248,0.0054,0.019600000000000003
1836,0.0,0.0,0.000249,0.00546,0.019600000000000003
1837,0.0,0.0,0.00025,0.00553,0.0197
1838,0.0,0.0,0.000251,0.0055899999999999995,0.0198
1839,0.0,0.0,0.000252,0.0056500000000000005,0.019899999999999998
1840,0.0,0.0,0.000254,0.005719999999999999,0.02
1841,0.0,0.0,0.000255,0.00578,0.0201
1842,0.0,0.0,0.000256,0.00584,0.0202
1843,0.0,0.0,0.000257,0.00591,0.020300000000000002
1844,0.0,0.0,0.000258,0.00597,0.020399999999999998
1845,0.0,0.0,0.00026000000000000003,0.006030000000000001,0.0205
1846,0.0,0.0,0.000261,0.0060999999999999995,0.0206
1847,0.0,0.0,0.000262,0.0061600000000000005,0.0207
1848,0.0,0.0,0.000263,0.00622,0.0208
1849,0.0,0.0,0.000265,0.0062900000000000005,0.0209
1850,0.000224,0.0,0.00026000000000000003,0.00635,0.0205
1851,0.000229,0.0,0.000265,0.00642,0.0209
1852,0.00023300000000000003,0.0,0.00027100000000000003,0.0064800000000000005,0.0214
1853,0.00023799999999999998,0.0,0.00027600000000000004,0.00654,0.0218
1854,0.000242,0.0,0.00028100000000000005,0.00661,0.0221
1855,0.000246,0.0,0.000285,0.00667,0.0225
