year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,7.69e-06,-0.0,2.87e-05
1751,0.0,0.0,7.69e-06,-0.0,2.87e-05
1752,0.0,0.0,7.7e-06,-0.0,2.87e-05
1753,0.0,0.0,7.7e-06,-0.0,2.87e-05
1754,0.0,0.0,7.709999999999999e-06,-0.0,2.87e-05
1755,0.0,0.0,7.709999999999999e-06,-0.0,2.88e-05
1756,0.0,0.0,7.72e-06,-0.0,2.88e-05
1757,0.0,0.0,7.72e-06,-0.0,2.88e-05
1758,0.0,0.0,7.73e-06,-0.0,2.88e-05
1759,0.0,0.0,7.73e-06,-0.0,2.88e-05
1760,0.0,0.0,7.74e-06,-0.0,2.8899999999999998e-05
1761,0.0,0.0,7.75e-06,-0.0,2.8899999999999998e-05
1762,0.0,0.0,7.75e-06,-0.0,2.8899999999999998e-05
1763,0.0,0.0,7.76e-06,-0.0,2.8899999999999998e-05
1764,0.0,0.0,7.76e-06,-0.0,2.8899999999999998e-05
1765,0.0,0.0,7.77e-06,-0.0,2.9e-05
1766,0.0,0.0,7.77e-06,-0.0,2.9e-05
1767,0.0,0.0,7.78e-06,-0.0,2.9e-05
1768,0.0,0.0,7.78e-06,-0.0,2.9e-05
1769,0.0,0.0,7.79e-06,-0.0,2.91e-05
1770,0.0,0.0,7.8e-06,-0.0,2.91e-05
1771,0.0,0.0,7.889999999999999e-06,-0.0,2.94e-05
1772,0.0,0.0,7.99e-06,-0.0,2.98e-05
1773,0.0,0.0,8.09e-06,-0.0,3.0200000000000002e-05
1774,0.0,0.0,8.19e-06,-0.0,3.05e-05
1775,0.0,0.0,8.29e-06,-0.0,3.09e-05
1776,0.0,0.0,8.39e-06,-0.0,3.13e-05
1777,0.0,0.0,8.49e-06,-0.0,3.17e-05
1778,0.0,0.0,8.59e-06,-0.0,3.2e-05
1779,0.0,0.0,8.68e-06,-0.0,3.24e-05
1780,0.0,0.0,8.779999999999999e-06,-0.0,3.2800000000000004e-05
1781,0.0,0.0,8.959999999999999e-06,-0.0,3.34e-05
1782,0.0,0.0,9.129999999999999e-06,-0.0,3.4099999999999995e-05
1783,0.0,0.0,9.31e-06,-0.0,3.47e-05
1784,0.0,0.0,9.49e-06,-0.0,3.54e-05
1785,0.0,0.0,9.66e-06,-0.0,3.5999999999999994e-05
1786,0.0,0.0,9.839999999999999e-06,-0.0,3.6700000000000004e-05
1787,0.0,0.0,1e-05,-0.0,3.73e-05
1788,0.0,0.0,1.02e-05,-0.0,3.8e-05
1789,0.0,0.0,1.0399999999999999e-05,-0.0,3.87e-05
1790,0.0,0.0,1.0500000000000001e-05,-0.0,3.93e-05
1791,0.0,0.0,1.06e-05,-0.0,3.96e-05
1792,0.0,0.0,1.07e-05,-0.0,4e-05
1793,0.0,0.0,1.08e-05,-0.0,4.0300000000000004e-05
1794,0.0,0.0,1.09e-05,-0.0,4.06e-05
1795,0.0,0.0,1.1e-05,-0.0,4.09e-05
1796,0.0,0.0,1.11e-05,-0.0,4.13e-05
1797,0.0,0.0,1.12e-05,-0.0,4.1599999999999995e-05
1798,0.0,0.0,1.12e-05,-0.0,4.19e-05
1799,0.0,0.0,1.1299999999999999e-05,-0.0,4.23e-05
1800,0.0,0.0,1.1400000000000001e-05,-0.0,4.26e-05
1801,0.0,0.0,1.1599999999999999e-05,-0.0,4.32e-05
1802,0.0,0.0,1.18e-05,-0.0,4.39e-05
1803,0.0,0.0,1.1900000000000001e-05,-0.0,4.46e-05
1804,0.0,0.0,1.21e-05,-0.0,4.5199999999999994e-05
1805,0.0,0.0,1.23e-05,-0.0,4.5900000000000004e-05
1806,0.0,0.0,1.25e-05,-0.0,4.65e-05
1807,0.0,0.0,1.26e-05,-0.0,4.72e-05
1808,0.0,0.0,1.2800000000000001e-05,-0.0,4.78e-05
1809,0.0,0.0,1.3e-05,-0.0,4.85e-05
1810,0.0,0.0,1.32e-05,-0.0,4.91e-05
1811,0.0,0.0,1.34e-05,-0.0,5e-05
1812,0.0,0.0,1.3700000000000001e-05,-0.0,5.0900000000000004e-05
1813,0.0,0.0,1.3899999999999999e-05,-0.0,5.18e-05
1814,0.0,0.0,1.41e-05,-0.0,5.2699999999999993e-05
1815,0.0,0.0,1.44e-05,-0.0,5.36e-05
1816,0.0,0.0,1.46e-05,-0.0,5.4499999999999997e-05
1817,0.0,0.0,1.49e-05,-0.0,5.54e-05
1818,0.0,0.0,1.5100000000000001e-05,-0.0,5.64e-05
1819,0.0,0.0,1.54e-05,-0.0,5.73e-05
1820,0.0,0.0,1.56e-05,-0.0,5.82e-05
1821,0.0,0.0,1.58e-05,-0.0,5.8700000000000004e-05
1822,0.0,0.0,1.59e-05,-0.0,5.93e-05
1823,0.0,0.0,1.61e-05,-0.0,5.99e-05
1824,0.0,0.0,1.62e-05,-0.0,6.05e-05
1825,0.0,0.0,1.6400000000000002e-05,-0.0,6.110000000000001e-05
1826,0.0,0.0,1.65e-05,-0.0,6.17e-05
1827,0.0,0.0,1.67e-05,-0.0,6.23e-05
1828,0.0,0.0,1.6899999999999997e-05,-0.0,6.29e-05
1829,0.0,0.0,1.7e-05,-0.0,6.35e-05
1830,0.0,0.0,1.72e-05,-0.0,6.41e-05
1831,0.0,0.0,1.73e-05,-0.0,6.45e-05
1832,0.0,0.0,1.74e-05,-0.0,6.500000000000001e-05
1833,0.0,0.0,1.7500000000000002e-05,-0.0,6.54e-05
1834,0.0,0.0,1.76e-05,-0.0,6.58e-05
1835,0.0,0.0,1.78e-05,-0.0,6.62e-05
1836,0.0,0.0,1.7899999999999998e-05,-0.0,6.67e-05
1837,0.0,0.0,1.7999999999999997e-05,-0.0,6.71e-05
1838,0.0,0.0,1.8100000000000003e-05,-0.0,6.75e-05
1839,0.0,0.0,1.8200000000000002e-05,-0.0,6.79e-05
1840,0.0,0.0,1.83e-05,-0.0,6.840000000000001e-05
1841,0.0,0.0,1.7999999999999997e-05,-0.0,6.72e-05
1842,0.0,0.0,1.77e-05,-0.0,6.6e-05
1843,0.0,0.0,1.74e-05,-0.0,6.48e-05
1844,0.0,0.0,1.7e-05,-0.0,6.36e-05
1845,0.0,0.0,1.67e-05,-0.0,6.24e-05
1846,0.0,0.0,1.6400000000000002e-05,-0.0,6.110000000000001e-05
1847,0.0,0.0,1.61e-05,-0.0,5.99e-05
1848,0.0,0.0,1.57e-05,-0.0,5.8700000000000004e-05
1849,0.0,0.0,1.54e-05,-0.0,5.75e-05
1850,3.56e-05,0.0,1.56e-05,-0.0,0.000841
1851,3.6400000000000004e-05,0.0,1.6e-05,-0.0,0.000859
1852,3.71e-05,0.0,1.63e-05,-0.0,0.000876
1853,3.78e-05,0.0,1.66e-05,-0.0,0.000892
1854,3.85e-05,0.0,1.6899999999999997e-05,-0.0,0.0009080000000000001
1855,3.91e-05,0.0,1.72e-05,-0.0,0.0009220000000000001
1856,3.96e-05,0.0,1.74e-05,-0.0,0.000934
1857,4e-05,0.0,1.76e-05,-0.0,0.000945
1858,4.04e-05,0.0,1.77e-05,-0.0,0.000954
1859,4.07e-05,0.0,1.7899999999999998e-05,-0.0,0.0009599999999999999
1860,4.08e-05,0.0,1.7899999999999998e-05,-0.0,0.000963
1861,4.09e-05,0.0,1.7899999999999998e-05,-0.0,0.0009649999999999999
1862,4.09e-05,0.0,1.7999999999999997e-05,-0.0,0.000966
1863,4.1e-05,0.0,1.7999999999999997e-05,-0.0,0.000967
1864,4.1e-05,0.0,1.7999999999999997e-05,-0.0,0.000968
1865,4.1e-05,0.0,1.7999999999999997e-05,-0.0,0.000968
1866,4.1e-05,0.0,1.7999999999999997e-05,-0.0,0.000969
1867,4.1099999999999996e-05,0.0,1.7999999999999997e-05,-0.0,0.000969
1868,4.1099999999999996e-05,0.0,1.8100000000000003e-05,-0.0,0.0009699999999999999
1869,4.12e-05,0.0,1.8100000000000003e-05,-0.0,0.000972
1870,4.12e-05,0.0,1.8100000000000003e-05,-0.0,0.000973
1871,4.19e-05,0.0,1.84e-05,-0.0,0.00099
1872,4.3700000000000005e-05,0.0,1.92e-05,-0.0,0.00103
1873,4.62e-05,0.0,2.03e-05,-0.0,0.00109
1874,4.94e-05,0.0,2.17e-05,-0.0,0.00117
1875,5.28e-05,0.0,2.3199999999999998e-05,-0.0,0.00125
1876,5.63e-05,0.0,2.47e-05,-0.0,0.00133
1877,5.97e-05,0.0,2.62e-05,-0.0,0.00141
1878,6.26e-05,0.0,2.75e-05,-0.0,0.00148
1879,6.49e-05,0.0,2.85e-05,-0.0,0.0015300000000000001
1880,6.63e-05,0.0,2.91e-05,-0.0,0.00156
1881,6.71e-05,0.0,2.95e-05,-0.0,0.00158
1882,6.769999999999999e-05,0.0,2.97e-05,-0.0,0.0016
1883,6.829999999999999e-05,0.0,2.9999999999999997e-05,-0.0,0.00161
1884,6.88e-05,0.0,3.0200000000000002e-05,-0.0,0.0016200000000000001
1885,6.92e-05,0.0,3.04e-05,-0.0,0.00163
1886,6.96e-05,0.0,3.06e-05,-0.0,0.00164
1887,7.000000000000001e-05,0.0,3.07e-05,-0.0,0.00165
1888,7.04e-05,0.0,3.09e-05,-0.0,0.00166
1889,7.09e-05,0.0,3.11e-05,-0.0,0.0016699999999999998
1890,8.18e-05,0.0,3.14e-05,-0.0,0.00147
1891,8.48e-05,0.0,3.17e-05,-0.0,0.0016799999999999999
1892,8.81e-05,0.0,3.1899999999999996e-05,-0.0,0.0018700000000000001
1893,9.16e-05,0.0,3.22e-05,-0.0,0.0020499999999999997
1894,9.54e-05,0.0,3.2500000000000004e-05,-0.0,0.00221
1895,9.94e-05,0.0,3.2800000000000004e-05,-0.0,0.00235
1896,0.000104,0.0,3.31e-05,-0.0,0.00248
1897,0.000108,0.0,3.34e-05,-0.0,0.00257
1898,0.000112,0.0,3.3799999999999995e-05,-0.0,0.00264
1899,0.00011700000000000001,0.0,3.4200000000000005e-05,-0.0,0.00269
1900,0.000122,0.0,3.46e-05,-0.0,0.0027
1901,0.000127,0.0,3.51e-05,-0.0,0.00269
1902,0.000134,0.0,3.57e-05,-0.0,0.00265
1903,0.00014000000000000001,0.0,3.63e-05,-0.0,0.00259
1904,0.000147,0.0,3.71e-05,-0.0,0.0025099999999999996
1905,0.000155,0.0,3.78e-05,-0.0,0.0024300000000000003
1906,0.000162,0.0,3.86e-05,-0.0,0.00235
1907,0.00016900000000000002,0.0,3.9399999999999995e-05,-0.0,0.00227
1908,0.000175,0.0,4.01e-05,-0.0,0.00221
1909,0.00017999999999999998,0.0,4.09e-05,-0.0,0.00217
1910,0.000185,0.0,4.1599999999999995e-05,-0.0,0.00215
1911,0.000189,0.0,4.23e-05,-0.0,0.00215
1912,0.000192,0.0,4.2999999999999995e-05,-0.0,0.00216
1913,0.000195,0.0,4.3700000000000005e-05,-0.0,0.00217
1914,0.00019800000000000002,0.0,4.44e-05,-0.0,0.00218
1915,0.0002,0.0,4.51e-05,-0.0,0.00219
1916,0.000203,0.0,4.58e-05,-0.0,0.0022
1917,0.000206,0.0,4.65e-05,-0.0,0.00222
1918,0.000208,0.0,4.72e-05,-0.0,0.0022299999999999998
1919,0.000211,0.0,4.79e-05,-0.0,0.00225
1920,0.000215,0.0,4.8599999999999995e-05,-0.0,0.00227
1921,0.000219,0.0,4.93e-05,-0.0,0.00229
1922,0.000225,0.0,5.01e-05,-0.0,0.00232
1923,0.000231,0.0,5.0799999999999995e-05,-0.0,0.0023599999999999997
1924,0.00023799999999999998,0.0,5.16e-05,-0.0,0.0024
1925,0.000244,0.0,5.23e-05,-0.0,0.00244
1926,0.00025,0.0,5.31e-05,-0.0,0.00249
1927,0.000256,0.0,5.38e-05,-0.0,0.0025299999999999997
1928,0.000261,0.0,5.4499999999999997e-05,-0.0,0.0025800000000000003
1929,0.000265,0.0,5.52e-05,-0.0,0.00263
1930,0.00026700000000000004,0.0,5.59e-05,-0.0,0.00267
1931,0.00026900000000000003,6.4000000000000006e-06,5.64e-05,-0.0,0.00272
1932,0.00027,2.4299999999999998e-05,5.69e-05,-0.0,0.00277
1933,0.00027100000000000003,5.15e-05,5.73e-05,-0.0,0.00283
1934,0.000272,8.63e-05,5.77e-05,-0.0,0.0028799999999999997
1935,0.000273,0.000126,5.8099999999999996e-05,-0.0,0.00294
1936,0.00027400000000000005,0.00017,5.86e-05,-0.0,0.00299
1937,0.00027400000000000005,0.000215,5.91e-05,-0.0,0.00304
1938,0.000275,0.000259,5.97e-05,-0.0,0.00307
1939,0.000275,0.0003,6.0400000000000004e-05,-0.0,0.0031
1940,0.000275,0.000337,6.13e-05,-0.0,0.00311
1941,0.000275,0.00036899999999999997,6.35e-05,-0.0,0.00328
1942,0.000273,0.000397,6.75e-05,-0.0,0.00377
1943,0.00027,0.000423,7.31e-05,-0.0,0.00449
1944,0.00026700000000000004,0.000449,7.97e-05,-0.0,0.00536
1945,0.000264,0.00047599999999999997,8.71e-05,-0.0,0.00632
1946,0.00026000000000000003,0.000506,9.470000000000001e-05,-0.0,0.00728
1947,0.000257,0.000539,0.000102,-0.0,0.00817
1948,0.000254,0.0005769999999999999,0.00010899999999999999,-0.0,0.008919999999999999
1949,0.000253,0.000621,0.000115,-0.0,0.00945
1950,0.000252,0.000674,0.00011899999999999999,-0.0,0.00968
1951,0.000253,0.000752,0.000123,-0.0,0.00974
1952,0.000256,0.000869,0.000125,-0.0,0.009800000000000001
1953,0.000261,0.00102,0.000128,-0.0,0.009869999999999999
1954,0.00026700000000000004,0.0012,0.00013000000000000002,-0.0,0.00994
1955,0.00027400000000000005,0.00139,0.000132,-0.0,0.01
1956,0.00028100000000000005,0.00161,0.000134,-0.0,0.0101
1957,0.000289,0.00183,0.000136,-0.0,0.010199999999999999
1958,0.000297,0.0020499999999999997,0.00013900000000000002,-0.0,0.0103
1959,0.000305,0.00227,0.00014199999999999998,-0.0,0.0104
1960,0.000312,0.00248,0.000145,-0.0,0.0105
1961,0.00032,0.0027,0.00015,-0.0,0.0115
1962,0.000328,0.0029300000000000003,0.000157,-0.0,0.0115
1963,0.00033800000000000003,0.00318,0.000164,-0.0,0.0116
1964,0.000348,0.00344,0.00017199999999999998,-0.0,0.0116
1965,0.000358,0.0037,0.00018099999999999998,-0.0,0.0119
1966,0.000367,0.00396,0.00019,-0.0,0.0125
1967,0.000375,0.00421,0.000199,-0.0,0.0126
1968,0.000381,0.00444,0.000207,-0.0,0.0127
1969,0.000386,0.0046500000000000005,0.000214,-0.0,0.0128
1970,0.000374,0.00401,0.000208,0.0,0.013099999999999999
1971,0.00039600000000000003,0.00418,0.000212,0.0,0.0135
1972,0.00039600000000000003,0.00438,0.000213,0.0,0.013900000000000001
1973,0.00039600000000000003,0.00479,0.000214,0.0,0.0143
1974,0.00047,0.00509,0.00023300000000000003,0.0,0.0148
1975,0.000398,0.00488,0.00023400000000000002,0.0,0.015
1976,0.00040300000000000004,0.004940000000000001,0.00023300000000000003,0.0,0.0149
1977,0.000435,0.00504,0.000241,0.0,0.0159
1978,0.000428,0.005019999999999999,0.000246,0.0,0.016399999999999998
1979,0.00047099999999999996,0.00509,0.000244,0.0,0.0161
1980,0.000458,0.00492,0.000254,0.0,0.0165
1981,0.000462,0.00477,0.000254,0.0,0.0161
1982,0.00045400000000000003,0.00434,0.000252,0.0,0.016399999999999998
1983,0.000446,0.00413,0.000252,0.0,0.0169
1984,0.000423,0.00415,0.000256,0.0,0.0171
1985,0.000467,0.0034100000000000003,0.000259,0.0,0.017
1986,0.000752,0.00318,0.000266,0.0,0.0176
1987,0.0007930000000000001,0.0034500000000000004,0.000272,0.0,0.0171
1988,0.00079,0.0032,0.00027100000000000003,0.0,0.0173
1989,0.000804,0.00314,0.000259,0.0,0.0179
1990,0.000853,0.0034500000000000004,0.000256,0.0,0.0182
1991,0.000868,0.00273,0.000255,0.0,0.0181
1992,0.000903,0.00273,0.000259,0.0,0.0179
1993,0.000953,0.00273,0.000259,0.0,0.0185
1994,0.00109,0.00273,0.000253,0.0,0.0192
1995,0.00127,0.00273,0.000249,0.0,0.0201
1996,0.0015,0.00273,0.000251,0.0,0.0202
1997,0.00171,0.00273,0.000255,0.0,0.0197
1998,0.00195,0.00273,0.000264,0.0,0.021
1999,0.00124,0.00273,0.000275,0.0,0.021
2000,0.00131,0.00273,0.00028100000000000005,0.0,0.02
2001,0.00136,0.002,0.000294,0.0,0.0192
2002,0.00138,0.00106,0.000304,0.0,0.019
2003,0.0014,0.00011899999999999999,0.000311,0.0,0.0198
2004,0.00134,0.000121,0.000348,0.0,0.0193
2005,0.00139,0.000124,0.00036899999999999997,0.0,0.0189
2006,0.00138,0.000127,0.000359,0.0,0.018699999999999998
2007,0.00135,0.000131,0.000365,0.0,0.0179
2008,0.00133,0.000135,0.00038500000000000003,0.0,0.0175
2009,0.00122,0.000136,0.000388,0.0,0.0171
2010,0.00121,0.00013700000000000002,0.00038700000000000003,0.0,0.0181
2011,0.00114,0.00013700000000000002,0.000382,0.0,0.0166
2012,0.00113,0.00013800000000000002,0.000375,0.0,0.0174
2013,0.00108,0.00013800000000000002,0.000374,0.0,0.0189
2014,0.00108,0.00013900000000000002,0.000379,0.0,0.0181
2015,0.00109,0.00014099999999999998,0.00038,0.0,0.0183
2016,0.0011899999999999999,0.00014199999999999998,0.00039600000000000003,0.0,0.018600000000000002
2017,0.0012,0.00014399999999999998,0.00040699999999999997,0.0,0.0197
2018,0.00124,0.000146,0.00041,0.0,0.0209
2019,0.00124,0.000148,0.000419,0.0,0.0195
2020,0.00114,0.000149,0.00041999999999999996,0.0,0.0197
2021,0.00111,0.00015,0.000415,0.0,0.0206
2022,0.00124,0.000153,0.000432,0.0,0.0189
2023,0.00115,0.000154,0.000431,0.0,0.019
