year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0482,0.0,0.09759999999999999,0.0,0.599
1751,0.0484,0.0,0.098,9.36e-05,0.601
1752,0.0485,0.0,0.0983,0.000187,0.603
1753,0.0487,0.0,0.0986,0.00028100000000000005,0.605
1754,0.048799999999999996,0.0,0.099,0.000374,0.607
1755,0.049,0.0,0.0993,0.00046800000000000005,0.61
1756,0.049100000000000005,0.0,0.0997,0.0005620000000000001,0.612
1757,0.0492,0.0,0.1,0.000655,0.614
1758,0.0494,0.0,0.1,0.000749,0.616
1759,0.0495,0.0,0.101,0.000843,0.618
1760,0.0497,0.0,0.101,0.0009360000000000001,0.62
1761,0.0498,0.0,0.101,0.00103,0.622
1762,0.05,0.0,0.102,0.0011200000000000001,0.624
1763,0.0501,0.0,0.102,0.00122,0.627
1764,0.0502,0.0,0.102,0.00131,0.629
1765,0.0504,0.0,0.103,0.0014,0.631
1766,0.0505,0.0,0.103,0.0015,0.633
1767,0.0507,0.0,0.104,0.00159,0.635
1768,0.0508,0.0,0.104,0.0016899999999999999,0.638
1769,0.051,0.0,0.104,0.0017800000000000001,0.64
1770,0.0511,0.0,0.105,0.0018700000000000001,0.642
1771,0.0512,0.0,0.105,0.00197,0.644
1772,0.0514,0.0,0.105,0.00206,0.646
1773,0.0515,0.0,0.106,0.00215,0.649
1774,0.0517,0.0,0.106,0.00225,0.651
1775,0.0518,0.0,0.106,0.00234,0.653
1776,0.052,0.0,0.107,0.0024300000000000003,0.655
1777,0.0521,0.0,0.107,0.0025299999999999997,0.658
1778,0.0522,0.0,0.108,0.00262,0.66
1779,0.052399999999999995,0.0,0.108,0.00272,0.662
1780,0.0525,0.0,0.108,0.00281,0.664
1781,0.052700000000000004,0.0,0.109,0.0029,0.667
1782,0.0528,0.0,0.109,0.003,0.669
1783,0.053,0.0,0.109,0.00309,0.671
1784,0.0531,0.0,0.11,0.00318,0.674
1785,0.053200000000000004,0.0,0.11,0.00328,0.676
1786,0.053399999999999996,0.0,0.111,0.00337,0.678
1787,0.0535,0.0,0.111,0.00346,0.681
1788,0.053700000000000005,0.0,0.111,0.0035600000000000002,0.683
1789,0.0538,0.0,0.112,0.00365,0.685
1790,0.053899999999999997,0.0,0.112,0.0037400000000000003,0.688
1791,0.0541,0.0,0.112,0.0038399999999999997,0.69
1792,0.054200000000000005,0.0,0.113,0.00393,0.692
1793,0.0544,0.0,0.113,0.004030000000000001,0.695
1794,0.0545,0.0,0.114,0.00412,0.697
1795,0.054700000000000006,0.0,0.114,0.00421,0.7
1796,0.054799999999999995,0.0,0.114,0.00431,0.702
1797,0.0549,0.0,0.115,0.0044,0.704
1798,0.0551,0.0,0.115,0.00449,0.707
1799,0.055200000000000006,0.0,0.116,0.0045899999999999995,0.709
1800,0.0554,0.0,0.116,0.00468,0.712
1801,0.0555,0.0,0.116,0.00477,0.714
1802,0.055600000000000004,0.0,0.117,0.00487,0.716
1803,0.0557,0.0,0.117,0.00496,0.718
1804,0.055799999999999995,0.0,0.117,0.005059999999999999,0.72
1805,0.0559,0.0,0.118,0.00515,0.722
1806,0.056,0.0,0.118,0.00524,0.724
1807,0.056100000000000004,0.0,0.118,0.00534,0.726
1808,0.0562,0.0,0.119,0.00543,0.728
1809,0.056299999999999996,0.0,0.119,0.00552,0.729
1810,0.0564,0.0,0.119,0.00562,0.731
1811,0.056600000000000004,0.0,0.12,0.00571,0.735
1812,0.056799999999999996,0.0,0.12,0.0058,0.738
1813,0.057,0.0,0.121,0.005900000000000001,0.741
1814,0.0572,0.0,0.121,0.0059900000000000005,0.745
1815,0.0573,0.0,0.122,0.00609,0.748
1816,0.0575,0.0,0.122,0.00618,0.751
1817,0.0577,0.0,0.123,0.0062699999999999995,0.755
1818,0.0579,0.0,0.124,0.00637,0.758
1819,0.0581,0.0,0.124,0.00646,0.761
1820,0.0583,0.0,0.125,0.006549999999999999,0.764
1821,0.0585,0.0,0.125,0.0066500000000000005,0.768
1822,0.0587,0.0,0.126,0.00674,0.771
1823,0.0589,0.0,0.126,0.00683,0.775
1824,0.0591,0.0,0.127,0.0069299999999999995,0.778
1825,0.0593,0.0,0.127,0.007019999999999999,0.782
1826,0.0595,0.0,0.128,0.0071200000000000005,0.785
1827,0.0597,0.0,0.129,0.00721,0.789
1828,0.0599,0.0,0.129,0.0073,0.792
1829,0.0601,0.0,0.13,0.0074,0.796
1830,0.0603,0.0,0.13,0.00749,0.799
1831,0.0605,0.0,0.131,0.00758,0.803
1832,0.060700000000000004,0.0,0.131,0.007679999999999999,0.807
1833,0.060899999999999996,0.0,0.132,0.00777,0.81
1834,0.0611,0.0,0.133,0.00786,0.814
1835,0.0613,0.0,0.133,0.00796,0.818
1836,0.0615,0.0,0.134,0.00805,0.821
1837,0.061700000000000005,0.0,0.134,0.008150000000000001,0.825
1838,0.0619,0.0,0.135,0.00824,0.829
1839,0.0621,0.0,0.136,0.00833,0.832
1840,0.062299999999999994,0.0,0.136,0.00843,0.836
1841,0.0625,0.0,0.137,0.00852,0.84
1842,0.0627,0.0,0.138,0.00861,0.844
1843,0.0629,0.0,0.138,0.00871,0.848
1844,0.0631,0.0,0.139,0.0088,0.852
1845,0.0633,0.0,0.139,0.00889,0.855
1846,0.0635,0.0,0.14,0.00899,0.859
1847,0.0637,0.0,0.141,0.00908,0.863
1848,0.0638,0.0,0.141,0.009179999999999999,0.867
1849,0.064,0.0,0.142,0.009269999999999999,0.871
1850,0.0702,0.0,0.142,0.00936,0.871
1851,0.0707,0.0,0.144,0.009460000000000001,0.88
1852,0.0711,0.0,0.145,0.009550000000000001,0.888
1853,0.0716,0.0,0.146,0.009640000000000001,0.896
1854,0.072,0.0,0.147,0.00974,0.904
1855,0.0725,0.0,0.148,0.00983,0.911
1856,0.0729,0.0,0.149,0.00992,0.919
1857,0.0733,0.0,0.15,0.01,0.925
1858,0.0737,0.0,0.151,0.0101,0.932
1859,0.0741,0.0,0.152,0.010199999999999999,0.938
1860,0.0745,0.0,0.153,0.0103,0.944
1861,0.07540000000000001,0.0,0.155,0.0104,0.955
1862,0.07629999999999999,0.0,0.157,0.0105,0.967
1863,0.0772,0.0,0.159,0.0106,0.979
1864,0.07809999999999999,0.0,0.162,0.0107,0.99
1865,0.079,0.0,0.164,0.0108,1.0
1866,0.0799,0.0,0.166,0.0109,1.01
1867,0.08070000000000001,0.0,0.168,0.011,1.03
1868,0.08159999999999999,0.0,0.171,0.011,1.04
1869,0.0825,0.0,0.173,0.0111,1.05
1870,0.0834,0.0,0.175,0.0112,1.06
1871,0.0845,0.0,0.178,0.011300000000000001,1.08
1872,0.0858,0.0,0.18,0.0114,1.1
1873,0.0872,0.0,0.183,0.0115,1.12
1874,0.0887,0.0,0.186,0.0116,1.15
1875,0.0902,0.0,0.189,0.011699999999999999,1.18
1876,0.09179999999999999,0.0,0.192,0.011800000000000001,1.21
1877,0.0933,0.0,0.195,0.0119,1.23
1878,0.0948,0.0,0.198,0.012,1.26
1879,0.09609999999999999,0.0,0.201,0.0121,1.28
1880,0.0973,0.0,0.203,0.012199999999999999,1.3
1881,0.0985,0.0,0.206,0.0123,1.32
1882,0.0997,0.0,0.209,0.0124,1.34
1883,0.101,0.0,0.212,0.0125,1.36
1884,0.102,0.0,0.215,0.0125,1.37
1885,0.103,0.0,0.218,0.0126,1.39
1886,0.104,0.0,0.221,0.0127,1.41
1887,0.105,0.0,0.224,0.0128,1.42
1888,0.106,0.0,0.227,0.0129,1.44
1889,0.108,0.0,0.23,0.013,1.46
1890,0.109,0.0,0.232,0.013099999999999999,1.49
1891,0.11,0.0,0.236,0.0132,1.5
1892,0.111,0.0,0.239,0.013300000000000001,1.52
1893,0.113,0.0,0.242,0.0134,1.54
1894,0.114,0.0,0.246,0.0135,1.56
1895,0.115,0.0,0.249,0.0136,1.57
1896,0.116,0.0,0.252,0.013699999999999999,1.59
1897,0.118,0.0,0.256,0.013800000000000002,1.61
1898,0.119,0.0,0.259,0.013900000000000001,1.63
1899,0.12,0.0,0.262,0.013900000000000001,1.65
1900,0.121,0.0,0.265,0.014,1.66
1901,0.126,0.0,0.27,0.0141,1.69
1902,0.13,0.0,0.275,0.014199999999999999,1.71
1903,0.133,0.0,0.279,0.0143,1.74
1904,0.137,0.0,0.284,0.0144,1.77
1905,0.14,0.0,0.289,0.0145,1.79
1906,0.143,0.0,0.293,0.0146,1.82
1907,0.146,0.0,0.298,0.0147,1.84
1908,0.149,0.0,0.303,0.0148,1.87
1909,0.151,0.0,0.307,0.0149,1.9
1910,0.153,0.0,0.312,0.015,1.92
1911,0.155,0.0,0.316,0.015099999999999999,1.95
1912,0.156,0.0,0.321,0.0152,1.97
1913,0.157,0.0,0.325,0.015300000000000001,1.99
1914,0.157,0.0,0.329,0.0154,2.02
1915,0.157,0.0,0.334,0.0154,2.04
1916,0.157,0.0,0.338,0.0155,2.07
1917,0.157,0.0,0.342,0.0156,2.09
1918,0.156,0.0,0.346,0.0157,2.12
1919,0.155,0.0,0.351,0.0158,2.14
1920,0.153,0.0,0.355,0.0159,2.17
1921,0.15,2.84e-06,0.358,0.016,2.19
1922,0.147,1.0500000000000001e-05,0.36,0.0161,2.22
1923,0.144,2.19e-05,0.363,0.0162,2.26
1924,0.14,3.57e-05,0.365,0.016300000000000002,2.3
1925,0.136,5.07e-05,0.368,0.016399999999999998,2.35
1926,0.131,6.57e-05,0.37,0.0165,2.39
1927,0.655,0.0005110000000000001,0.373,0.0166,2.44
1928,1.22,0.000988,0.375,0.0167,2.49
1929,1.52,0.00124,0.378,0.016800000000000002,2.53
1930,1.51,0.00125,0.38,0.0169,2.57
1931,1.5,0.00206,0.396,0.0169,2.67
1932,1.52,0.00438,0.412,0.017,2.78
1933,1.43,0.00783,0.428,0.0171,2.88
1934,11.0,0.0201,0.444,0.0172,2.98
1935,21.8,0.0341,0.459,0.0173,3.08
1936,22.1,0.0399,0.475,0.0174,3.2
