year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,1.3999999999999998e-07
1922,5.180000000000001e-07
1923,1.08e-06
1924,1.75e-06
1925,2.49e-06
1926,3.23e-06
1927,3.910000000000001e-06
1928,4.47e-06
1929,4.839999999999999e-06
1930,4.98e-06
1931,4.87e-06
1932,4.57e-06
1933,4.11e-06
1934,3.5699999999999997e-06
1935,2.97e-06
1936,2.37e-06
1937,1.83e-06
1938,1.38e-06
1939,1.07e-06
1940,9.57e-07
1941,9.76e-07
1942,1.03e-06
1943,1.1199999999999999e-06
1944,1.2299999999999999e-06
1945,1.3600000000000001e-06
1946,1.5100000000000002e-06
1947,1.68e-06
1948,1.85e-06
1949,2.03e-06
1950,2.2e-06
1951,2.39e-06
1952,2.5999999999999997e-06
1953,2.83e-06
1954,3.0799999999999997e-06
1955,3.35e-06
1956,3.65e-06
1957,3.969999999999999e-06
1958,4.32e-06
1959,4.68e-06
1960,5.07e-06
1961,5.51e-06
1962,6.02e-06
1963,6.61e-06
1964,7.270000000000001e-06
1965,7.99e-06
1966,8.779999999999999e-06
1967,9.62e-06
1968,1.0500000000000001e-05
1969,1.15e-05
1970,1.1400000000000001e-05
1971,1.41e-05
1972,1.4200000000000001e-05
1973,4.24e-05
1974,7.07e-05
1975,9.89e-05
1976,0.00014099999999999998
1977,0.000156
1978,0.000213
1979,0.00028399999999999996
1980,0.00034100000000000005
1981,0.000357
1982,0.000374
1983,0.00047799999999999996
1984,0.0006979999999999999
1985,0.0006
1986,0.000752
1987,0.000968
1988,0.00138
1989,0.00164
1990,0.0016799999999999999
1991,0.00216
1992,0.0027400000000000002
1993,0.0076500000000000005
1994,0.0166
1995,0.0349
1996,0.059
1997,0.0785
1998,0.107
1999,0.144
2000,0.186
2001,0.219
2002,0.249
2003,0.28
2004,0.318
2005,0.358
2006,0.396
2007,0.432
2008,0.792
2009,0.863
2010,1.59
2011,2.23
2012,2.45
2013,3.08
2014,2.53
2015,4.15
2016,4.95
2017,4.36
2018,5.17
2019,5.69
