year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0141,0.0,0.0881,0.0,2.91
1751,0.0141,0.0,0.0884,0.005719999999999999,2.92
1752,0.014199999999999999,0.0,0.0888,0.0114,2.93
1753,0.014199999999999999,0.0,0.0891,0.0172,2.94
1754,0.0143,0.0,0.08940000000000001,0.0229,2.95
1755,0.0143,0.0,0.0897,0.0286,2.96
1756,0.0144,0.0,0.0901,0.0343,2.97
1757,0.0144,0.0,0.09040000000000001,0.04,2.98
1758,0.0145,0.0,0.0907,0.0458,2.99
1759,0.0145,0.0,0.091,0.0515,3.0
1760,0.0146,0.0,0.09140000000000001,0.0572,3.01
1761,0.0146,0.0,0.0917,0.0629,3.03
1762,0.0147,0.0,0.09209999999999999,0.0686,3.04
1763,0.0147,0.0,0.09240000000000001,0.07440000000000001,3.05
1764,0.0148,0.0,0.0927,0.08009999999999999,3.06
1765,0.0148,0.0,0.09309999999999999,0.0858,3.07
1766,0.0149,0.0,0.09340000000000001,0.0915,3.08
1767,0.015,0.0,0.0937,0.09720000000000001,3.09
1768,0.015,0.0,0.09409999999999999,0.103,3.1
1769,0.015099999999999999,0.0,0.09440000000000001,0.109,3.12
1770,0.015099999999999999,0.0,0.0948,0.114,3.13
1771,0.0152,0.0,0.09509999999999999,0.12,3.14
1772,0.0152,0.0,0.0955,0.126,3.15
1773,0.015300000000000001,0.0,0.0958,0.132,3.16
1774,0.015300000000000001,0.0,0.09620000000000001,0.137,3.17
1775,0.0154,0.0,0.0965,0.143,3.18
1776,0.0155,0.0,0.0969,0.149,3.2
1777,0.0155,0.0,0.09720000000000001,0.154,3.21
1778,0.0156,0.0,0.09759999999999999,0.16,3.22
1779,0.0156,0.0,0.0979,0.166,3.23
1780,0.0157,0.0,0.0983,0.172,3.24
1781,0.0157,0.0,0.0986,0.177,3.25
1782,0.0158,0.0,0.099,0.183,3.27
1783,0.0158,0.0,0.0994,0.189,3.28
1784,0.0159,0.0,0.0997,0.194,3.29
1785,0.016,0.0,0.1,0.2,3.3
1786,0.016,0.0,0.1,0.206,3.31
1787,0.0161,0.0,0.101,0.212,3.33
1788,0.0161,0.0,0.101,0.217,3.34
1789,0.0162,0.0,0.102,0.223,3.35
