year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,5.27,0.0,0.586,3.61e-18,1.19
1751,5.27,0.0,0.587,0.000441,1.2
1752,5.28,0.0,0.587,0.0008810000000000001,1.2
1753,5.28,0.0,0.588,0.00132,1.2
1754,5.28,0.0,0.588,0.00176,1.2
1755,5.29,0.0,0.589,0.0022,1.2
1756,5.29,0.0,0.59,0.00264,1.2
1757,5.3,0.0,0.59,0.0030800000000000003,1.2
1758,5.3,0.0,0.591,0.00352,1.2
1759,5.3,0.0,0.591,0.0039700000000000004,1.21
1760,5.31,0.0,0.592,0.00441,1.21
1761,5.31,0.0,0.593,0.004849999999999999,1.21
1762,5.31,0.0,0.593,0.00529,1.21
1763,5.32,0.0,0.594,0.005730000000000001,1.21
1764,5.32,0.0,0.594,0.00617,1.21
1765,5.32,0.0,0.595,0.00661,1.21
1766,5.33,0.0,0.596,0.00705,1.21
1767,5.33,0.0,0.596,0.00749,1.21
1768,5.33,0.0,0.597,0.00793,1.22
1769,5.34,0.0,0.597,0.008369999999999999,1.22
1770,5.34,0.0,0.598,0.00881,1.22
1771,5.34,0.0,0.599,0.00925,1.22
1772,5.35,0.0,0.599,0.009689999999999999,1.22
1773,5.35,0.0,0.6,0.0101,1.22
1774,5.35,0.0,0.6,0.0106,1.22
1775,5.35,0.0,0.601,0.011,1.22
1776,5.36,0.0,0.602,0.0115,1.23
1777,5.36,0.0,0.602,0.0119,1.23
1778,5.36,0.0,0.603,0.0123,1.23
1779,5.37,0.0,0.603,0.0128,1.23
1780,5.37,0.0,0.604,0.0132,1.23
1781,5.37,0.0,0.605,0.013699999999999999,1.23
1782,5.38,0.0,0.605,0.0141,1.23
1783,5.38,0.0,0.606,0.0145,1.23
1784,5.38,0.0,0.606,0.015,1.24
1785,5.39,0.0,0.607,0.0154,1.24
1786,5.39,0.0,0.608,0.0159,1.24
1787,5.39,0.0,0.608,0.016300000000000002,1.24
1788,5.39,0.0,0.609,0.0167,1.24
1789,5.4,0.0,0.609,0.0172,1.24
1790,5.4,0.0,0.61,0.0176,1.24
1791,5.4,0.0,0.611,0.0181,1.24
1792,5.41,0.0,0.611,0.0185,1.25
1793,5.41,0.0,0.612,0.0189,1.25
1794,5.41,0.0,0.613,0.019399999999999997,1.25
1795,5.41,0.0,0.613,0.0198,1.25
1796,5.42,0.0,0.614,0.020300000000000002,1.25
